country,year,canonical_name,category,gap_type,diagnosis,raw_row_match,raw_row_amount,raw_row_file,action,series_amount,prev_amount,next_amount
Netherlands,1975,NWO (Dutch Research Council),science_agency,ok,,,,,none,0.0,,0.0
Netherlands,1976,NWO (Dutch Research Council),science_agency,ok,,,,,none,0.0,0.0,0.0
Netherlands,1977,NWO (Dutch Research Council),science_agency,ok,,,,,none,0.0,0.0,0.0
Netherlands,1978,NWO (Dutch Research Council),science_agency,ok,,,,,none,0.0,0.0,291000000.0
Netherlands,1979,NWO (Dutch Research Council),science_agency,outlier,"Amount 291,000,000 outside expected range [0 – 0] (IQR × 3.0). Possible current/prior year confusion or unit error.",,,,verify,291000000.0,0.0,0.0
Netherlands,1980,NWO (Dutch Research Council),science_agency,ok,,,,,none,0.0,291000000.0,205000000.0
Netherlands,1981,NWO (Dutch Research Council),science_agency,outlier,"Amount 205,000,000 outside expected range [0 – 0] (IQR × 3.0). Possible current/prior year confusion or unit error.",,,,verify,205000000.0,0.0,195000000.0
Netherlands,1982,NWO (Dutch Research Council),science_agency,outlier,"Amount 195,000,000 outside expected range [0 – 0] (IQR × 3.0). Possible current/prior year confusion or unit error.",,,,verify,195000000.0,205000000.0,190000000.0
Netherlands,1983,NWO (Dutch Research Council),science_agency,outlier,"Amount 190,000,000 outside expected range [0 – 0] (IQR × 3.0). Possible current/prior year confusion or unit error.",,,,verify,190000000.0,195000000.0,300000000.0
Netherlands,1984,NWO (Dutch Research Council),science_agency,outlier,"Amount 300,000,000 outside expected range [0 – 0] (IQR × 3.0). Possible current/prior year confusion or unit error.",,,,verify,300000000.0,190000000.0,0.0
Netherlands,1985,NWO (Dutch Research Council),science_agency,ok,,,,,none,0.0,300000000.0,0.0
Netherlands,1986,NWO (Dutch Research Council),science_agency,ok,,,,,none,0.0,0.0,0.0
Netherlands,1987,NWO (Dutch Research Council),science_agency,ok,,,,,none,0.0,0.0,0.0
Netherlands,1988,NWO (Dutch Research Council),science_agency,ok,,,,,none,0.0,0.0,397000000.0
Netherlands,1989,NWO (Dutch Research Council),science_agency,outlier,"Amount 397,000,000 outside expected range [0 – 0] (IQR × 3.0). Possible current/prior year confusion or unit error.",,,,verify,397000000.0,0.0,0.0
Netherlands,1990,NWO (Dutch Research Council),science_agency,ok,,,,,none,0.0,397000000.0,0.0
Netherlands,1991,NWO (Dutch Research Council),science_agency,ok,,,,,none,0.0,0.0,529000000.0
Netherlands,1992,NWO (Dutch Research Council),science_agency,outlier,"Amount 529,000,000 outside expected range [0 – 0] (IQR × 3.0). Possible current/prior year confusion or unit error.",,,,verify,529000000.0,0.0,0.0
Netherlands,1993,NWO (Dutch Research Council),science_agency,ok,,,,,none,0.0,529000000.0,350000000.0
Netherlands,1994,NWO (Dutch Research Council),science_agency,outlier,"Amount 350,000,000 outside expected range [0 – 0] (IQR × 3.0). Possible current/prior year confusion or unit error.",,,,verify,350000000.0,0.0,0.0
Netherlands,1995,NWO (Dutch Research Council),science_agency,ok,,,,,none,0.0,350000000.0,0.0
Netherlands,1996,NWO (Dutch Research Council),science_agency,ok,,,,,none,0.0,0.0,0.0
Netherlands,1997,NWO (Dutch Research Council),science_agency,ok,,,,,none,0.0,0.0,0.0
Netherlands,1998,NWO (Dutch Research Council),science_agency,ok,,,,,none,0.0,0.0,300000000.0
Netherlands,1999,NWO (Dutch Research Council),science_agency,outlier,"Amount 300,000,000 outside expected range [0 – 0] (IQR × 3.0). Possible current/prior year confusion or unit error.",,,,verify,300000000.0,0.0,0.0
Netherlands,2000,NWO (Dutch Research Council),science_agency,ok,,,,,none,0.0,300000000.0,0.0
Netherlands,2001,NWO (Dutch Research Council),science_agency,ok,,,,,none,0.0,0.0,0.0
Netherlands,2002,NWO (Dutch Research Council),science_agency,ok,,,,,none,0.0,0.0,0.0
Netherlands,2003,NWO (Dutch Research Council),science_agency,ok,,,,,none,0.0,0.0,0.0
Netherlands,2004,NWO (Dutch Research Council),science_agency,ok,,,,,none,0.0,0.0,0.0
Netherlands,2005,NWO (Dutch Research Council),science_agency,ok,,,,,none,0.0,0.0,0.0
Netherlands,2006,NWO (Dutch Research Council),science_agency,ok,,,,,none,0.0,0.0,0.0
Netherlands,2007,NWO (Dutch Research Council),science_agency,ok,,,,,none,0.0,0.0,0.0
Netherlands,2008,NWO (Dutch Research Council),science_agency,ok,,,,,none,0.0,0.0,0.0
Netherlands,2009,NWO (Dutch Research Council),science_agency,ok,,,,,none,0.0,0.0,0.0
Netherlands,2010,NWO (Dutch Research Council),science_agency,ok,,,,,none,0.0,0.0,0.0
Netherlands,2011,NWO (Dutch Research Council),science_agency,ok,,,,,none,0.0,0.0,0.0
Netherlands,2012,NWO (Dutch Research Council),science_agency,ok,,,,,none,0.0,0.0,0.0
Netherlands,2013,NWO (Dutch Research Council),science_agency,ok,,,,,none,0.0,0.0,0.0
Netherlands,2014,NWO (Dutch Research Council),science_agency,ok,,,,,none,0.0,0.0,0.0
Netherlands,2015,NWO (Dutch Research Council),science_agency,ok,,,,,none,0.0,0.0,0.0
Netherlands,2016,NWO (Dutch Research Council),science_agency,ok,,,,,none,0.0,0.0,0.0
Netherlands,2017,NWO (Dutch Research Council),science_agency,ok,,,,,none,0.0,0.0,0.0
Netherlands,2018,NWO (Dutch Research Council),science_agency,ok,,,,,none,0.0,0.0,0.0
Netherlands,2019,NWO (Dutch Research Council),science_agency,ok,,,,,none,0.0,0.0,0.0
Netherlands,2020,NWO (Dutch Research Council),science_agency,ok,,,,,none,0.0,0.0,0.0
Netherlands,2021,NWO (Dutch Research Council),science_agency,ok,,,,,none,0.0,0.0,0.0
Netherlands,2022,NWO (Dutch Research Council),science_agency,ok,,,,,none,0.0,0.0,0.0
Netherlands,2023,NWO (Dutch Research Council),science_agency,ok,,,,,none,0.0,0.0,0.0
Netherlands,2024,NWO (Dutch Research Council),science_agency,ok,,,,,none,0.0,0.0,0.0
Netherlands,2025,NWO (Dutch Research Council),science_agency,ok,,,,,none,0.0,0.0,
Netherlands,1975,KNAW (Royal Netherlands Academy),science_agency,ok,,,,,none,0.0,,0.0
Netherlands,1976,KNAW (Royal Netherlands Academy),science_agency,ok,,,,,none,0.0,0.0,0.0
Netherlands,1977,KNAW (Royal Netherlands Academy),science_agency,ok,,,,,none,0.0,0.0,0.0
Netherlands,1978,KNAW (Royal Netherlands Academy),science_agency,ok,,,,,none,0.0,0.0,0.0
Netherlands,1979,KNAW (Royal Netherlands Academy),science_agency,ok,,,,,none,0.0,0.0,0.0
Netherlands,1980,KNAW (Royal Netherlands Academy),science_agency,ok,,,,,none,0.0,0.0,0.0
Netherlands,1981,KNAW (Royal Netherlands Academy),science_agency,ok,,,,,none,0.0,0.0,0.0
Netherlands,1982,KNAW (Royal Netherlands Academy),science_agency,ok,,,,,none,0.0,0.0,0.0
Netherlands,1983,KNAW (Royal Netherlands Academy),science_agency,ok,,,,,none,0.0,0.0,200000000.0
Netherlands,1984,KNAW (Royal Netherlands Academy),science_agency,outlier,"Amount 200,000,000 outside expected range [0 – 0] (IQR × 3.0). Possible current/prior year confusion or unit error.",,,,verify,200000000.0,0.0,0.0
Netherlands,1985,KNAW (Royal Netherlands Academy),science_agency,ok,,,,,none,0.0,200000000.0,0.0
Netherlands,1986,KNAW (Royal Netherlands Academy),science_agency,ok,,,,,none,0.0,0.0,0.0
Netherlands,1987,KNAW (Royal Netherlands Academy),science_agency,ok,,,,,none,0.0,0.0,0.0
Netherlands,1988,KNAW (Royal Netherlands Academy),science_agency,ok,,,,,none,0.0,0.0,397000000.0
