country,year,canonical_name,gap_type,action,series_amount,prev_amount,next_amount,diagnosis,verdict,correct_amount_local,correct_unit,preferred_source_files,evidence_page,confidence,reason
Netherlands,1979,NWO (Dutch Research Council),outlier,verify,291000000.0,0.0,0.0,"Amount 291,000,000 outside expected range [0 – 0] (IQR × 3.0). Possible current/prior year confusion or unit error.",keep,291000000.0,million,"[""1979 budget memorandum.pdf""]",62,1.0,"The current annual total of 291,000,000 million is directly supported by the source document row indicating a subsidy from ZWO."
Netherlands,1981,NWO (Dutch Research Council),outlier,verify,205000000.0,0.0,195000000.0,"Amount 205,000,000 outside expected range [0 – 0] (IQR × 3.0). Possible current/prior year confusion or unit error.",keep,205000000.0,million,"[""1981 budget memorandum.pdf""]",111,1.0,"The current annual total of 205,000,000 million is directly supported by the source document which states that ZWO will be financed with this exact amount."
Netherlands,1982,NWO (Dutch Research Council),outlier,verify,195000000.0,205000000.0,190000000.0,"Amount 195,000,000 outside expected range [0 – 0] (IQR × 3.0). Possible current/prior year confusion or unit error.",keep,195000000.0,million,"[""1982 budget memorandum.pdf""]",92,0.9,"The source document clearly states that the budget for the Dutch Research Council (ZWO) is around 195 million, supporting the current annual total."
Netherlands,1983,NWO (Dutch Research Council),outlier,verify,190000000.0,195000000.0,200000000000.0,"Amount 190,000,000 outside expected range [0 – 0] (IQR × 3.0). Possible current/prior year confusion or unit error.",keep,190000000.0,million,"[""1983 budget memorandum.pdf""]",130,1.0,"The source document explicitly states that 'Z.W.O. is around 190 million available', confirming the current annual total."
Netherlands,1984,NWO (Dutch Research Council),outlier,verify,200000000000.0,190000000.0,0.0,"Amount 200,000,000,000 outside expected range [0 – 0] (IQR × 3.0). Possible current/prior year confusion or unit error.",drop,200000000.0,million,"[""1984 budget memorandum.pdf""]",66,0.9,"The current total of 200,000,000,000 million is likely a unit error, as the only source document row indicates an amount of 200,000,000 million for the NWO budget."
Netherlands,1989,NWO (Dutch Research Council),outlier,verify,397000000.0,0.0,0.0,"Amount 397,000,000 outside expected range [0 – 0] (IQR × 3.0). Possible current/prior year confusion or unit error.",keep,397000000.0,million,"[""1989 budget memorandum.pdf""]",160,1.0,"The current annual total of 397,000,000 million is directly supported by the source document row, which lists the same amount for NWO and related institutions."
Netherlands,1992,NWO (Dutch Research Council),outlier,verify,529000000.0,0.0,0.0,"Amount 529,000,000 outside expected range [0 – 0] (IQR × 3.0). Possible current/prior year confusion or unit error.",keep,529000000.0,million,"[""1992 budget memorandum.pdf""]",111,1.0,"The current annual total of 529,000,000 million is directly supported by the source document row, which lists the same amount for NWO and related institutions."
Netherlands,1994,NWO (Dutch Research Council),outlier,verify,15000000000.0,0.0,0.0,"Amount 15,000,000,000 outside expected range [0 – 0] (IQR × 3.0). Possible current/prior year confusion or unit error.",keep,15000000000.0,million,"[""1994 budget memorandum.pdf""]",334,1.0,"The current annual total is directly supported by the source document row indicating subsidies for NWO, which matches the reported amount."
Netherlands,1997,NWO (Dutch Research Council),outlier,verify,100000000000.0,0.0,0.0,"Amount 100,000,000,000 outside expected range [0 – 0] (IQR × 3.0). Possible current/prior year confusion or unit error.",correct,100000.0,million,"[""1997 budget memorandum.pdf""]",117,0.9,"The amount of 100,000,000,000 million appears to be a unit error; it should be 100,000 million (or 100 billion) in NLG, which is consistent with the context of the budget."
Netherlands,1999,NWO (Dutch Research Council),outlier,verify,300000000.0,0.0,0.0,"Amount 300,000,000 outside expected range [0 – 0] (IQR × 3.0). Possible current/prior year confusion or unit error.",keep,300000000.0,million,"[""1999 budget memorandum.pdf""]",202,1.0,"The current annual total of 300,000,000 million is directly supported by the source document row indicating a contribution to NWO."
