country,year,canonical_name,verdict,old_rows,old_amounts,review_amount,review_unit,preferred_source_files,reason,confidence,applied,skip_reason,match_reason
Netherlands,1979,NWO (Dutch Research Council),keep,1,291000000.0,291000000.0,million,"[""1979 budget memorandum.pdf""]","The current annual total of 291,000,000 million is directly supported by the source document row indicating a subsidy from ZWO.",1.0,False,verdict_not_actionable,
Netherlands,1981,NWO (Dutch Research Council),keep,1,205000000.0,205000000.0,million,"[""1981 budget memorandum.pdf""]","The current annual total of 205,000,000 million is directly supported by the source document which states that ZWO will be financed with this exact amount.",1.0,False,verdict_not_actionable,
Netherlands,1982,NWO (Dutch Research Council),keep,1,195000000.0,195000000.0,million,"[""1982 budget memorandum.pdf""]","The source document clearly states that the budget for the Dutch Research Council (ZWO) is around 195 million, supporting the current annual total.",0.9,False,verdict_not_actionable,
Netherlands,1983,NWO (Dutch Research Council),keep,1,190000000.0,190000000.0,million,"[""1983 budget memorandum.pdf""]","The source document explicitly states that 'Z.W.O. is around 190 million available', confirming the current annual total.",1.0,False,verdict_not_actionable,
Netherlands,1984,NWO (Dutch Research Council),drop,1,200000000000.0,200000000.0,million,"[""1984 budget memorandum.pdf""]","The current total of 200,000,000,000 million is likely a unit error, as the only source document row indicates an amount of 200,000,000 million for the NWO budget.",0.9,False,no_exact_source_match,no_exact_source_match
Netherlands,1989,NWO (Dutch Research Council),keep,1,397000000.0,397000000.0,million,"[""1989 budget memorandum.pdf""]","The current annual total of 397,000,000 million is directly supported by the source document row, which lists the same amount for NWO and related institutions.",1.0,False,verdict_not_actionable,
Netherlands,1992,NWO (Dutch Research Council),keep,1,529000000.0,529000000.0,million,"[""1992 budget memorandum.pdf""]","The current annual total of 529,000,000 million is directly supported by the source document row, which lists the same amount for NWO and related institutions.",1.0,False,verdict_not_actionable,
Netherlands,1994,NWO (Dutch Research Council),keep,1,15000000000.0,15000000000.0,million,"[""1994 budget memorandum.pdf""]","The current annual total is directly supported by the source document row indicating subsidies for NWO, which matches the reported amount.",1.0,False,verdict_not_actionable,
Netherlands,1997,NWO (Dutch Research Council),correct,1,100000000000.0,100000.0,million,"[""1997 budget memorandum.pdf""]","The amount of 100,000,000,000 million appears to be a unit error; it should be 100,000 million (or 100 billion) in NLG, which is consistent with the context of the budget.",0.9,False,no_exact_source_match,no_exact_source_match
Netherlands,1999,NWO (Dutch Research Council),keep,1,300000000.0,300000000.0,million,"[""1999 budget memorandum.pdf""]","The current annual total of 300,000,000 million is directly supported by the source document row indicating a contribution to NWO.",1.0,False,verdict_not_actionable,
Netherlands,1984,KNAW (Royal Netherlands Academy),keep,1,50000000000.0,50000000000.0,million,"[""1984 budget memorandum.pdf""]","The source document explicitly lists the KNAW budget for 1984 as 50,000,000,000 million NLG, which supports the current annual total.",1.0,False,verdict_not_actionable,
