country,year,source_file,run_status,run_log_rows_extracted,docx_results_rows,docx_audit_in_series_rows,extracted_entities,missing_agencies_from_queue,year_issue_label,year_document_change_flag,country_document_change_signal,document_change_note,diagnosis_excerpt,recommended_action
Netherlands,1975,1975 budget memorandum.pdf,ran_with_rows,16,16,1,OCW Art. 07 Wetenschappelijk onderwijs (universities) | Contribution to the operating and investment costs of the Reactor Center Netherlands | Expenditures related to participation in the prototype of a fast breeder reactor | Expenditures related to research and development work by the industry | Repayment | Total | Research and information | Scientific research,NWO (Dutch Research Council),Agency not named in parsed source,False,True,"The source ran, but no agency-specific NWO/KNAW line survived into the final series.",Year has 1 parsed files but agency not found. May be in a non-table section or different document.,targeted_recovery_or_better_annex_needed
Netherlands,1976,1976 budget memorandum.pdf,ran_with_rows,5,5,1,OCW Art. 16 Onderzoek en wetenschapsbeleid | Contribution to the operating and investment costs of the Energy Center Netherlands | Expenditures related to participation in the prototype of a fast breeder reactor | Expenditures related to research and development work by the industry | Research and Science Policy | Total Scientific Education,NWO (Dutch Research Council),Aggregate-only OCW Art. 16 for NWO/KNAW,True,True,"OCW Art. 16 is present, but the source exposes a combined research-policy aggregate rather than a clean NWO/KNAW split.",Year not in raw_rows — documents may not be parsed yet,document_only_keep_ocw_art16_aggregate
Netherlands,1977,1977 budget memorandum.pdf,ran_with_rows,9,9,3,EZ Art. 02 Bedrijvenbeleid / innovatie (incl. TNO) | OCW Art. 07 Wetenschappelijk onderwijs (universities) | Investments in scientific education | Total expenditures Education and Sciences | Universities and colleges | Business policy: innovation and entrepreneurship | Research and information | Total expenditures Agriculture and Fisheries,NWO (Dutch Research Council),Agency not named in parsed source,False,True,"The source ran, but no agency-specific NWO/KNAW line survived into the final series.",Year has 1 parsed files but agency not found. May be in a non-table section or different document.,targeted_recovery_or_better_annex_needed
Netherlands,1978,1978 budget memorandum.pdf,ran_with_rows,5,5,2,EZ Art. 02 Bedrijvenbeleid / innovatie (incl. TNO) | OCW Art. 07 Wetenschappelijk onderwijs (universities) | Business policy: innovation and entrepreneurship | Research into alternative energy sources | Investments in scientific education | Total relevant expenditures | Education and Sciences - Scientific research,NWO (Dutch Research Council),Agency not named in parsed source,False,True,"The source ran, but no agency-specific NWO/KNAW line survived into the final series.",Year has 1 parsed files but agency not found. May be in a non-table section or different document.,targeted_recovery_or_better_annex_needed
Netherlands,1979,1979 budget memorandum.pdf,ran_with_rows,7,7,2,NWO (Dutch Research Council) | OCW Art. 07 Wetenschappelijk onderwijs (universities) | Future Fund | Total education expenditures | Total expenditures for innovation and entrepreneurship | Total expenditures for knowledge and innovation | Scientific education | Stimulus fund for socially relevant research,KNAW (Royal Netherlands Academy),Agency not named in parsed source,False,True,"The source ran, but no agency-specific NWO/KNAW line survived into the final series.",Year has 1 parsed files but agency not found. May be in a non-table section or different document.,targeted_recovery_or_better_annex_needed
Netherlands,1980,1980 budget memorandum.pdf,ran_with_rows,17,18,4,KNAW (Royal Netherlands Academy) | NLR (National Aerospace Laboratory) | NWO (Dutch Research Council) | OCW Art. 16 Onderzoek en wetenschapsbeleid | TNO (Netherlands Organisation for Applied Research) | Guarantee to NLR | Business policy: innovation and entrepreneurship | Future Fund,KNAW (Royal Netherlands Academy),Aggregate-only OCW Art. 16 for NWO/KNAW,True,True,"OCW Art. 16 is present, but the source exposes a combined research-policy aggregate rather than a clean NWO/KNAW split.",Year has 1 parsed files but agency not found. May be in a non-table section or different document.,document_only_keep_ocw_art16_aggregate
Netherlands,1981,1981 budget memorandum.pdf,ran_with_rows,16,18,7,ECN (Energy Research Centre Netherlands) | EZ Art. 02 Bedrijvenbeleid / innovatie (incl. TNO) | NLR (National Aerospace Laboratory) | NWO (Dutch Research Council) | OCW Art. 07 Wetenschappelijk onderwijs (universities) | OCW Art. 16 Onderzoek en wetenschapsbeleid | TNO (Netherlands Organisation for Applied Research) | Energy Research Centre of the Netherlands (ECN),KNAW (Royal Netherlands Academy),Aggregate-only OCW Art. 16 for NWO/KNAW,True,True,"OCW Art. 16 is present, but the source exposes a combined research-policy aggregate rather than a clean NWO/KNAW split.",Year has 1 parsed files but agency not found. May be in a non-table section or different document.,document_only_keep_ocw_art16_aggregate
Netherlands,1982,1982 budget memorandum.pdf,ran_with_rows,10,10,5,Deltares (water and subsurface research) | ECN (Energy Research Centre Netherlands) | NLR (National Aerospace Laboratory) | NWO (Dutch Research Council) | TNO (Netherlands Organisation for Applied Research) | Agricultural research | Dutch Research Council (ZWO) | Energy Research Centre of the Netherlands (ECN),KNAW (Royal Netherlands Academy),Agency not named in parsed source,False,True,"The source ran, but no agency-specific NWO/KNAW line survived into the final series.",Year has 1 parsed files but agency not found. May be in a non-table section or different document.,targeted_recovery_or_better_annex_needed
Netherlands,1983,1983 budget memorandum.pdf,ran_with_rows,6,9,3,ECN (Energy Research Centre Netherlands) | KNMI (Royal Netherlands Meteorological Institute) | NLR (National Aerospace Laboratory) | TNO (Netherlands Organisation for Applied Research) | Total budget for KNMI | Energy Research Centre Netherlands | Z.W.O. is around 190 million available | Total expenditures,KNAW (Royal Netherlands Academy),Agency not named in parsed source,False,True,"The source ran, but no agency-specific NWO/KNAW line survived into the final series.",Year has 1 parsed files but agency not found. May be in a non-table section or different document.,targeted_recovery_or_better_annex_needed
Netherlands,1984,1984 budget memorandum.pdf,ran_with_rows,12,13,10,EZ Art. 02 Bedrijvenbeleid / innovatie (incl. TNO) | KNAW (Royal Netherlands Academy) | NLR (National Aerospace Laboratory) | NWO (Dutch Research Council) | OCW Art. 07 Wetenschappelijk onderwijs (universities) | OCW Art. 16 Onderzoek en wetenschapsbeleid | TNO (Netherlands Organisation for Applied Research) | Total relevant expenditures,Wageningen Universiteit (WUR),Rows retained for final series,False,True,,Year has 1 parsed files but agency not found. May be in a non-table section or different document.,none
