country,year,source_file,file_path,missing_agencies
Netherlands,1975,1975 budget memorandum.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Netherlands/1975 budget memorandum.pdf,NWO (Dutch Research Council)
Netherlands,1976,1976 budget memorandum.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Netherlands/1976 budget memorandum.pdf,NWO (Dutch Research Council)
Netherlands,1977,1977 budget memorandum.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Netherlands/1977 budget memorandum.pdf,NWO (Dutch Research Council)
Netherlands,1978,1978 budget memorandum.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Netherlands/1978 budget memorandum.pdf,NWO (Dutch Research Council)
Netherlands,1985,1985 budget memorandum.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Netherlands/1985 budget memorandum.pdf,NWO (Dutch Research Council)
Netherlands,1986,1986 budget memorandum.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Netherlands/1986 budget memorandum.pdf,NWO (Dutch Research Council)
Netherlands,1987,1987 budget memorandum.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Netherlands/1987 budget memorandum.pdf,NWO (Dutch Research Council)
Netherlands,1988,1988 budget memorandum.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Netherlands/1988 budget memorandum.pdf,NWO (Dutch Research Council)
Netherlands,1990,1990 budget memorandum.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Netherlands/1990 budget memorandum.pdf,NWO (Dutch Research Council)
Netherlands,1991,1991 budget memorandum.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Netherlands/1991 budget memorandum.pdf,NWO (Dutch Research Council)
Netherlands,1993,1993 budget memorandum.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Netherlands/1993 budget memorandum.pdf,NWO (Dutch Research Council)
Netherlands,1995,1995 budget memorandum.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Netherlands/1995 budget memorandum.pdf,NWO (Dutch Research Council)
Netherlands,1996,1996 budget memorandum.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Netherlands/1996 budget memorandum.pdf,NWO (Dutch Research Council)
Netherlands,1998,1998 budget memorandum.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Netherlands/1998 budget memorandum.pdf,NWO (Dutch Research Council)
Netherlands,2000,2000_ministry10.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Netherlands/2000_ministry10.pdf,NWO (Dutch Research Council)
Netherlands,2000,2000_ministry12.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Netherlands/2000_ministry12.pdf,NWO (Dutch Research Council)
Netherlands,2000,2000_ministry13.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Netherlands/2000_ministry13.pdf,NWO (Dutch Research Council)
Netherlands,2000,2000_ministry16.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Netherlands/2000_ministry16.pdf,NWO (Dutch Research Council)
Netherlands,2000,2000_ministry8.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Netherlands/2000_ministry8.pdf,NWO (Dutch Research Council)
Netherlands,2001,2001_ministry10.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Netherlands/2001_ministry10.pdf,NWO (Dutch Research Council)
Netherlands,2001,2001_ministry12.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Netherlands/2001_ministry12.pdf,NWO (Dutch Research Council)
Netherlands,2001,2001_ministry13.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Netherlands/2001_ministry13.pdf,NWO (Dutch Research Council)
Netherlands,2001,2001_ministry14.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Netherlands/2001_ministry14.pdf,NWO (Dutch Research Council)
Netherlands,2001,2001_ministry16.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Netherlands/2001_ministry16.pdf,NWO (Dutch Research Council)
Netherlands,2001,2001_ministry8.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Netherlands/2001_ministry8.pdf,NWO (Dutch Research Council)
Netherlands,2002,2002_ministry10.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Netherlands/2002_ministry10.pdf,NWO (Dutch Research Council)
Netherlands,2002,2002_ministry12.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Netherlands/2002_ministry12.pdf,NWO (Dutch Research Council)
Netherlands,2002,2002_ministry13.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Netherlands/2002_ministry13.pdf,NWO (Dutch Research Council)
Netherlands,2002,2002_ministry14.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Netherlands/2002_ministry14.pdf,NWO (Dutch Research Council)
Netherlands,2002,2002_ministry16.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Netherlands/2002_ministry16.pdf,NWO (Dutch Research Council)
Netherlands,2002,2002_ministry8.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Netherlands/2002_ministry8.pdf,NWO (Dutch Research Council)
Netherlands,2003,2003_ministry10.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Netherlands/2003_ministry10.pdf,NWO (Dutch Research Council)
Netherlands,2003,2003_ministry12.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Netherlands/2003_ministry12.pdf,NWO (Dutch Research Council)
Netherlands,2003,2003_ministry13.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Netherlands/2003_ministry13.pdf,NWO (Dutch Research Council)
Netherlands,2003,2003_ministry14.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Netherlands/2003_ministry14.pdf,NWO (Dutch Research Council)
Netherlands,2003,2003_ministry16.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Netherlands/2003_ministry16.pdf,NWO (Dutch Research Council)
Netherlands,2003,2003_ministry8.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Netherlands/2003_ministry8.pdf,NWO (Dutch Research Council)
Netherlands,2004,2004_ministry10.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Netherlands/2004_ministry10.pdf,NWO (Dutch Research Council)
Netherlands,2004,2004_ministry12.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Netherlands/2004_ministry12.pdf,NWO (Dutch Research Council)
Netherlands,2004,2004_ministry13.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Netherlands/2004_ministry13.pdf,NWO (Dutch Research Council)
Netherlands,2004,2004_ministry14.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Netherlands/2004_ministry14.pdf,NWO (Dutch Research Council)
Netherlands,2004,2004_ministry16.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Netherlands/2004_ministry16.pdf,NWO (Dutch Research Council)
Netherlands,2004,2004_ministry8.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Netherlands/2004_ministry8.pdf,NWO (Dutch Research Council)
Netherlands,2005,2005_ministry10.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Netherlands/2005_ministry10.pdf,NWO (Dutch Research Council)
Netherlands,2005,2005_ministry12.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Netherlands/2005_ministry12.pdf,NWO (Dutch Research Council)
Netherlands,2005,2005_ministry13.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Netherlands/2005_ministry13.pdf,NWO (Dutch Research Council)
Netherlands,2005,2005_ministry14.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Netherlands/2005_ministry14.pdf,NWO (Dutch Research Council)
Netherlands,2005,2005_ministry16.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Netherlands/2005_ministry16.pdf,NWO (Dutch Research Council)
Netherlands,2005,2005_ministry8.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Netherlands/2005_ministry8.pdf,NWO (Dutch Research Council)
Netherlands,2006,2006_ministry10.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Netherlands/2006_ministry10.pdf,NWO (Dutch Research Council)
Netherlands,2006,2006_ministry12.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Netherlands/2006_ministry12.pdf,NWO (Dutch Research Council)
Netherlands,2006,2006_ministry13.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Netherlands/2006_ministry13.pdf,NWO (Dutch Research Council)
Netherlands,2006,2006_ministry14.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Netherlands/2006_ministry14.pdf,NWO (Dutch Research Council)
Netherlands,2006,2006_ministry16.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Netherlands/2006_ministry16.pdf,NWO (Dutch Research Council)
Netherlands,2006,2006_ministry8.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Netherlands/2006_ministry8.pdf,NWO (Dutch Research Council)
Netherlands,2007,2007_ministry10.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Netherlands/2007_ministry10.pdf,NWO (Dutch Research Council)
Netherlands,2007,2007_ministry12.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Netherlands/2007_ministry12.pdf,NWO (Dutch Research Council)
Netherlands,2007,2007_ministry13.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Netherlands/2007_ministry13.pdf,NWO (Dutch Research Council)
Netherlands,2007,2007_ministry14.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Netherlands/2007_ministry14.pdf,NWO (Dutch Research Council)
Netherlands,2007,2007_ministry16.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Netherlands/2007_ministry16.pdf,NWO (Dutch Research Council)
Netherlands,2007,2007_ministry8.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Netherlands/2007_ministry8.pdf,NWO (Dutch Research Council)
Netherlands,2008,2008_ministry10.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Netherlands/2008_ministry10.pdf,NWO (Dutch Research Council)
Netherlands,2008,2008_ministry12.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Netherlands/2008_ministry12.pdf,NWO (Dutch Research Council)
Netherlands,2008,2008_ministry13.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Netherlands/2008_ministry13.pdf,NWO (Dutch Research Council)
Netherlands,2008,2008_ministry14.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Netherlands/2008_ministry14.pdf,NWO (Dutch Research Council)
Netherlands,2008,2008_ministry16.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Netherlands/2008_ministry16.pdf,NWO (Dutch Research Council)
Netherlands,2008,2008_ministry8.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Netherlands/2008_ministry8.pdf,NWO (Dutch Research Council)
Netherlands,2009,2009_ministry10.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Netherlands/2009_ministry10.pdf,NWO (Dutch Research Council)
Netherlands,2009,2009_ministry12.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Netherlands/2009_ministry12.pdf,NWO (Dutch Research Council)
Netherlands,2009,2009_ministry13.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Netherlands/2009_ministry13.pdf,NWO (Dutch Research Council)
Netherlands,2009,2009_ministry14.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Netherlands/2009_ministry14.pdf,NWO (Dutch Research Council)
Netherlands,2009,2009_ministry16.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Netherlands/2009_ministry16.pdf,NWO (Dutch Research Council)
Netherlands,2009,2009_ministry8.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Netherlands/2009_ministry8.pdf,NWO (Dutch Research Council)
Netherlands,2010,2010_ministry10.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Netherlands/2010_ministry10.pdf,NWO (Dutch Research Council)
Netherlands,2010,2010_ministry12.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Netherlands/2010_ministry12.pdf,NWO (Dutch Research Council)
Netherlands,2010,2010_ministry13.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Netherlands/2010_ministry13.pdf,NWO (Dutch Research Council)
Netherlands,2010,2010_ministry16.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Netherlands/2010_ministry16.pdf,NWO (Dutch Research Council)
