year,canonical_name,category,amount_local,unit,currency,item_type,source_file,page_number,pdf_path,full_text_cache,line_description_en,traceability_status,trace_method,trace_excerpt,series_notes
1975,ECN (Energy Research Centre Netherlands),science_agency,18000000.0,guilder,NLG,line_item,1975 budget memorandum.pdf,130,Data/input/finance_bills/Netherlands/1975 budget memorandum.pdf,,Contribution to the operating and investment costs of the Reactor Center Netherlands,covered_by_final_series,,,ECN founded 1976; merged into TNO as TNO Energy & Materials Transition in 2019.
1975,EZ Art. 02 Bedrijvenbeleid / innovatie (incl. TNO),innovation_instruments,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1975,KNAW (Royal Netherlands Academy),science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1975,KNMI (Royal Netherlands Meteorological Institute),science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1975,NWO (Dutch Research Council),science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1975,OCW Art. 07 Wetenschappelijk onderwijs (universities),higher_education,3660000000.0,guilder,NLG,line_item,1975 budget memorandum.pdf,92,Data/input/finance_bills/Netherlands/1975 budget memorandum.pdf,,Scientific education,covered_by_final_series,,,OCW ministry article for university block grants. Use when individual lines unavailable.
1975,OCW Art. 16 Onderzoek en wetenschapsbeleid,science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1975,RIVM (National Institute for Public Health),science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1975,TNO (Netherlands Organisation for Applied Research),science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1976,ECN (Energy Research Centre Netherlands),science_agency,16000000.0,guilder,NLG,line_item,1976 budget memorandum.pdf,143,Data/input/finance_bills/Netherlands/1976 budget memorandum.pdf,,Contribution to the operating and investment costs of the Energy Center Netherlands,covered_by_final_series,,,ECN founded 1976; merged into TNO as TNO Energy & Materials Transition in 2019.
1976,EZ Art. 02 Bedrijvenbeleid / innovatie (incl. TNO),innovation_instruments,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1976,KNAW (Royal Netherlands Academy),science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1976,KNMI (Royal Netherlands Meteorological Institute),science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1976,NWO (Dutch Research Council),science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1976,OCW Art. 07 Wetenschappelijk onderwijs (universities),higher_education,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1976,OCW Art. 16 Onderzoek en wetenschapsbeleid,science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1976,RIVM (National Institute for Public Health),science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1976,TNO (Netherlands Organisation for Applied Research),science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1977,ECN (Energy Research Centre Netherlands),science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1977,EZ Art. 02 Bedrijvenbeleid / innovatie (incl. TNO),innovation_instruments,475000000.0,guilder,NLG,line_item,1977 budget memorandum.pdf,80,Data/input/finance_bills/Netherlands/1977 budget memorandum.pdf,,Business policy: innovation and entrepreneurship,covered_by_final_series,,,EZ article for enterprise/innovation policy; historically used for EZ R&D programmes 1979-2001.
