source_file,pdf_path,full_text_cache,selected_rows,selected_canonicals,selected_pages,selected_line_descriptions,selected_amounts,traceability_status,source_audit_note
1975 budget memorandum.pdf,Data/input/finance_bills/Netherlands/1975 budget memorandum.pdf,,2,ECN (Energy Research Centre Netherlands) | OCW Art. 07 Wetenschappelijk onderwijs (universities),130 | 92,Contribution to the operating and investment costs of the Reactor Center Netherlands | Scientific education,18000000.0 | 3660000000.0,covered_by_final_series,
1976 budget memorandum.pdf,Data/input/finance_bills/Netherlands/1976 budget memorandum.pdf,,1,ECN (Energy Research Centre Netherlands),143,Contribution to the operating and investment costs of the Energy Center Netherlands,16000000.0,covered_by_final_series,
1977 budget memorandum.pdf,Data/input/finance_bills/Netherlands/1977 budget memorandum.pdf,,2,EZ Art. 02 Bedrijvenbeleid / innovatie (incl. TNO) | OCW Art. 07 Wetenschappelijk onderwijs (universities),80 | 79,Business policy: innovation and entrepreneurship | Universities and colleges,475000000.0 | 2979000000.0,covered_by_final_series,
1978 budget memorandum.pdf,Data/input/finance_bills/Netherlands/1978 budget memorandum.pdf,,1,OCW Art. 07 Wetenschappelijk onderwijs (universities),192,Investments in scientific education,298000000.0,covered_by_final_series,
1979 budget memorandum.pdf,Data/input/finance_bills/Netherlands/1979 budget memorandum.pdf,,2,NWO (Dutch Research Council) | OCW Art. 07 Wetenschappelijk onderwijs (universities),62 | 62,Subsidy from ZWO | Scientific education,291000000.0 | 3300000000.0,covered_by_final_series,
1980 budget memorandum.pdf,Data/input/finance_bills/Netherlands/1980 budget memorandum.pdf,,2,NWO (Dutch Research Council) | OCW Art. 07 Wetenschappelijk onderwijs (universities),53 | 46,Subsidy for the Dutch Organization for Pure Scientific Research | Scientific education,185000000.0 | 3500000000.0,covered_by_final_series,
1981 budget memorandum.pdf,Data/input/finance_bills/Netherlands/1981 budget memorandum.pdf,,6,ECN (Energy Research Centre Netherlands) | EZ Art. 02 Bedrijvenbeleid / innovatie (incl. TNO) | NWO (Dutch Research Council) | OCW Art. 07 Wetenschappelijk onderwijs (universities) | OCW Art. 16 Onderzoek en wetenschapsbeleid | TNO (Netherlands Organisation for Applied Research),111 | 112 | 111 | 111 | 112 | 111,Energy Research Centre of the Netherlands (ECN) | Business policy: innovation and entrepreneurship | ZWO Funding | Investments in Scientific Education | Research and science policy | TNO Research,68000000.0 | 438000000.0 | 205000000.0 | 898000000.0 | 566000000.0 | 285000000.0,covered_by_final_series,
1982 budget memorandum.pdf,Data/input/finance_bills/Netherlands/1982 budget memorandum.pdf,,5,Deltares (water and subsurface research) | ECN (Energy Research Centre Netherlands) | NLR (National Aerospace Laboratory) | NWO (Dutch Research Council) | TNO (Netherlands Organisation for Applied Research),92 | 92 | 92 | 92 | 92,Foundation for Hydraulic Engineering Laboratory (SWL) | Energy Research Centre of the Netherlands (ECN) | Funding for the operational deficit of the National Aerospace Laboratory (NLR) | Dutch Research Council (ZWO) | Subsidy for TNO,35000000.0 | 73000000.0 | 35000000.0 | 195000000.0 | 280000000.0,covered_by_final_series,
1983 budget memorandum.pdf,Data/input/finance_bills/Netherlands/1983 budget memorandum.pdf,,2,NWO (Dutch Research Council) | TNO (Netherlands Organisation for Applied Research),130 | 81,Z.W.O. is around 190 million available | TNO,190000000.0 | 4000000.0,covered_by_final_series,
1984 budget memorandum.pdf,Data/input/finance_bills/Netherlands/1984 budget memorandum.pdf,,6,EZ Art. 02 Bedrijvenbeleid / innovatie (incl. TNO) | KNAW (Royal Netherlands Academy) | NWO (Dutch Research Council) | OCW Art. 07 Wetenschappelijk onderwijs (universities) | OCW Art. 16 Onderzoek en wetenschapsbeleid | TNO (Netherlands Organisation for Applied Research),66 | 66 | 157 | 157 | 157 | 157,Innovation and entrepreneurship | KNAW budget | Dutch Research Council (NWO) | Scientific education | Research and science policy | Netherlands Organisation for Applied Scientific Research (TNO),100000000.0 | 50000000.0 | 300000000.0 | 1000000000.0 | 500000000.0 | 400000000.0,covered_by_final_series,
1985 budget memorandum.pdf,Data/input/finance_bills/Netherlands/1985 budget memorandum.pdf,,1,OCW Art. 16 Onderzoek en wetenschapsbeleid,130,Research policy,522000000.0,covered_by_final_series,
1986 budget memorandum.pdf,Data/input/finance_bills/Netherlands/1986 budget memorandum.pdf,,1,OCW Art. 07 Wetenschappelijk onderwijs (universities),95,Expenditures for scientific education and research,4900000000.0,covered_by_final_series,
1987 budget memorandum.pdf,Data/input/finance_bills/Netherlands/1987 budget memorandum.pdf,,2,EZ Art. 02 Bedrijvenbeleid / innovatie (incl. TNO) | OCW Art. 07 Wetenschappelijk onderwijs (universities),104 | 101,"approximately 50 million for innovation-oriented research programs | For scientific education and research, including academic hospitals, 5.1 billion is available.",50000000.0 | 5100000000.0,covered_by_final_series,
