canonical_name,category,year,source_file,entity_raw,amount_current,section_name,table_index,row_index,in_series
Callaghan Innovation,science_agency,2016,2016_Appropriation Estimates Act.pdf,Callaghan Innovation - Operations,59651.0,Science and Innovation,0,325,True
Callaghan Innovation,science_agency,2017,2017_Appropriation Estimates Act.pdf,Callaghan Innovation - Operations,59651.0,Science and Innovation,0,338,True
Callaghan Innovation,science_agency,2018,2018_Appropriation Estimates Act.pdf,Callaghan Innovation - Operations,59651.0,"Research, Science and Innovation",0,356,True
Callaghan Innovation,science_agency,2022,2022_Appropriation Estimates Act.pdf,Callaghan Innovation - Operations,81240.0,"Research, Science and Innovation",0,410,True
Callaghan Innovation,science_agency,2024,2024_Appropriation Estimates Act.pdf,Callaghan Innovation - Operations,85844.0,"Science, Innovation and Technology",0,439,True
Callaghan Innovation,science_agency,2025,2025_Appropriation Estimates Act.pdf,Callaghan Innovation - Operations,95479.0,"Science, Innovation and Technology",0,452,True
Catalyst Fund (New Zealand),rd_fund,2016,2016_Appropriation Estimates Act.pdf,Catalyst Fund,12675.0,Science and Innovation,0,319,True
Catalyst Fund (New Zealand),rd_fund,2017,2017_Appropriation Estimates Act.pdf,Catalyst Fund,13351.0,Science and Innovation,0,335,True
Catalyst Fund (New Zealand),rd_fund,2018,2018_Appropriation Estimates Act.pdf,Catalyst Fund,8251.0,"Research, Science and Innovation",0,353,True
Catalyst Fund (New Zealand),rd_fund,2019,2019_Appropriation Estimates Act.pdf,Catalyst Fund,17451.0,"Research, Science and Innovation",0,365,True
Catalyst Fund (New Zealand),rd_fund,2020,2020_Appropriation Estimates Act.pdf,"Research, Science and Innovation: Catalyst Fund",34751.0,"Business, Science and Innovation",0,377,True
Catalyst Fund (New Zealand),rd_fund,2021,2021_Appropriation Estimates Act.pdf,Catalyst Fund,36501.0,"Research, Science and Innovation",0,386,True
Catalyst Fund (New Zealand),rd_fund,2022,2022_Appropriation Estimates Act.pdf,Catalyst Fund,45251.0,"Research, Science and Innovation",0,401,True
Catalyst Fund (New Zealand),rd_fund,2023,2023_Appropriation Estimates Act.pdf,Catalyst Fund,35751.0,"Research, Science and Innovation",0,420,True
Catalyst Fund (New Zealand),rd_fund,2024,2024_Appropriation Estimates Act.pdf,Catalyst Fund,52961.0,"Science, Innovation and Technology",0,436,True
Catalyst Fund (New Zealand),rd_fund,2025,2025_Appropriation Estimates Act.pdf,Catalyst Fund,41441.0,"Science, Innovation and Technology",0,449,True
Crown Research Institutes (New Zealand),science_agency,1992,1992_Appropriation Estimates Act.pdf,Crown Research Institutes,1.0,Scientific and Industrial Research,0,24,False
Crown Research Institutes (New Zealand),science_agency,1993,1993_Appropriation Estimates Act.pdf,Crown Research Institutes,,"Research, Science and Technology",0,26,False
Crown Research Institutes (New Zealand),science_agency,1994,1994_Appropriation Estimates Act.pdf,Crown Research Institutes,,"Research, Science and Technology",0,29,False
Crown Research Institutes (New Zealand),science_agency,2011,2011_Appropriation Estimates Act.pdf,Crown Research Institute Core Funding,215145.0,Vote Science and Innovation,0,218,True
Crown Research Institutes (New Zealand),science_agency,2012,2012_Appropriation Estimates Act.pdf,Crown Research Institute Core Funding,220145.0,Science and Innovation,0,235,True
Crown Research Institutes (New Zealand),science_agency,2013,2013_Appropriation Estimates Act.pdf,Crown Research Institute Core Funding,201622.0,Science and Innovation,0,253,True
Crown Research Institutes (New Zealand),science_agency,2014,2014_Appropriation Estimates Act.pdf,Crown Research Institute Core Funding,201622.0,Science and Innovation,0,278,True
Crown Research Institutes (New Zealand),science_agency,2015,2015_Appropriation Estimates Act.pdf,Science and Innovation: Crown Research Institute Core Funding,201622.0,"Business, Science and Innovation",0,306,True
DSIR (New Zealand),science_agency,1975,1975 aa19751975n128203.pdf,Scientific and Industrial Research (Programme I),26.6,DSIR (New Zealand),0,0,True
DSIR (New Zealand),science_agency,1975,1975 aa19751975n128203.pdf,Scientific and Industrial Research (Programme II),245.8,DSIR (New Zealand),0,1,True
DSIR (New Zealand),science_agency,1975,1975 aa19751975n128203.pdf,Total for Scientific and Industrial Research,724.077,DSIR (New Zealand),0,2,True
DSIR (New Zealand),science_agency,1976,1976 aa19761976n145203.pdf,Scientific and Industrial Research (Programme I),177645.0,Scientific and Industrial Research (Programme I),0,3,True
