country,year,canonical_name,category,amount_local,unit,currency,item_type,line_description_en,source_file,page_number,series_notes
New Zealand,2015,Callaghan Innovation,science_agency,63710000.0,dollar,NZD,verified_override,Science and Innovation: Callaghan Innovation,2015_Appropriation Estimates Act.pdf,10,gap: no matching rows in this year; manual override from original New Zealand budget file
New Zealand,2016,Callaghan Innovation,science_agency,59651000.0,dollar,NZD,program_total,Callaghan Innovation - Operations,2016_Appropriation Estimates Act.pdf,11,Tracks the comparable agency / operations appropriation. Excludes early strategic-investment rows.
New Zealand,2017,Callaghan Innovation,science_agency,59651000.0,dollar,NZD,line_item,Callaghan Innovation - Operations,2017_Appropriation Estimates Act.pdf,9,Tracks the comparable agency / operations appropriation. Excludes early strategic-investment rows.
New Zealand,2018,Callaghan Innovation,science_agency,59651000.0,dollar,NZD,program_total,Callaghan Innovation - Operations,2018_Appropriation Estimates Act.pdf,10,Tracks the comparable agency / operations appropriation. Excludes early strategic-investment rows.
New Zealand,2019,Callaghan Innovation,science_agency,75151000.0,dollar,NZD,verified_override,"Research, Science and Innovation: Callaghan Innovation - Operations",2019_Appropriation Estimates Act.pdf,10,gap: no matching rows in this year; manual override from original New Zealand budget file
New Zealand,2020,Callaghan Innovation,science_agency,80288000.0,dollar,NZD,verified_override,"Research, Science and Innovation: Callaghan Innovation - Operations",2020_Appropriation Estimates Act.pdf,9,gap: no matching rows in this year; manual override from original New Zealand budget file
New Zealand,2021,Callaghan Innovation,science_agency,79823000.0,dollar,NZD,verified_override,"Research, Science and Innovation: Callaghan Innovation - Operations",2021_Appropriation Estimates Act.pdf,11,gap: no matching rows in this year; manual override from original New Zealand budget file
New Zealand,2022,Callaghan Innovation,science_agency,81240000.0,dollar,NZD,line_item,Callaghan Innovation - Operations,2022_Appropriation Estimates Act.pdf,11,Tracks the comparable agency / operations appropriation. Excludes early strategic-investment rows.
New Zealand,2023,Callaghan Innovation,science_agency,85868000.0,dollar,NZD,verified_override,"Research, Science and Innovation: Callaghan Innovation - Operations",2023_Appropriation Estimates Act.pdf,10,gap: no matching rows in this year; manual override from original New Zealand budget file
New Zealand,2024,Callaghan Innovation,science_agency,85844000.0,dollar,NZD,program_total,Callaghan Innovation - Operations,2024_Appropriation Estimates Act.pdf,11,Tracks the comparable agency / operations appropriation. Excludes early strategic-investment rows.
New Zealand,2025,Callaghan Innovation,science_agency,95479000.0,dollar,NZD,line_item,Callaghan Innovation - Operations,2025_Appropriation Estimates Act.pdf,11,Tracks the comparable agency / operations appropriation. Excludes early strategic-investment rows.
New Zealand,2016,Catalyst Fund (New Zealand),rd_fund,12675000.0,dollar,NZD,program_total,Catalyst Fund,2016_Appropriation Estimates Act.pdf,9,
New Zealand,2017,Catalyst Fund (New Zealand),rd_fund,13351000.0,dollar,NZD,program_total,Catalyst Fund,2017_Appropriation Estimates Act.pdf,9,
New Zealand,2018,Catalyst Fund (New Zealand),rd_fund,8251000.0,dollar,NZD,program_total,Catalyst Fund,2018_Appropriation Estimates Act.pdf,10,
