country,canonical_name,year,amount_total,amount_primary,n_acts,acts,additive_flag,currency,unit,category
New Zealand,Callaghan Innovation,2015,63710000.0,63710000.0,1,2015_Appropriation Estimates Act.pdf,single,NZD,dollar,science_agency
New Zealand,Callaghan Innovation,2016,59651000.0,59651000.0,1,2016_Appropriation Estimates Act.pdf,single,NZD,dollar,science_agency
New Zealand,Callaghan Innovation,2017,59651000.0,59651000.0,1,2017_Appropriation Estimates Act.pdf,single,NZD,dollar,science_agency
New Zealand,Callaghan Innovation,2018,59651000.0,59651000.0,1,2018_Appropriation Estimates Act.pdf,single,NZD,dollar,science_agency
New Zealand,Callaghan Innovation,2019,75151000.0,75151000.0,1,2019_Appropriation Estimates Act.pdf,single,NZD,dollar,science_agency
New Zealand,Callaghan Innovation,2020,80288000.0,80288000.0,1,2020_Appropriation Estimates Act.pdf,single,NZD,dollar,science_agency
New Zealand,Callaghan Innovation,2021,79823000.0,79823000.0,1,2021_Appropriation Estimates Act.pdf,single,NZD,dollar,science_agency
New Zealand,Callaghan Innovation,2022,81240000.0,81240000.0,1,2022_Appropriation Estimates Act.pdf,single,NZD,dollar,science_agency
New Zealand,Callaghan Innovation,2023,85868000.0,85868000.0,1,2023_Appropriation Estimates Act.pdf,single,NZD,dollar,science_agency
New Zealand,Callaghan Innovation,2024,85844000.0,85844000.0,1,2024_Appropriation Estimates Act.pdf,single,NZD,dollar,science_agency
New Zealand,Callaghan Innovation,2025,95479000.0,95479000.0,1,2025_Appropriation Estimates Act.pdf,single,NZD,dollar,science_agency
New Zealand,Catalyst Fund (New Zealand),2016,12675000.0,12675000.0,1,2016_Appropriation Estimates Act.pdf,single,NZD,dollar,rd_fund
New Zealand,Catalyst Fund (New Zealand),2017,13351000.0,13351000.0,1,2017_Appropriation Estimates Act.pdf,single,NZD,dollar,rd_fund
New Zealand,Catalyst Fund (New Zealand),2018,8251000.0,8251000.0,1,2018_Appropriation Estimates Act.pdf,single,NZD,dollar,rd_fund
New Zealand,Catalyst Fund (New Zealand),2019,17451000.0,17451000.0,1,2019_Appropriation Estimates Act.pdf,single,NZD,dollar,rd_fund
New Zealand,Catalyst Fund (New Zealand),2020,34751000.0,34751000.0,1,2020_Appropriation Estimates Act.pdf,single,NZD,dollar,rd_fund
New Zealand,Catalyst Fund (New Zealand),2021,36501000.0,36501000.0,1,2021_Appropriation Estimates Act.pdf,single,NZD,dollar,rd_fund
New Zealand,Catalyst Fund (New Zealand),2022,45251000.0,45251000.0,1,2022_Appropriation Estimates Act.pdf,single,NZD,dollar,rd_fund
New Zealand,Catalyst Fund (New Zealand),2023,35751000.0,35751000.0,1,2023_Appropriation Estimates Act.pdf,single,NZD,dollar,rd_fund
New Zealand,Catalyst Fund (New Zealand),2024,52961000.0,52961000.0,1,2024_Appropriation Estimates Act.pdf,single,NZD,dollar,rd_fund
New Zealand,Catalyst Fund (New Zealand),2025,41441000.0,41441000.0,1,2025_Appropriation Estimates Act.pdf,single,NZD,dollar,rd_fund
