dataset,country,year,series_name,rollup_name,era_name,rollup_method,coverage_status,observation_status,amount_local,unit,currency,expected_components,optional_components,included_components,expected_component_count,included_component_count,comparability_note
analytical_rollup,New Zealand,1975,New Zealand public science budget proxy,New Zealand public science budget proxy,dsir_era,dsir_anchor,missing,missing,,dollar,NZD,DSIR (New Zealand),,,1,0,"Single-institution anchor from the DSIR era. Conservative institutional series, not a whole-of-system science budget."
analytical_rollup,New Zealand,1976,New Zealand public science budget proxy,New Zealand public science budget proxy,dsir_era,dsir_anchor,anchor,observed_anchor,177645000.0,dollar,NZD,DSIR (New Zealand),,DSIR (New Zealand),1,1,"Single-institution anchor from the DSIR era. Conservative institutional series, not a whole-of-system science budget."
analytical_rollup,New Zealand,1977,New Zealand public science budget proxy,New Zealand public science budget proxy,dsir_era,dsir_anchor,missing,missing,,dollar,NZD,DSIR (New Zealand),,,1,0,"Single-institution anchor from the DSIR era. Conservative institutional series, not a whole-of-system science budget."
analytical_rollup,New Zealand,1978,New Zealand public science budget proxy,New Zealand public science budget proxy,dsir_era,dsir_anchor,anchor,observed_anchor,42785000.0,dollar,NZD,DSIR (New Zealand),,DSIR (New Zealand),1,1,"Single-institution anchor from the DSIR era. Conservative institutional series, not a whole-of-system science budget."
analytical_rollup,New Zealand,1979,New Zealand public science budget proxy,New Zealand public science budget proxy,dsir_era,dsir_anchor,anchor,observed_anchor,51090000.0,dollar,NZD,DSIR (New Zealand),,DSIR (New Zealand),1,1,"Single-institution anchor from the DSIR era. Conservative institutional series, not a whole-of-system science budget."
analytical_rollup,New Zealand,1980,New Zealand public science budget proxy,New Zealand public science budget proxy,dsir_era,dsir_anchor,anchor,observed_anchor,65460000.0,dollar,NZD,DSIR (New Zealand),,DSIR (New Zealand),1,1,"Single-institution anchor from the DSIR era. Conservative institutional series, not a whole-of-system science budget."
analytical_rollup,New Zealand,1981,New Zealand public science budget proxy,New Zealand public science budget proxy,dsir_era,dsir_anchor,anchor,observed_anchor,81305000.0,dollar,NZD,DSIR (New Zealand),,DSIR (New Zealand),1,1,"Single-institution anchor from the DSIR era. Conservative institutional series, not a whole-of-system science budget."
analytical_rollup,New Zealand,1982,New Zealand public science budget proxy,New Zealand public science budget proxy,dsir_era,dsir_anchor,anchor,observed_anchor,98030000.0,dollar,NZD,DSIR (New Zealand),,DSIR (New Zealand),1,1,"Single-institution anchor from the DSIR era. Conservative institutional series, not a whole-of-system science budget."
analytical_rollup,New Zealand,1983,New Zealand public science budget proxy,New Zealand public science budget proxy,dsir_era,dsir_anchor,anchor,observed_anchor,100915000.0,dollar,NZD,DSIR (New Zealand),,DSIR (New Zealand),1,1,"Single-institution anchor from the DSIR era. Conservative institutional series, not a whole-of-system science budget."
analytical_rollup,New Zealand,1984,New Zealand public science budget proxy,New Zealand public science budget proxy,dsir_era,dsir_anchor,missing,missing,,dollar,NZD,DSIR (New Zealand),,,1,0,"Single-institution anchor from the DSIR era. Conservative institutional series, not a whole-of-system science budget."
analytical_rollup,New Zealand,1985,New Zealand public science budget proxy,New Zealand public science budget proxy,dsir_era,dsir_anchor,anchor,observed_anchor,107215000.0,dollar,NZD,DSIR (New Zealand),,DSIR (New Zealand),1,1,"Single-institution anchor from the DSIR era. Conservative institutional series, not a whole-of-system science budget."
analytical_rollup,New Zealand,1986,New Zealand public science budget proxy,New Zealand public science budget proxy,dsir_era,dsir_anchor,anchor,observed_anchor,147781000.0,dollar,NZD,DSIR (New Zealand),,DSIR (New Zealand),1,1,"Single-institution anchor from the DSIR era. Conservative institutional series, not a whole-of-system science budget."
analytical_rollup,New Zealand,1987,New Zealand public science budget proxy,New Zealand public science budget proxy,dsir_era,dsir_anchor,anchor,observed_anchor,156776000.0,dollar,NZD,DSIR (New Zealand),,DSIR (New Zealand),1,1,"Single-institution anchor from the DSIR era. Conservative institutional series, not a whole-of-system science budget."
analytical_rollup,New Zealand,1988,New Zealand public science budget proxy,New Zealand public science budget proxy,dsir_era,dsir_anchor,missing,missing,,dollar,NZD,DSIR (New Zealand),,,1,0,"Single-institution anchor from the DSIR era. Conservative institutional series, not a whole-of-system science budget."
analytical_rollup,New Zealand,1989,New Zealand public science budget proxy,New Zealand public science budget proxy,dsir_era,dsir_anchor,anchor,observed_anchor,185558000.0,dollar,NZD,DSIR (New Zealand),,DSIR (New Zealand),1,1,"Single-institution anchor from the DSIR era. Conservative institutional series, not a whole-of-system science budget."
analytical_rollup,New Zealand,1990,New Zealand public science budget proxy,New Zealand public science budget proxy,dsir_era,dsir_anchor,anchor,observed_anchor,41877000.0,dollar,NZD,DSIR (New Zealand),,DSIR (New Zealand),1,1,"Single-institution anchor from the DSIR era. Conservative institutional series, not a whole-of-system science budget."
analytical_rollup,New Zealand,1991,New Zealand public science budget proxy,New Zealand public science budget proxy,rst_transition_era,rst_vote_anchor_or_partial_proxy,missing,missing,,dollar,NZD,"Research, Science and Technology Vote (New Zealand)",Marsden Fund (New Zealand),,1,0,"Prefer the explicit Research, Science and Technology vote when available. Fall back to Marsden only as a partial proxy when the vote total is not defensible in the source."
analytical_rollup,New Zealand,1992,New Zealand public science budget proxy,New Zealand public science budget proxy,rst_transition_era,rst_vote_anchor_or_partial_proxy,missing,missing,,dollar,NZD,"Research, Science and Technology Vote (New Zealand)",Marsden Fund (New Zealand),,1,0,"Prefer the explicit Research, Science and Technology vote when available. Fall back to Marsden only as a partial proxy when the vote total is not defensible in the source."
