canonical_name,category,research_role,first_observed_year,last_observed_year,observed_years,dominant_item_type,source_files,gap_years,gap_list,research_role_note
DSIR (New Zealand),science_agency,historical_anchor,1976,1990,12,section_total,1976 aa19761976n145203.pdf | 1978 aa19781978n84203.pdf | 1979 aa19791979n45203.pdf | 1980 aa19801980n46203.pdf | 1981 aa19811981n133203.pdf | 1982 aa19821982n184203.pdf | 1983 aa19831983n154203.pdf | 1985 aa19851985n58203.pdf | 1986 aa19861986n125203.pdf | 1987 aa19871987n198203.pdf | 1989 aa19881988n152203.pdf | 1990 aa19901990n38203.pdf,3,1975 | 1977 | 1984,Direct historical institution anchor. Use for DSIR-era institutional research.
Callaghan Innovation,science_agency,modern_portfolio_component,2015,2025,11,verified_override,2015_Appropriation Estimates Act.pdf | 2016_Appropriation Estimates Act.pdf | 2017_Appropriation Estimates Act.pdf | 2018_Appropriation Estimates Act.pdf | 2019_Appropriation Estimates Act.pdf | 2020_Appropriation Estimates Act.pdf | 2021_Appropriation Estimates Act.pdf | 2022_Appropriation Estimates Act.pdf | 2023_Appropriation Estimates Act.pdf | 2024_Appropriation Estimates Act.pdf | 2025_Appropriation Estimates Act.pdf,0,,Modern portfolio component tracked on the comparable operations line.
Catalyst Fund (New Zealand),rd_fund,modern_portfolio_component,2016,2025,10,program_total,2016_Appropriation Estimates Act.pdf | 2017_Appropriation Estimates Act.pdf | 2018_Appropriation Estimates Act.pdf | 2019_Appropriation Estimates Act.pdf | 2020_Appropriation Estimates Act.pdf | 2021_Appropriation Estimates Act.pdf | 2022_Appropriation Estimates Act.pdf | 2023_Appropriation Estimates Act.pdf | 2024_Appropriation Estimates Act.pdf | 2025_Appropriation Estimates Act.pdf,0,,Modern portfolio component. International research collaboration fund.
Health Research Fund (New Zealand),rd_fund,modern_portfolio_component,2016,2025,10,program_total,2016_Appropriation Estimates Act.pdf | 2017_Appropriation Estimates Act.pdf | 2018_Appropriation Estimates Act.pdf | 2019_Appropriation Estimates Act.pdf | 2020_Appropriation Estimates Act.pdf | 2021_Appropriation Estimates Act.pdf | 2022_Appropriation Estimates Act.pdf | 2023_Appropriation Estimates Act.pdf | 2024_Appropriation Estimates Act.pdf | 2025_Appropriation Estimates Act.pdf,0,,Modern portfolio component for health-related public research funding.
Partnered Research Fund (New Zealand),rd_fund,modern_portfolio_component,2016,2025,10,program_total,2016_Appropriation Estimates Act.pdf | 2017_Appropriation Estimates Act.pdf | 2018_Appropriation Estimates Act.pdf | 2019_Appropriation Estimates Act.pdf | 2020_Appropriation Estimates Act.pdf | 2021_Appropriation Estimates Act.pdf | 2022_Appropriation Estimates Act.pdf | 2023_Appropriation Estimates Act.pdf | 2024_Appropriation Estimates Act.pdf | 2025_Appropriation Estimates Act.pdf,0,,Modern portfolio component for co-funded or partnered research.
Regional Research Institutes,science_agency,modern_portfolio_component,2017,2022,5,program_total,2017_Appropriation Estimates Act.pdf | 2018_Appropriation Estimates Act.pdf | 2019_Appropriation Estimates Act.pdf | 2021_Appropriation Estimates Act.pdf | 2022_Appropriation Estimates Act.pdf,1,2020,Modern portfolio component with narrower regional scope.
Strategic Science Investment Fund (New Zealand),rd_fund,modern_portfolio_component,2017,2025,8,line_item,2017_Appropriation Estimates Act.pdf | 2018_Appropriation Estimates Act.pdf | 2020_Appropriation Estimates Act.pdf | 2021_Appropriation Estimates Act.pdf | 2022_Appropriation Estimates Act.pdf | 2023_Appropriation Estimates Act.pdf | 2024_Appropriation Estimates Act.pdf | 2025_Appropriation Estimates Act.pdf,0,,Modern portfolio anchor-like component replacing earlier broad science-vote structures.
Endeavour Fund (New Zealand),rd_fund,modern_portfolio_component,2018,2025,8,program_total,2018_Appropriation Estimates Act.pdf | 2019_Appropriation Estimates Act.pdf | 2020_Appropriation Estimates Act.pdf | 2021_Appropriation Estimates Act.pdf | 2022_Appropriation Estimates Act.pdf | 2023_Appropriation Estimates Act.pdf | 2024_Appropriation Estimates Act.pdf | 2025_Appropriation Estimates Act.pdf,0,,Modern portfolio component. Large contestable fund.
Marsden Fund (New Zealand),science_agency,partial_proxy_component,1998,2025,27,program_total,1998_Appropriation Estimates Act.pdf | 1999_Appropriation Estimates Act.pdf | 2000_Appropriation Estimates Act.pdf | 2001_Appropriation Estimates Act.pdf | 2002_Appropriation Estimates Act.pdf | 2003_Appropriation Estimates Act.pdf | 2005_Appropriation Estimates Act.pdf | 2006_Appropriation Estimates Act.pdf | 2007_Appropriation Estimates Act.pdf | 2008_Appropriation Estimates Act.pdf | 2009_Appropriation Estimates Act.pdf | 2010_Appropriation Estimates Act.pdf | 2011_Appropriation Estimates Act.pdf | 2012_Appropriation Estimates Act.pdf | 2013_Appropriation Estimates Act.pdf | 2014_Appropriation Estimates Act.pdf | 2015_Appropriation Estimates Act.pdf | 2016_Appropriation Estimates Act.pdf | 2017_Appropriation Estimates Act.pdf | 2018_Appropriation Estimates Act.pdf | 2019_Appropriation Estimates Act.pdf | 2020_Appropriation Estimates Act.pdf | 2021_Appropriation Estimates Act.pdf | 2022_Appropriation Estimates Act.pdf | 2023_Appropriation Estimates Act.pdf | 2024_Appropriation Estimates Act.pdf | 2025_Appropriation Estimates Act.pdf,0,,Narrow but durable competitive-funding proxy. Useful where vote totals are missing.
Crown Research Institutes (New Zealand),science_agency,transition_anchor,2011,2015,5,program_total,2011_Appropriation Estimates Act.pdf | 2012_Appropriation Estimates Act.pdf | 2013_Appropriation Estimates Act.pdf | 2014_Appropriation Estimates Act.pdf | 2015_Appropriation Estimates Act.pdf,0,,Transition-era portfolio anchor through explicit CRI core funding.
"Research, Science and Technology Vote (New Zealand)",rd_ministry,vote_anchor,1996,2010,5,section_total,1996_Appropriation Estimates Act.pdf | 1997_Appropriation Estimates Act.pdf | 1998_Appropriation Estimates Act.pdf | 1999_Appropriation Estimates Act.pdf | 2010_Appropriation Estimates Act.pdf,3,1990 | 1995 | 2001,Best direct vote-level anchor for the pre-MBIE transition era.
