country,year,era_name,rollup_method,analytical_coverage_status,analytical_rollup_nzd,analytical_components,institutional_total_nzd,institutional_series_count,institutional_rows,source_file_count,canonical_list
New Zealand,1975,dsir_era,dsir_anchor,missing,,,,0,0,0,
New Zealand,1976,dsir_era,dsir_anchor,anchor,177645000.0,DSIR (New Zealand),177645000.0,1,1,1,DSIR (New Zealand)
New Zealand,1977,dsir_era,dsir_anchor,missing,,,,0,0,0,
New Zealand,1978,dsir_era,dsir_anchor,anchor,42785000.0,DSIR (New Zealand),42785000.0,1,1,1,DSIR (New Zealand)
New Zealand,1979,dsir_era,dsir_anchor,anchor,51090000.0,DSIR (New Zealand),51090000.0,1,1,1,DSIR (New Zealand)
New Zealand,1980,dsir_era,dsir_anchor,anchor,65460000.0,DSIR (New Zealand),65460000.0,1,1,1,DSIR (New Zealand)
New Zealand,1981,dsir_era,dsir_anchor,anchor,81305000.0,DSIR (New Zealand),81305000.0,1,1,1,DSIR (New Zealand)
New Zealand,1982,dsir_era,dsir_anchor,anchor,98030000.0,DSIR (New Zealand),98030000.0,1,1,1,DSIR (New Zealand)
New Zealand,1983,dsir_era,dsir_anchor,anchor,100915000.0,DSIR (New Zealand),100915000.0,1,1,1,DSIR (New Zealand)
New Zealand,1984,dsir_era,dsir_anchor,missing,,,,0,0,0,
New Zealand,1985,dsir_era,dsir_anchor,anchor,107215000.0,DSIR (New Zealand),107215000.0,1,1,1,DSIR (New Zealand)
New Zealand,1986,dsir_era,dsir_anchor,anchor,147781000.0,DSIR (New Zealand),147781000.0,1,1,1,DSIR (New Zealand)
New Zealand,1987,dsir_era,dsir_anchor,anchor,156776000.0,DSIR (New Zealand),156776000.0,1,1,1,DSIR (New Zealand)
New Zealand,1988,dsir_era,dsir_anchor,missing,,,,0,0,0,
New Zealand,1989,dsir_era,dsir_anchor,anchor,185558000.0,DSIR (New Zealand),185558000.0,1,1,1,DSIR (New Zealand)
New Zealand,1990,dsir_era,dsir_anchor,anchor,41877000.0,DSIR (New Zealand),41877000.0,1,1,1,DSIR (New Zealand)
New Zealand,1991,rst_transition_era,rst_vote_anchor_or_partial_proxy,missing,,,,0,0,0,
New Zealand,1992,rst_transition_era,rst_vote_anchor_or_partial_proxy,missing,,,,0,0,0,
New Zealand,1993,rst_transition_era,rst_vote_anchor_or_partial_proxy,missing,,,,0,0,0,
New Zealand,1994,rst_transition_era,rst_vote_anchor_or_partial_proxy,missing,,,,0,0,0,
New Zealand,1995,rst_transition_era,rst_vote_anchor_or_partial_proxy,missing,,,,0,0,0,
New Zealand,1996,rst_transition_era,rst_vote_anchor_or_partial_proxy,anchor,267699000.0,"Research, Science and Technology Vote (New Zealand)",267699000.0,1,1,1,"Research, Science and Technology Vote (New Zealand)"
New Zealand,1997,rst_transition_era,rst_vote_anchor_or_partial_proxy,anchor,287465000.0,"Research, Science and Technology Vote (New Zealand)",287465000.0,1,1,1,"Research, Science and Technology Vote (New Zealand)"
New Zealand,1998,rst_transition_era,rst_vote_anchor_or_partial_proxy,anchor,317335000.0,"Research, Science and Technology Vote (New Zealand)",339174000.0,2,2,1,"Marsden Fund (New Zealand) | Research, Science and Technology Vote (New Zealand)"
New Zealand,1999,rst_transition_era,rst_vote_anchor_or_partial_proxy,anchor,326985000.0,"Research, Science and Technology Vote (New Zealand)",349824000.0,2,2,1,"Marsden Fund (New Zealand) | Research, Science and Technology Vote (New Zealand)"
New Zealand,2000,rst_transition_era,rst_vote_anchor_or_partial_proxy,partial_proxy,25839000.0,Marsden Fund (New Zealand),25839000.0,1,1,1,Marsden Fund (New Zealand)
New Zealand,2001,rst_transition_era,rst_vote_anchor_or_partial_proxy,partial_proxy,27839000.0,Marsden Fund (New Zealand),27839000.0,1,1,1,Marsden Fund (New Zealand)
New Zealand,2002,rst_transition_era,rst_vote_anchor_or_partial_proxy,partial_proxy,30839000.0,Marsden Fund (New Zealand),30839000.0,1,1,1,Marsden Fund (New Zealand)
New Zealand,2003,rst_transition_era,rst_vote_anchor_or_partial_proxy,partial_proxy,32789000.0,Marsden Fund (New Zealand),32789000.0,1,1,1,Marsden Fund (New Zealand)
New Zealand,2004,rst_transition_era,rst_vote_anchor_or_partial_proxy,missing,,,,0,0,0,
New Zealand,2005,rst_transition_era,rst_vote_anchor_or_partial_proxy,partial_proxy,33928000.0,Marsden Fund (New Zealand),33928000.0,1,1,1,Marsden Fund (New Zealand)
New Zealand,2006,rst_transition_era,rst_vote_anchor_or_partial_proxy,partial_proxy,33878000.0,Marsden Fund (New Zealand),33878000.0,1,1,1,Marsden Fund (New Zealand)
New Zealand,2007,rst_transition_era,rst_vote_anchor_or_partial_proxy,partial_proxy,35878000.0,Marsden Fund (New Zealand),35878000.0,1,1,1,Marsden Fund (New Zealand)
New Zealand,2008,rst_transition_era,rst_vote_anchor_or_partial_proxy,partial_proxy,37878000.0,Marsden Fund (New Zealand),37878000.0,1,1,1,Marsden Fund (New Zealand)
New Zealand,2009,rst_transition_era,rst_vote_anchor_or_partial_proxy,partial_proxy,46878000.0,Marsden Fund (New Zealand),46878000.0,1,1,1,Marsden Fund (New Zealand)
New Zealand,2010,rst_transition_era,rst_vote_anchor_or_partial_proxy,anchor,279000000.0,"Research, Science and Technology Vote (New Zealand)",325755000.0,2,2,1,"Marsden Fund (New Zealand) | Research, Science and Technology Vote (New Zealand)"
New Zealand,2011,cri_transition_era,transitional_portfolio_sum,broad_proxy,261900000.0,Crown Research Institutes (New Zealand) | Marsden Fund (New Zealand),261900000.0,2,2,1,Crown Research Institutes (New Zealand) | Marsden Fund (New Zealand)
New Zealand,2012,cri_transition_era,transitional_portfolio_sum,broad_proxy,266900000.0,Crown Research Institutes (New Zealand) | Marsden Fund (New Zealand),266900000.0,2,2,1,Crown Research Institutes (New Zealand) | Marsden Fund (New Zealand)
New Zealand,2013,cri_transition_era,transitional_portfolio_sum,broad_proxy,253377000.0,Crown Research Institutes (New Zealand) | Marsden Fund (New Zealand),253377000.0,2,2,1,Crown Research Institutes (New Zealand) | Marsden Fund (New Zealand)
