country,canonical_name,year,amount_total,amount_primary,n_acts,acts,additive_flag,currency,unit,category
Norway,50 Grants,1975,,,0,,gap,,,direct_rd
Norway,50 Grants,1976,,,0,,gap,,,direct_rd
Norway,50 Grants,1977,,,0,,gap,,,direct_rd
Norway,50 Grants,1978,27500000.0,27500000.0,1,1978_Norway.pdf,single,NOK,unit,direct_rd
Norway,50 Grants,1979,,,0,,gap,,,direct_rd
Norway,50 Grants,1980,,,0,,gap,,,direct_rd
Norway,50 Grants,1981,,,0,,gap,,,direct_rd
Norway,50 Grants,1982,,,0,,gap,,,direct_rd
Norway,50 Grants,1983,,,0,,gap,,,direct_rd
Norway,50 Grants,1984,,,0,,gap,,,direct_rd
Norway,50 Grants,1985,,,0,,gap,,,direct_rd
Norway,50 Grants,1986,,,0,,gap,,,direct_rd
Norway,50 Grants,1987,,,0,,gap,,,direct_rd
Norway,50 Grants,1988,,,0,,gap,,,direct_rd
Norway,50 Grants,1989,,,0,,gap,,,direct_rd
Norway,50 Grants,1990,,,0,,gap,,,direct_rd
Norway,50 Grants,1991,,,0,,gap,,,direct_rd
Norway,50 Grants,1992,,,0,,gap,,,direct_rd
Norway,50 Grants,1993,,,0,,gap,,,direct_rd
Norway,50 Grants,1994,,,0,,gap,,,direct_rd
Norway,50 Grants,1995,,,0,,gap,,,direct_rd
Norway,50 Grants,1996,,,0,,gap,,,direct_rd
Norway,50 Grants,1997,,,0,,gap,,,direct_rd
Norway,50 Grants,1998,,,0,,gap,,,direct_rd
Norway,50 Grants,1999,809000000.0,809000000.0,1,1999 blaabok-1999.pdf,single,NOK,unit,direct_rd
Norway,50 Grants,2000,,,0,,gap,,,direct_rd
Norway,50 Grants,2001,,,0,,gap,,,direct_rd
Norway,50 Grants,2002,,,0,,gap,,,direct_rd
Norway,50 Grants,2003,,,0,,gap,,,direct_rd
Norway,50 Grants,2004,,,0,,gap,,,direct_rd
Norway,50 Grants,2005,,,0,,gap,,,direct_rd
Norway,50 Grants,2006,1066000000.0,1066000000.0,1,2006 vedtatt_budsjett2006.pdf,single,NOK,unit,direct_rd
