country,year,source_file,rows_extracted,source_issue_type,diagnosis,recommended_action
Poland,1995,1995 text.pdf,0,source_problem_incomplete_pdf,Source file appears incomplete or wrong for institutional budget extraction: the available PDF is only 6 pages and behaves like the legal text body rather than a full annex with agency tables.,replace_source_pdf
Poland,2000,2000 text.pdf,0,source_problem_ocr_broken,"Source file exists and is long, but the text layer is effectively unusable for extraction; pdftotext returns almost only form-feed characters, consistent with broken OCR or a damaged text layer.",rebuild_text_or_replace_pdf
Poland,2001,2001 text.pdf,0,parsed_text_but_no_structured_budget_hits,"The PDF has a readable text layer, but the available file behaves like legal body text rather than a structured annex with institution-level budget rows.",find_better_annex_source
Poland,2002,2002 text.pdf,0,parsed_text_but_no_structured_budget_hits,"The PDF has a readable text layer, but the available file behaves like legal body text rather than a structured annex with institution-level budget rows.",find_better_annex_source
Poland,2003,2003 text.pdf,0,parsed_text_but_no_structured_budget_hits,"The PDF has a readable text layer, but the available file behaves like legal body text rather than a structured annex with institution-level budget rows.",find_better_annex_source
Poland,2004,2004 text.pdf,0,parsed_text_but_no_structured_budget_hits,"The PDF has a readable text layer, but the available file behaves like legal body text rather than a structured annex with institution-level budget rows.",find_better_annex_source
Poland,2005,2005 text.pdf,0,parsed_text_but_no_structured_budget_hits,"The PDF has a readable text layer, but the available file behaves like legal body text rather than a structured annex with institution-level budget rows.",find_better_annex_source
Poland,2006,2006 text.pdf,0,parsed_text_but_no_structured_budget_hits,"The PDF has a readable text layer, but the available file behaves like legal body text rather than a structured annex with institution-level budget rows.",find_better_annex_source
Poland,2007,2007 text.pdf,0,parsed_text_but_no_structured_budget_hits,"The PDF has a readable text layer, but the available file behaves like legal body text rather than a structured annex with institution-level budget rows.",find_better_annex_source
Poland,2009,2009 text.pdf,0,parsed_text_but_no_structured_budget_hits,"The PDF has a readable text layer, but the available file behaves like legal body text rather than a structured annex with institution-level budget rows.",find_better_annex_source
Poland,2012,2012 text.pdf,0,source_problem_incomplete_pdf,Source file appears incomplete or wrong for institutional budget extraction: the available PDF is only 5 pages and behaves like the legal text body rather than a full annex with agency tables.,replace_source_pdf
