country,year,canonical_name,category,amount_local,currency,unit,item_type,source_file,page_number,line_description_en,series_notes,verification_status
Poland,1992,KBN (Komitet Badań Naukowych),science_agency,174086000.0,PLN,zloty,program_total,1992 text.pdf,23.0,Committee for Scientific Research,"State Committee for Scientific Research, 1991-2005. Key R&D body before creation of MNiSW and NCBiR.",explicit_same_page
Poland,1993,KBN (Komitet Badań Naukowych),science_agency,200000000.0,PLN,zloty,line_item,1993 text.pdf,22.0,Committee for Scientific Research,"State Committee for Scientific Research, 1991-2005. Key R&D body before creation of MNiSW and NCBiR.",explicit_same_page
Poland,1999,KBN (Komitet Badań Naukowych),science_agency,2742811000.0,PLN,zloty,verified_override,1999 D1999017015402.pdf,41.0,Research and development activities (main KBN budget section),"State Committee for Scientific Research, 1991-2005. Key R&D body before creation of MNiSW and NCBiR.; overridden after Poland source audit with exact main budget-section appropriation",explicit_same_page
Poland,2013,NCBiR (Narodowe Centrum Badań i Rozwoju),science_agency,1695208000.0,PLN,zloty,verified_override,2013 text.pdf,356.0,"Dotacje ogółem (financial plan, cash basis)",Applied R&D and innovation agency created 2007. Manages EU-co-financed and national R&D programmes.; recovered from Poland source-audited row; dropped after Poland source audit: zero/near-zero survivor is not a defensible annual appropriation; overridden after Poland source audit with exact financial-plan appropriation,explicit_same_page
Poland,2014,NCBiR (Narodowe Centrum Badań i Rozwoju),science_agency,1788873000.0,PLN,zloty,program_total,2014 text.pdf,296.0,Financial plan of the National Centre for Research and Development,Applied R&D and innovation agency created 2007. Manages EU-co-financed and national R&D programmes.; recovered from Poland source-audited row,explicit_same_page
Poland,2015,NCBiR (Narodowe Centrum Badań i Rozwoju),science_agency,1319954000.0,PLN,zloty,line_item,2015 text.pdf,48.0,National Centre for Research and Development,Applied R&D and innovation agency created 2007. Manages EU-co-financed and national R&D programmes.; dropped after Poland source audit: synthetic placeholder/summary value not supported by the original budget page; recovered from Poland source-audited row,explicit_same_page
Poland,2016,NCBiR (Narodowe Centrum Badań i Rozwoju),science_agency,496114000.0,PLN,zloty,program_total,2016 D2016000027802.pdf,260.0,National Centre for Research and Development,Applied R&D and innovation agency created 2007. Manages EU-co-financed and national R&D programmes.; dropped after Poland source audit: synthetic placeholder/summary value not supported by the original budget page; recovered from Poland source-audited row,explicit_same_page
Poland,2017,NCBiR (Narodowe Centrum Badań i Rozwoju),science_agency,2344421000.0,PLN,zloty,program_total,2017 text.pdf,259.0,National Centre for Research and Development,Applied R&D and innovation agency created 2007. Manages EU-co-financed and national R&D programmes.; recovered from Poland source-audited row,explicit_same_page
Poland,2019,NCBiR (Narodowe Centrum Badań i Rozwoju),science_agency,1408735000.0,PLN,zloty,verified_override,2019 text.pdf,312.0,"Dotacje ogółem (financial plan, cash basis)",Applied R&D and innovation agency created 2007. Manages EU-co-financed and national R&D programmes.; recovered from Poland source-audited row; overridden after Poland source audit with exact financial-plan appropriation,explicit_same_page
Poland,2020,NCBiR (Narodowe Centrum Badań i Rozwoju),science_agency,1332715000.0,PLN,zloty,verified_override,2020 text.pdf,292.0,"Dotacje ogółem (financial plan, cash basis)",Applied R&D and innovation agency created 2007. Manages EU-co-financed and national R&D programmes.; recovered from Poland source-audited row; overridden after Poland source audit with exact financial-plan appropriation,explicit_same_page
Poland,2023,NCBiR (Narodowe Centrum Badań i Rozwoju),science_agency,935222000.0,PLN,zloty,program_total,2023 text.pdf,49.0,Activities of the National Centre for Research and Development,Applied R&D and innovation agency created 2007. Manages EU-co-financed and national R&D programmes.; recovered from Poland source-audited row,explicit_same_page
Poland,2024,NCBiR (Narodowe Centrum Badań i Rozwoju),science_agency,763113000.0,PLN,zloty,program_total,2024 text.pdf,57.0,Activities of the National Centre for Research and Development,Applied R&D and innovation agency created 2007. Manages EU-co-financed and national R&D programmes.; recovered from Poland source-audited row,name_same_page_amount_weak
Poland,2025,NCBiR (Narodowe Centrum Badań i Rozwoju),science_agency,1088273000.0,PLN,zloty,program_total,2025 text.pdf,57.0,Activities of the National Centre for Research and Development,Applied R&D and innovation agency created 2007. Manages EU-co-financed and national R&D programmes.; recovered from Poland source-audited row,name_same_page_amount_weak
Poland,2011,NCN (Narodowe Centrum Nauki),science_agency,279965000.0,PLN,zloty,program_total,2011 text.pdf,196.0,National Science Centre,"Created 2011 as the main basic research grant agency in Poland. Appears in Część 28, Dział 740.; recovered from Poland source-audited row",explicit_same_page
Poland,2013,NCN (Narodowe Centrum Nauki),science_agency,899993000.0,PLN,zloty,program_total,2013 text.pdf,354.0,Financial plan of the National Science Centre,"Created 2011 as the main basic research grant agency in Poland. Appears in Część 28, Dział 740.; recovered from Poland source-audited row",explicit_same_page
Poland,2014,NCN (Narodowe Centrum Nauki),science_agency,1775016000.0,PLN,zloty,program_total,2014 text.pdf,295.0,Financial plan of the National Science Centre,"Created 2011 as the main basic research grant agency in Poland. Appears in Część 28, Dział 740.; recovered from Poland source-audited row",heading_neighbor_amount_same_page
Poland,2015,NCN (Narodowe Centrum Nauki),science_agency,976452000.0,PLN,zloty,line_item,2015 text.pdf,262.0,National Science Centre,"Created 2011 as the main basic research grant agency in Poland. Appears in Część 28, Dział 740.; dropped after Poland source audit: synthetic placeholder/summary value not supported by the original budget page; recovered from Poland source-audited row",explicit_same_page
Poland,2016,NCN (Narodowe Centrum Nauki),science_agency,434208000.0,PLN,zloty,program_total,2016 D2016000027802.pdf,306.0,Financial plan of the National Science Centre,"Created 2011 as the main basic research grant agency in Poland. Appears in Część 28, Dział 740.; dropped after Poland source audit: synthetic placeholder/summary value not supported by the original budget page; recovered from Poland source-audited row",heading_neighbor_amount_same_page
