country,year,canonical_name,category,gap_type,gap_subtype,diagnosis,raw_row_match,raw_row_amount,raw_row_file,action,series_amount,series_currency,prev_amount,next_amount
Poland,2011,NCN (Narodowe Centrum Nauki),science_agency,ok,,,,,,none,279965000.0,PLN,,899993000.0
Poland,2013,NCN (Narodowe Centrum Nauki),science_agency,ok,,,,,,none,899993000.0,PLN,279965000.0,976452000.0
Poland,2014,NCN (Narodowe Centrum Nauki),science_agency,missing,strict_traceability_excluded,strict_traceability_excluded: Removed from the final Poland panel after manual page-level verification because the source trace remained too weak (heading_neighbor_amount_same_page).,audited,,2014 text.pdf,none,,,899993000.0,976452000.0
Poland,2015,NCN (Narodowe Centrum Nauki),science_agency,ok,,,,,,none,976452000.0,PLN,899993000.0,1192559000.0
Poland,2016,NCN (Narodowe Centrum Nauki),science_agency,missing,strict_traceability_excluded,strict_traceability_excluded: Removed from the final Poland panel after manual page-level verification because the source trace remained too weak (heading_neighbor_amount_same_page).,audited,,2016 D2016000027802.pdf,none,,,976452000.0,1192559000.0
Poland,2017,NCN (Narodowe Centrum Nauki),science_agency,ok,,,,,,none,1192559000.0,PLN,976452000.0,1436577000.0
Poland,2018,NCN (Narodowe Centrum Nauki),science_agency,missing,strict_traceability_excluded,strict_traceability_excluded: Removed from the final Poland panel after manual page-level verification because the source trace remained too weak (weak_text_trace).,audited,,2018 text.pdf,none,,,1192559000.0,1436577000.0
Poland,2019,NCN (Narodowe Centrum Nauki),science_agency,missing,strict_traceability_excluded,strict_traceability_excluded: Removed from the final Poland panel after manual page-level verification because the source trace remained too weak (amount_only_same_page).,audited,,2019 text.pdf,none,,,1192559000.0,1436577000.0
Poland,2020,NCN (Narodowe Centrum Nauki),science_agency,missing,strict_traceability_excluded,strict_traceability_excluded: Removed from the final Poland panel after manual page-level verification because the source trace remained too weak (weak_text_trace).,audited,,2020 text.pdf,none,,,1192559000.0,1436577000.0
Poland,2021,NCN (Narodowe Centrum Nauki),science_agency,missing,strict_traceability_excluded,strict_traceability_excluded: Removed from the final Poland panel after manual page-level verification because the source trace remained too weak (weak_text_trace).,audited,,2021 text.pdf,none,,,1192559000.0,1436577000.0
Poland,2022,NCN (Narodowe Centrum Nauki),science_agency,missing,strict_traceability_excluded,strict_traceability_excluded: Removed from the final Poland panel after manual page-level verification because the source trace remained too weak (weak_text_trace).,audited,,2022 text.pdf,none,,,1192559000.0,1436577000.0
Poland,2023,NCN (Narodowe Centrum Nauki),science_agency,ok,,,,,,none,1436577000.0,PLN,1192559000.0,
Poland,2024,NCN (Narodowe Centrum Nauki),science_agency,missing,strict_traceability_excluded,strict_traceability_excluded: Removed from the final Poland panel after manual page-level verification because the source trace remained too weak (weak_text_trace).,audited,,2024 text.pdf,none,,,1436577000.0,
Poland,2025,NCN (Narodowe Centrum Nauki),science_agency,missing,strict_traceability_excluded,strict_traceability_excluded: Removed from the final Poland panel after manual page-level verification because the source trace remained too weak (weak_text_trace).,audited,,2025 text.pdf,none,,,1436577000.0,
Poland,2008,NCBiR (Narodowe Centrum Badań i Rozwoju),science_agency,missing,strict_traceability_excluded,strict_traceability_excluded: Removed from the final Poland panel after manual page-level verification because the source trace remained too weak (weak_text_trace).,audited,,2008 text.pdf,none,,,,1695208000.0
Poland,2010,NCBiR (Narodowe Centrum Badań i Rozwoju),science_agency,missing,strict_traceability_excluded,strict_traceability_excluded: Removed from the final Poland panel after manual page-level verification because the source trace remained too weak (weak_text_trace).,audited,,2010 text.pdf,none,,,,1695208000.0
Poland,2011,NCBiR (Narodowe Centrum Badań i Rozwoju),science_agency,missing,strict_traceability_excluded,strict_traceability_excluded: Removed from the final Poland panel after manual page-level verification because the source trace remained too weak (amount_only_same_page).,audited,,2011 text.pdf,none,,,,1695208000.0
Poland,2013,NCBiR (Narodowe Centrum Badań i Rozwoju),science_agency,ok,,,,,,none,1695208000.0,PLN,,1788873000.0
Poland,2014,NCBiR (Narodowe Centrum Badań i Rozwoju),science_agency,ok,,,,,,none,1788873000.0,PLN,1695208000.0,1319954000.0
Poland,2015,NCBiR (Narodowe Centrum Badań i Rozwoju),science_agency,ok,,,,,,none,1319954000.0,PLN,1788873000.0,496114000.0
Poland,2016,NCBiR (Narodowe Centrum Badań i Rozwoju),science_agency,ok,,,,,,none,496114000.0,PLN,1319954000.0,2344421000.0
Poland,2017,NCBiR (Narodowe Centrum Badań i Rozwoju),science_agency,ok,,,,,,none,2344421000.0,PLN,496114000.0,1408735000.0
Poland,2018,NCBiR (Narodowe Centrum Badań i Rozwoju),science_agency,missing,strict_traceability_excluded,strict_traceability_excluded: Removed from the final Poland panel after manual page-level verification because the source trace remained too weak (weak_text_trace).,audited,,2018 text.pdf,none,,,2344421000.0,1408735000.0
Poland,2019,NCBiR (Narodowe Centrum Badań i Rozwoju),science_agency,ok,,,,,,none,1408735000.0,PLN,2344421000.0,1332715000.0
Poland,2020,NCBiR (Narodowe Centrum Badań i Rozwoju),science_agency,ok,,,,,,none,1332715000.0,PLN,1408735000.0,935222000.0
Poland,2021,NCBiR (Narodowe Centrum Badań i Rozwoju),science_agency,missing,strict_traceability_excluded,strict_traceability_excluded: Removed from the final Poland panel after manual page-level verification because the source trace remained too weak (weak_text_trace).,audited,,2021 text.pdf,none,,,1332715000.0,935222000.0
Poland,2022,NCBiR (Narodowe Centrum Badań i Rozwoju),science_agency,missing,strict_traceability_excluded,strict_traceability_excluded: Removed from the final Poland panel after manual page-level verification because the source trace remained too weak (weak_text_trace).,audited,,2022 text.pdf,none,,,1332715000.0,935222000.0
Poland,2023,NCBiR (Narodowe Centrum Badań i Rozwoju),science_agency,ok,,,,,,none,935222000.0,PLN,1332715000.0,
Poland,2024,NCBiR (Narodowe Centrum Badań i Rozwoju),science_agency,missing,strict_traceability_excluded,strict_traceability_excluded: Removed from the final Poland panel after manual page-level verification because the source trace remained too weak (name_same_page_amount_weak).,audited,,2024 text.pdf,none,,,935222000.0,
Poland,2025,NCBiR (Narodowe Centrum Badań i Rozwoju),science_agency,missing,strict_traceability_excluded,strict_traceability_excluded: Removed from the final Poland panel after manual page-level verification because the source trace remained too weak (name_same_page_amount_weak).,audited,,2025 text.pdf,none,,,935222000.0,
Poland,1990,PAN (Polska Akademia Nauk),science_agency,ok,,,,,,none,100000000.0,PLN,,113133000.0
Poland,1991,PAN (Polska Akademia Nauk),science_agency,ok,,,,,,none,113133000.0,PLN,100000000.0,42692000.0
Poland,1992,PAN (Polska Akademia Nauk),science_agency,missing,strict_traceability_excluded,strict_traceability_excluded: Removed from the final Poland panel after manual page-level verification because the source trace remained too weak (heading_neighbor_amount_weak).,audited,,1992 text.pdf,none,,,113133000.0,42692000.0
Poland,1993,PAN (Polska Akademia Nauk),science_agency,missing,strict_traceability_excluded,strict_traceability_excluded: Removed from the final Poland panel after manual page-level verification because the source trace remained too weak (weak_text_trace).,audited,,1993 text.pdf,none,,,113133000.0,42692000.0
Poland,1996,PAN (Polska Akademia Nauk),science_agency,missing,real_missing,real_missing: Quick scan did not surface a confirmed clean PAN appropriation for this year during the manual pass. Source audit: 1996 text.pdf.,audited,,1996 text.pdf,none,,,113133000.0,42692000.0
Poland,1997,PAN (Polska Akademia Nauk),science_agency,missing,strict_traceability_excluded,strict_traceability_excluded: Removed from the final Poland panel after manual page-level verification because the source trace remained too weak (weak_text_trace).,audited,,1997 text.pdf,none,,,113133000.0,42692000.0
Poland,1998,PAN (Polska Akademia Nauk),science_agency,ok,,,,,,none,42692000.0,PLN,113133000.0,120061000.0
Poland,1999,PAN (Polska Akademia Nauk),science_agency,ok,,,,,,none,120061000.0,PLN,42692000.0,54468000.0
