year,canonical_name,category,amount_local,unit,currency,item_type,source_file,page_number,pdf_path,full_text_cache,line_description_en,traceability_status,trace_excerpt,series_notes
1990,PAN (Polska Akademia Nauk),science_agency,100000000.0,zloty,PLN,line_item,1990 text.pdf,22.0,Data/input/finance_bills/Poland/1990 text.pdf,,Statutory activities of the Polish Academy of Sciences,covered_by_final_series,,Polish Academy of Sciences — own budget part (Część 67). Full appropriation is R&D. Also appears as sub-items in Część 28.; recovered from Poland source-audited row
1991,CERN (Polish contribution),direct_rd,,,,,,,,,,covered_by_final_series,,gap: no matching rows in this year
1991,KBN (Komitet Badań Naukowych),science_agency,,,,,,,,,,covered_by_final_series,,"State Committee for Scientific Research, 1991-2005. Key R&D body before creation of MNiSW and NCBiR.; dropped after Poland source audit: 1991 KBN is a pre-redenomination old-zloty total that remains non-comparable under the current extracted series"
1991,PAN (Polska Akademia Nauk),science_agency,113133000.0,zloty,PLN,section_total,1991 text.pdf,19.0,Data/input/finance_bills/Poland/1991 text.pdf,,TOTAL,covered_by_final_series,,Polish Academy of Sciences — own budget part (Część 67). Full appropriation is R&D. Also appears as sub-items in Część 28.; recovered from Poland source-audited row
1992,CERN (Polish contribution),direct_rd,,,,,,,,,,covered_by_final_series,,gap: no matching rows in this year
1992,KBN (Komitet Badań Naukowych),science_agency,174086000.0,zloty,PLN,program_total,1992 text.pdf,23.0,Data/input/finance_bills/Poland/1992 text.pdf,,Committee for Scientific Research,covered_by_final_series,,"State Committee for Scientific Research, 1991-2005. Key R&D body before creation of MNiSW and NCBiR."
1992,PAN (Polska Akademia Nauk),science_agency,,,,,,,,,,covered_by_final_series,,Polish Academy of Sciences — own budget part (Część 67). Full appropriation is R&D. Also appears as sub-items in Część 28.; recovered from Poland source-audited row; dropped after Poland final manual verification: page-level trace is too weak for a strict final panel
1993,CERN (Polish contribution),direct_rd,,,,,,,,,,covered_by_final_series,,gap: no matching rows in this year
1993,KBN (Komitet Badań Naukowych),science_agency,200000000.0,zloty,PLN,line_item,1993 text.pdf,22.0,Data/input/finance_bills/Poland/1993 text.pdf,,Committee for Scientific Research,covered_by_final_series,,"State Committee for Scientific Research, 1991-2005. Key R&D body before creation of MNiSW and NCBiR."
1993,PAN (Polska Akademia Nauk),science_agency,,,,,,,,,,covered_by_final_series,,Polish Academy of Sciences — own budget part (Część 67). Full appropriation is R&D. Also appears as sub-items in Część 28.; recovered from Poland source-audited row; dropped after Poland final manual verification: page-level trace is too weak for a strict final panel
1996,CERN (Polish contribution),direct_rd,,,,,,,,,,covered_by_final_series,,gap: no matching rows in this year
1996,KBN (Komitet Badań Naukowych),science_agency,,,,,,,,,,covered_by_final_series,,"State Committee for Scientific Research, 1991-2005. Key R&D body before creation of MNiSW and NCBiR.; dropped after Poland source audit: low KBN survivor comes from an auxiliary-budget row, not the main annual appropriation"
