canonical_name,category,year,source_file,entity_raw,amount_current,section_name,table_index,row_index,in_series
ANI — Agência Nacional de Inovação (Portugal),rd_agency,2009,Lei orcamento para 2009.pdf,Agência Nacional de Inovação,10000000.0,ANI,0,1391,True
ANI — Agência Nacional de Inovação (Portugal),rd_agency,2024,Lei orcamento para 2024.pdf,ANI - Agência Nacional de Inovação,200000000.0,Scientific Research and Technological Innovation Program,0,1636,True
FCT — Fundação para a Ciência e a Tecnologia (Portugal),rd_agency,1987,Lei orcamento para 1987.pdf,FCT - Fundação para a Ciência e a Tecnologia,150000.0,Ministry of Science,0,165,False
FCT — Fundação para a Ciência e a Tecnologia (Portugal),rd_agency,1997,Lei orcamento para 1997.pdf,FCT - Fundação para a Ciência e Tecnologia,13495419.0,MINISTRY OF SCIENCE AND TECHNOLOGY,0,452,True
FCT — Fundação para a Ciência e a Tecnologia (Portugal),rd_agency,1998,Lei orcamento para 1998.pdf,Fundação para a Ciência e Tecnologia,136759.0,Science and Technology,0,476,True
FCT — Fundação para a Ciência e a Tecnologia (Portugal),rd_agency,1999,Lei orcamento para 1999.pdf,Fundação para a Ciência e Tecnologia,88500.0,Science and Technology,0,500,True
FCT — Fundação para a Ciência e a Tecnologia (Portugal),rd_agency,1999,Lei orcamento para 1999.pdf,FCT - Fundação para a Ciência e a Tecnologia,14333071.0,Ministry of Science and Technology,0,502,True
FCT — Fundação para a Ciência e a Tecnologia (Portugal),rd_agency,2001,2001 8e5ae31a-7057-4541-a78a-5e464e0fe30b.pdf,Fundação para a Ciência e Tecnologia,17500.0,Science and Technology,0,566,True
FCT — Fundação para a Ciência e a Tecnologia (Portugal),rd_agency,2001,2001 8e5ae31a-7057-4541-a78a-5e464e0fe30b.pdf,FUNDACAO PARA A CIENCIA E TECNOLOGIA,51218500.0,SCIENCE AND TECHNOLOGY,0,570,True
FCT — Fundação para a Ciência e a Tecnologia (Portugal),rd_agency,2001,2001 8e5ae31a-7057-4541-a78a-5e464e0fe30b.pdf,FCT - Fundação para a Ciência e a Tecnologia,20000000.0,MINISTRY OF SOCIAL EQUIPMENT,0,596,True
