country,canonical_name,year,amount_total,amount_primary,n_acts,acts,additive_flag,currency,unit,category
Portugal,ANI — Agência Nacional de Inovação (Portugal),2009,10000000.0,10000000.0,1,Lei orcamento para 2009.pdf,single,EUR,euro,rd_agency
Portugal,ANI — Agência Nacional de Inovação (Portugal),2010,,,0,,gap,,,rd_agency
Portugal,ANI — Agência Nacional de Inovação (Portugal),2011,,,0,,gap,,,rd_agency
Portugal,ANI — Agência Nacional de Inovação (Portugal),2012,,,0,,gap,,,rd_agency
Portugal,ANI — Agência Nacional de Inovação (Portugal),2013,,,0,,gap,,,rd_agency
Portugal,ANI — Agência Nacional de Inovação (Portugal),2014,,,0,,gap,,,rd_agency
Portugal,ANI — Agência Nacional de Inovação (Portugal),2015,,,0,,gap,,,rd_agency
Portugal,ANI — Agência Nacional de Inovação (Portugal),2016,9399812.0,9399812.0,1,Lei orcamento para 2016.pdf,single,EUR,euro,rd_agency
Portugal,ANI — Agência Nacional de Inovação (Portugal),2017,7908853.0,7908853.0,1,2017 Lei_42_2016-OE2017_VersaoDR.pdf,single,EUR,euro,rd_agency
Portugal,ANI — Agência Nacional de Inovação (Portugal),2018,12233793.0,12233793.0,1,Lei orcamento para 2018.pdf,single,EUR,euro,rd_agency
Portugal,ANI — Agência Nacional de Inovação (Portugal),2019,2068804.0,2068804.0,1,Lei orcamento para 2019.pdf,single,EUR,euro,rd_agency
Portugal,ANI — Agência Nacional de Inovação (Portugal),2020,18289688.0,18289688.0,1,Lei orcamento para 2020.pdf,single,EUR,euro,rd_agency
Portugal,ANI — Agência Nacional de Inovação (Portugal),2021,,,0,,gap,,,rd_agency
Portugal,ANI — Agência Nacional de Inovação (Portugal),2022,,,0,,gap,,,rd_agency
Portugal,ANI — Agência Nacional de Inovação (Portugal),2023,,,0,,gap,,,rd_agency
Portugal,ANI — Agência Nacional de Inovação (Portugal),2024,,,0,,gap,,,rd_agency
Portugal,ANI — Agência Nacional de Inovação (Portugal),2025,,,0,,gap,,,rd_agency
Portugal,FCT — Fundação para a Ciência e a Tecnologia (Portugal),1997,13495419.0,13495419.0,1,Lei orcamento para 1997.pdf,single,PTE,escudo,rd_agency
Portugal,FCT — Fundação para a Ciência e a Tecnologia (Portugal),1998,136759000.0,136759000.0,1,Lei orcamento para 1998.pdf,single,PTE,escudo,rd_agency
Portugal,FCT — Fundação para a Ciência e a Tecnologia (Portugal),1999,14333071000.0,14333071000.0,1,Lei orcamento para 1999.pdf,single,PTE,escudo,rd_agency
Portugal,FCT — Fundação para a Ciência e a Tecnologia (Portugal),2000,,,0,,gap,,,rd_agency
Portugal,FCT — Fundação para a Ciência e a Tecnologia (Portugal),2001,20000000.0,20000000.0,1,2001 8e5ae31a-7057-4541-a78a-5e464e0fe30b.pdf,single,EUR,euro,rd_agency
Portugal,FCT — Fundação para a Ciência e a Tecnologia (Portugal),2002,47048341.0,47048341.0,1,Lei orcamento para 2002.pdf,single,EUR,euro,rd_agency
Portugal,FCT — Fundação para a Ciência e a Tecnologia (Portugal),2003,634907638.0,634907638.0,1,Lei orcamento para 2003.pdf,single,EUR,euro,rd_agency
Portugal,FCT — Fundação para a Ciência e a Tecnologia (Portugal),2004,,,0,,gap,,,rd_agency
Portugal,FCT — Fundação para a Ciência e a Tecnologia (Portugal),2005,40000000.0,40000000.0,1,Lei orcamento para 2005.pdf,single,EUR,euro,rd_agency
Portugal,FCT — Fundação para a Ciência e a Tecnologia (Portugal),2006,,,0,,gap,,,rd_agency
Portugal,FCT — Fundação para a Ciência e a Tecnologia (Portugal),2007,552084349.0,552084349.0,1,Lei orcamento para 2007.pdf,single,EUR,euro,rd_agency
Portugal,FCT — Fundação para a Ciência e a Tecnologia (Portugal),2009,654236704.0,654236704.0,1,Lei orcamento para 2009.pdf,single,EUR,euro,rd_agency
Portugal,FCT — Fundação para a Ciência e a Tecnologia (Portugal),2010,501451988.0,501451988.0,1,Lei orcamento para 2010.pdf,single,EUR,euro,rd_agency
Portugal,FCT — Fundação para a Ciência e a Tecnologia (Portugal),2011,82335508.0,82335508.0,1,Lei orcamento para 2011.pdf,single,EUR,euro,rd_agency
Portugal,FCT — Fundação para a Ciência e a Tecnologia (Portugal),2012,394575542.0,394575542.0,1,Lei orcamento para 2012.pdf,single,EUR,euro,rd_agency
Portugal,FCT — Fundação para a Ciência e a Tecnologia (Portugal),2013,420884807.0,420884807.0,1,Lei orcamento para 2013.pdf,single,EUR,euro,rd_agency
Portugal,FCT — Fundação para a Ciência e a Tecnologia (Portugal),2014,404198171.0,404198171.0,1,Lei orcamento para 2014.pdf,single,EUR,euro,rd_agency
Portugal,FCT — Fundação para a Ciência e a Tecnologia (Portugal),2015,426506331.0,426506331.0,1,Lei orcamento para 2015.pdf,single,EUR,euro,rd_agency
Portugal,FCT — Fundação para a Ciência e a Tecnologia (Portugal),2016,425726708.0,425726708.0,1,Lei orcamento para 2016.pdf,single,EUR,euro,rd_agency
Portugal,FCT — Fundação para a Ciência e a Tecnologia (Portugal),2017,444782248.0,444782248.0,1,2017 Lei_42_2016-OE2017_VersaoDR.pdf,single,EUR,euro,rd_agency
Portugal,FCT — Fundação para a Ciência e a Tecnologia (Portugal),2018,507718842.0,507718842.0,1,Lei orcamento para 2018.pdf,single,EUR,euro,rd_agency
Portugal,FCT — Fundação para a Ciência e a Tecnologia (Portugal),2019,560122571.0,560122571.0,1,Lei orcamento para 2019.pdf,single,EUR,euro,rd_agency
Portugal,FCT — Fundação para a Ciência e a Tecnologia (Portugal),2020,557463880.0,557463880.0,1,Lei orcamento para 2020.pdf,single,EUR,euro,rd_agency
Portugal,FCT — Fundação para a Ciência e a Tecnologia (Portugal),2021,,,0,,gap,,,rd_agency
Portugal,FCT — Fundação para a Ciência e a Tecnologia (Portugal),2022,,,0,,gap,,,rd_agency
Portugal,FCT — Fundação para a Ciência e a Tecnologia (Portugal),2023,,,0,,gap,,,rd_agency
Portugal,FCT — Fundação para a Ciência e a Tecnologia (Portugal),2024,300000000.0,300000000.0,1,Lei orcamento para 2024.pdf,single,EUR,euro,rd_agency
Portugal,FCT — Fundação para a Ciência e a Tecnologia (Portugal),2025,,,0,,gap,,,rd_agency
Portugal,JNICT — Junta Nacional de Investigação Científica e Tecnológica (Portugal),1977,,,0,,gap,,,rd_agency
Portugal,JNICT — Junta Nacional de Investigação Científica e Tecnológica (Portugal),1985,,,0,,gap,,,rd_agency
Portugal,JNICT — Junta Nacional de Investigação Científica e Tecnológica (Portugal),1986,,,0,,gap,,,rd_agency
Portugal,JNICT — Junta Nacional de Investigação Científica e Tecnológica (Portugal),1987,249849000.0,249849000.0,1,Lei orcamento para 1987.pdf,single,PTE,escudo,rd_agency
Portugal,JNICT — Junta Nacional de Investigação Científica e Tecnológica (Portugal),1988,,,0,,gap,,,rd_agency
Portugal,JNICT — Junta Nacional de Investigação Científica e Tecnológica (Portugal),1989,,,0,,gap,,,rd_agency
Portugal,JNICT — Junta Nacional de Investigação Científica e Tecnológica (Portugal),1990,,,0,,gap,,,rd_agency
Portugal,JNICT — Junta Nacional de Investigação Científica e Tecnológica (Portugal),1991,497900.0,497900.0,1,Lei orcamento para 1991.pdf,single,PTE,escudo,rd_agency
Portugal,JNICT — Junta Nacional de Investigação Científica e Tecnológica (Portugal),1992,10000000.0,10000000.0,1,Lei orcamento para 1992.pdf,single,PTE,escudo,rd_agency
Portugal,JNICT — Junta Nacional de Investigação Científica e Tecnológica (Portugal),1993,200000.0,200000.0,1,Lei orcamento para 1993.pdf,single,PTE,escudo,rd_agency
Portugal,JNICT — Junta Nacional de Investigação Científica e Tecnológica (Portugal),1994,13629276000.0,13629276000.0,1,Lei orcamento para 1994.pdf,single,PTE,escudo,rd_agency
Portugal,JNICT — Junta Nacional de Investigação Científica e Tecnológica (Portugal),1995,9373000.0,9373000.0,1,Lei orcamento para 1995.pdf,single,PTE,escudo,rd_agency
Portugal,JNICT — Junta Nacional de Investigação Científica e Tecnológica (Portugal),1996,,,0,,gap,,,rd_agency
Portugal,JNICT — Junta Nacional de Investigação Científica e Tecnológica (Portugal),1997,,,0,,gap,,,rd_agency
Portugal,LNEC — Laboratório Nacional de Engenharia Civil (Portugal),1977,,,0,,gap,,,research_institute
Portugal,LNEC — Laboratório Nacional de Engenharia Civil (Portugal),1985,,,0,,gap,,,research_institute
Portugal,LNEC — Laboratório Nacional de Engenharia Civil (Portugal),1986,,,0,,gap,,,research_institute
Portugal,LNEC — Laboratório Nacional de Engenharia Civil (Portugal),1987,2714970000.0,2714970000.0,1,Lei orcamento para 1987.pdf,single,PTE,escudo,research_institute
Portugal,LNEC — Laboratório Nacional de Engenharia Civil (Portugal),1988,,,0,,gap,,,research_institute
Portugal,LNEC — Laboratório Nacional de Engenharia Civil (Portugal),1989,,,0,,gap,,,research_institute
Portugal,LNEC — Laboratório Nacional de Engenharia Civil (Portugal),1990,,,0,,gap,,,research_institute
Portugal,LNEC — Laboratório Nacional de Engenharia Civil (Portugal),1991,,,0,,gap,,,research_institute
Portugal,LNEC — Laboratório Nacional de Engenharia Civil (Portugal),1992,,,0,,gap,,,research_institute
Portugal,LNEC — Laboratório Nacional de Engenharia Civil (Portugal),1993,,,0,,gap,,,research_institute
