country,year,canonical_name,category,gap_type,gap_subtype,diagnosis,raw_row_match,raw_row_amount,raw_row_file,action,series_amount,series_currency,prev_amount,next_amount
Portugal,1997,FCT — Fundação para a Ciência e a Tecnologia (Portugal),rd_agency,missing,,"Found in raw_rows: 'FCT - Fundação para a Ciência e Tecnologia' = 13,495,419 in Lei orcamento para 1997.pdf",yes,13495419.0,Lei orcamento para 1997.pdf,reclassify,,,,136759000.0
Portugal,1998,FCT — Fundação para a Ciência e a Tecnologia (Portugal),rd_agency,ok,,,,,,none,136759000.0,PTE,,14333071000.0
Portugal,1999,FCT — Fundação para a Ciência e a Tecnologia (Portugal),rd_agency,ok,,,,,,none,14333071000.0,PTE,136759000.0,552084349.0
Portugal,2000,FCT — Fundação para a Ciência e a Tecnologia (Portugal),rd_agency,missing,,"Year has 1 parsed files but agency not found, including under a fuzzy/broader-category match. May be in a non-table section or a different companion document.",no,,,reextract,,,14333071000.0,552084349.0
Portugal,2001,FCT — Fundação para a Ciência e a Tecnologia (Portugal),rd_agency,missing,,"Found in raw_rows: 'FCT - Fundação para a Ciência e a Tecnologia' = 20,000,000 in 2001 8e5ae31a-7057-4541-a78a-5e464e0fe30b.pdf",yes,20000000.0,2001 8e5ae31a-7057-4541-a78a-5e464e0fe30b.pdf,reclassify,,,14333071000.0,552084349.0
Portugal,2002,FCT — Fundação para a Ciência e a Tecnologia (Portugal),rd_agency,missing,,"Found in raw_rows: 'FCT - Fundação para a Ciência e a Tecnologia' = 47,048,341 in Lei orcamento para 2002.pdf",yes,47048341.0,Lei orcamento para 2002.pdf,reclassify,,,14333071000.0,552084349.0
Portugal,2003,FCT — Fundação para a Ciência e a Tecnologia (Portugal),rd_agency,missing,,"Found in raw_rows: 'FCT - Fundação para a Ciência e a Tecnologia' = 634,907,638 in Lei orcamento para 2003.pdf",yes,634907638.0,Lei orcamento para 2003.pdf,reclassify,,,14333071000.0,552084349.0
Portugal,2004,FCT — Fundação para a Ciência e a Tecnologia (Portugal),rd_agency,missing,,"Found in raw_rows: 'Fundação para a Ciência e a Tecnologia' = 228,427,206 in Lei orcamento para 2004.pdf",yes,228427206.0,Lei orcamento para 2004.pdf,reclassify,,,14333071000.0,552084349.0
Portugal,2005,FCT — Fundação para a Ciência e a Tecnologia (Portugal),rd_agency,missing,,"Found in raw_rows: 'FCT - Fundação para a Ciência e a Tecnologia' = 40,000,000 in Lei orcamento para 2005.pdf",yes,40000000.0,Lei orcamento para 2005.pdf,reclassify,,,14333071000.0,552084349.0
Portugal,2006,FCT — Fundação para a Ciência e a Tecnologia (Portugal),rd_agency,missing,,"Year has 1 parsed files but agency not found, including under a fuzzy/broader-category match. May be in a non-table section or a different companion document.",no,,,reextract,,,14333071000.0,552084349.0
Portugal,2007,FCT — Fundação para a Ciência e a Tecnologia (Portugal),rd_agency,ok,,,,,,none,552084349.0,EUR,14333071000.0,654236704.0
Portugal,2009,FCT — Fundação para a Ciência e a Tecnologia (Portugal),rd_agency,ok,,,,,,none,654236704.0,EUR,552084349.0,501451988.0
Portugal,2010,FCT — Fundação para a Ciência e a Tecnologia (Portugal),rd_agency,ok,,,,,,none,501451988.0,EUR,654236704.0,82335508.0
Portugal,2011,FCT — Fundação para a Ciência e a Tecnologia (Portugal),rd_agency,ok,,,,,,none,82335508.0,EUR,501451988.0,394575542.0
