country,year,source_file,file_path,missing_agencies
Portugal,1997,1997 02040557.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Portugal/1997 02040557.pdf,FCT — Fundação para a Ciência e a Tecnologia (Portugal)
Portugal,1997,Lei orcamento para 1997.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Portugal/Lei orcamento para 1997.pdf,FCT — Fundação para a Ciência e a Tecnologia (Portugal)
Portugal,2000,Lei orcamento para 2000.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Portugal/Lei orcamento para 2000.pdf,FCT — Fundação para a Ciência e a Tecnologia (Portugal)
Portugal,2001,2001 8e5ae31a-7057-4541-a78a-5e464e0fe30b.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Portugal/2001 8e5ae31a-7057-4541-a78a-5e464e0fe30b.pdf,FCT — Fundação para a Ciência e a Tecnologia (Portugal)
Portugal,2002,Lei orcamento para 2002.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Portugal/Lei orcamento para 2002.pdf,FCT — Fundação para a Ciência e a Tecnologia (Portugal)
Portugal,2003,Lei orcamento para 2003.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Portugal/Lei orcamento para 2003.pdf,FCT — Fundação para a Ciência e a Tecnologia (Portugal)
Portugal,2004,Lei orcamento para 2004.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Portugal/Lei orcamento para 2004.pdf,FCT — Fundação para a Ciência e a Tecnologia (Portugal)
Portugal,2005,Lei orcamento para 2005.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Portugal/Lei orcamento para 2005.pdf,FCT — Fundação para a Ciência e a Tecnologia (Portugal)
Portugal,2006,2006 00020361.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Portugal/2006 00020361.pdf,FCT — Fundação para a Ciência e a Tecnologia (Portugal)
Portugal,2021,Lei orcamento para 2021.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Portugal/Lei orcamento para 2021.pdf,FCT — Fundação para a Ciência e a Tecnologia (Portugal)
Portugal,2022,Lei orcamento para 2022.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Portugal/Lei orcamento para 2022.pdf,FCT — Fundação para a Ciência e a Tecnologia (Portugal)
Portugal,2023,Lei orcamento para 2023.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Portugal/Lei orcamento para 2023.pdf,FCT — Fundação para a Ciência e a Tecnologia (Portugal)
Portugal,2024,Lei orcamento para 2024.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Portugal/Lei orcamento para 2024.pdf,FCT — Fundação para a Ciência e a Tecnologia (Portugal)
Portugal,2025,2025 BOE2025_doc01_Lei.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Portugal/2025 BOE2025_doc01_Lei.pdf,FCT — Fundação para a Ciência e a Tecnologia (Portugal)
Portugal,1977,Lei orcamento para 1977.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Portugal/Lei orcamento para 1977.pdf,JNICT — Junta Nacional de Investigação Científica e Tecnológica (Portugal)
Portugal,1985,Lei orcamento para 1985.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Portugal/Lei orcamento para 1985.pdf,JNICT — Junta Nacional de Investigação Científica e Tecnológica (Portugal)
Portugal,1986,Lei orcamento para 1986.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Portugal/Lei orcamento para 1986.pdf,JNICT — Junta Nacional de Investigação Científica e Tecnológica (Portugal)
Portugal,1988,Lei orcamento para 1988.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Portugal/Lei orcamento para 1988.pdf,JNICT — Junta Nacional de Investigação Científica e Tecnológica (Portugal)
Portugal,1989,Lei orcamento para 1989.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Portugal/Lei orcamento para 1989.pdf,JNICT — Junta Nacional de Investigação Científica e Tecnológica (Portugal)
Portugal,1990,Lei orcamento para 1990.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Portugal/Lei orcamento para 1990.pdf,JNICT — Junta Nacional de Investigação Científica e Tecnológica (Portugal)
Portugal,1991,Lei orcamento para 1991.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Portugal/Lei orcamento para 1991.pdf,JNICT — Junta Nacional de Investigação Científica e Tecnológica (Portugal)
Portugal,1993,Lei orcamento para 1993.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Portugal/Lei orcamento para 1993.pdf,JNICT — Junta Nacional de Investigação Científica e Tecnológica (Portugal)
Portugal,1995,Lei orcamento para 1995.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Portugal/Lei orcamento para 1995.pdf,JNICT — Junta Nacional de Investigação Científica e Tecnológica (Portugal)
Portugal,1996,Lei orcamento para 1996.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Portugal/Lei orcamento para 1996.pdf,JNICT — Junta Nacional de Investigação Científica e Tecnológica (Portugal)
Portugal,2009,Lei orcamento para 2009.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Portugal/Lei orcamento para 2009.pdf,ANI — Agência Nacional de Inovação (Portugal)
Portugal,2010,Lei orcamento para 2010.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Portugal/Lei orcamento para 2010.pdf,ANI — Agência Nacional de Inovação (Portugal)
Portugal,2011,Lei orcamento para 2011.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Portugal/Lei orcamento para 2011.pdf,ANI — Agência Nacional de Inovação (Portugal)
Portugal,2012,Lei orcamento para 2012.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Portugal/Lei orcamento para 2012.pdf,ANI — Agência Nacional de Inovação (Portugal)
Portugal,2013,Lei orcamento para 2013.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Portugal/Lei orcamento para 2013.pdf,ANI — Agência Nacional de Inovação (Portugal)
Portugal,2014,Lei orcamento para 2014.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Portugal/Lei orcamento para 2014.pdf,ANI — Agência Nacional de Inovação (Portugal)
Portugal,2015,Lei orcamento para 2015.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Portugal/Lei orcamento para 2015.pdf,ANI — Agência Nacional de Inovação (Portugal)
Portugal,1992,Lei orcamento para 1992.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Portugal/Lei orcamento para 1992.pdf,LNEC — Laboratório Nacional de Engenharia Civil (Portugal)
Portugal,1994,Lei orcamento para 1994.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Portugal/Lei orcamento para 1994.pdf,LNEC — Laboratório Nacional de Engenharia Civil (Portugal)
Portugal,1998,Lei orcamento para 1998.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Portugal/Lei orcamento para 1998.pdf,LNEC — Laboratório Nacional de Engenharia Civil (Portugal)
Portugal,1999,Lei orcamento para 1999.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Portugal/Lei orcamento para 1999.pdf,LNEC — Laboratório Nacional de Engenharia Civil (Portugal)
