year,canonical_name,category,amount_local,unit,currency,item_type,source_file,page_number,pdf_path,full_text_cache,line_description_en,traceability_status,trace_method,trace_excerpt,series_notes
1977,JNICT — Junta Nacional de Investigação Científica e Tecnológica (Portugal),rd_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1977,LNEC — Laboratório Nacional de Engenharia Civil (Portugal),research_institute,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1985,JNICT — Junta Nacional de Investigação Científica e Tecnológica (Portugal),rd_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1985,LNEC — Laboratório Nacional de Engenharia Civil (Portugal),research_institute,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1986,JNICT — Junta Nacional de Investigação Científica e Tecnológica (Portugal),rd_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1986,LNEC — Laboratório Nacional de Engenharia Civil (Portugal),research_institute,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1987,JNICT — Junta Nacional de Investigação Científica e Tecnológica (Portugal),rd_agency,249849000.0,escudo,PTE,verified_override,Lei orcamento para 1987.pdf,31,Data/input/finance_bills/Portugal/Lei orcamento para 1987.pdf,Data/output/budget/full_text/Portugal/pdf_cafac541250d__Lei orcamento para 1987.txt.gz,Junta Nacional de Investigação Científica e Tecnológica,verified_against_original_file,page_excerpt,"Comissão de Coordenação da Região do Algarve 95 101 52800 | 147901 | Comissão de Coordenação da Região do Centro 412580 41397 | 453977 | Comissão de Coordenação da Região do Norte ..... 458 855 77814 536 669 | Comissão de Coordenação Regional de Lisboa e Vale do Tejo 258 447 565591 824038 | Gabinete Coordenador do Alqueva .. 15357 - 15357 | Instituto António Sérgio do Sector Cooperativo . 116 759 45200 | 161959 | Junta Nacional de Investigação Científica e Tecnológica . 249 849 200 | 250049 | Serviço Nacional de Parques, Reservas e Conservação da Natureza 182 280 29310 | 211590",Pre-FCT competitive R&D funder. Amounts in PTE (escudos).; manual override from original Portugal budget file (1987 institutional appropriations list; keeps the state-budget column used by the extracted series)
1987,LNEC — Laboratório Nacional de Engenharia Civil (Portugal),research_institute,2714970000.0,escudo,PTE,line_item,Lei orcamento para 1987.pdf,33,Data/input/finance_bills/Portugal/Lei orcamento para 1987.pdf,Data/output/budget/full_text/Portugal/pdf_cafac541250d__Lei orcamento para 1987.txt.gz,National Laboratory of Civil Engineering,covered_by_final_series,,,
1988,JNICT — Junta Nacional de Investigação Científica e Tecnológica (Portugal),rd_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1988,LNEC — Laboratório Nacional de Engenharia Civil (Portugal),research_institute,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1989,JNICT — Junta Nacional de Investigação Científica e Tecnológica (Portugal),rd_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1989,LNEC — Laboratório Nacional de Engenharia Civil (Portugal),research_institute,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1990,JNICT — Junta Nacional de Investigação Científica e Tecnológica (Portugal),rd_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1990,LNEC — Laboratório Nacional de Engenharia Civil (Portugal),research_institute,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1991,JNICT — Junta Nacional de Investigação Científica e Tecnológica (Portugal),rd_agency,,,,,,,,,,covered_by_final_series,,,"Pre-FCT competitive R&D funder. Amounts in PTE (escudos).; dropped after Portugal source audit: original page is a legal text, plurianual project table, or non-institutional support line rather than a clean agency appropriation"
1991,LNEC — Laboratório Nacional de Engenharia Civil (Portugal),research_institute,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
