country,year,canonical_name,category,amount_local,currency,unit,item_type,source_kind,source_file,page_number,line_description_en,series_notes,traceability_status
Portugal,2007,FCT — Fundação para a Ciência e a Tecnologia (Portugal),rd_agency,552084349.0,EUR,euro,verified_override,original_pdf,Lei orcamento para 2007.pdf,86,FUNDAÇÃO PARA A CIÊNCIA E TECNOLOGIA,Primary R&D funder from 1997. Amounts in full EUR (2002+) or PTE (pre-2002).; manual override from original Portugal budget file (MAPA V / 2007 autonomous-services table),verified_against_original_file
Portugal,2009,FCT — Fundação para a Ciência e a Tecnologia (Portugal),rd_agency,654236704.0,EUR,euro,verified_override,original_pdf,Lei orcamento para 2009.pdf,104,"FUNDAÇÃO PARA A CIÊNCIA E TECNOLOGIA, I.P.",Primary R&D funder from 1997. Amounts in full EUR (2002+) or PTE (pre-2002).; manual override from original Portugal budget file (MAPA VII / 2009 autonomous-services table),verified_against_original_file
Portugal,2010,FCT — Fundação para a Ciência e a Tecnologia (Portugal),rd_agency,501451988.0,EUR,euro,verified_override,original_pdf,Lei orcamento para 2010.pdf,90,"FUNDAÇÃO PARA A CIÊNCIA E TECNOLOGIA, I.P.",Primary R&D funder from 1997. Amounts in full EUR (2002+) or PTE (pre-2002).; manual override from original Portugal budget file (MAPA VII / 2010 autonomous-services table),verified_against_original_file
Portugal,2012,FCT — Fundação para a Ciência e a Tecnologia (Portugal),rd_agency,394575542.0,EUR,euro,verified_override,original_pdf,Lei orcamento para 2012.pdf,128,"FUNDAÇÃO PARA A CIÊNCIA E TECNOLOGIA, I.P.",Primary R&D funder from 1997. Amounts in full EUR (2002+) or PTE (pre-2002).; manual override from original Portugal budget file (MAPA VII / 2012 autonomous-services table),verified_against_original_file
Portugal,2013,FCT — Fundação para a Ciência e a Tecnologia (Portugal),rd_agency,420884807.0,EUR,euro,verified_override,original_pdf,Lei orcamento para 2013.pdf,131,"FUNDAÇÃO PARA A CIÊNCIA E TECNOLOGIA, I.P.",Primary R&D funder from 1997. Amounts in full EUR (2002+) or PTE (pre-2002).; manual override from original Portugal budget file (MAPA VII / 2013 autonomous-services table),verified_against_original_file
Portugal,2015,FCT — Fundação para a Ciência e a Tecnologia (Portugal),rd_agency,426506331.0,EUR,euro,verified_override,original_pdf,Lei orcamento para 2015.pdf,125,"FUNDAÇÃO PARA A CIÊNCIA E TECNOLOGIA, I.P.",Primary R&D funder from 1997. Amounts in full EUR (2002+) or PTE (pre-2002).; manual override from original Portugal budget file (MAPA VII / 2015 autonomous-services table),verified_against_original_file
Portugal,2016,FCT — Fundação para a Ciência e a Tecnologia (Portugal),rd_agency,425726708.0,EUR,euro,verified_override,original_pdf,Lei orcamento para 2016.pdf,102,"FUNDAÇÃO PARA A CIÊNCIA E TECNOLOGIA, I.P.",Primary R&D funder from 1997. Amounts in full EUR (2002+) or PTE (pre-2002).; manual override from original Portugal budget file (2016 autonomous-services table),verified_against_original_file
Portugal,2017,FCT — Fundação para a Ciência e a Tecnologia (Portugal),rd_agency,444782248.0,EUR,euro,verified_override,original_pdf,2017 Lei_42_2016-OE2017_VersaoDR.pdf,100,"FUNDAÇÃO PARA A CIÊNCIA E TECNOLOGIA, I.P.",Primary R&D funder from 1997. Amounts in full EUR (2002+) or PTE (pre-2002).; manual override from original Portugal budget file (2017 autonomous-services table),verified_against_original_file
Portugal,2018,FCT — Fundação para a Ciência e a Tecnologia (Portugal),rd_agency,507718842.0,EUR,euro,verified_override,original_pdf,Lei orcamento para 2018.pdf,129,"FUNDAÇÃO PARA A CIÊNCIA E TECNOLOGIA, I.P.",Primary R&D funder from 1997. Amounts in full EUR (2002+) or PTE (pre-2002).; manual override from original Portugal budget file (2018 autonomous-services table),verified_against_original_file
Portugal,2019,FCT — Fundação para a Ciência e a Tecnologia (Portugal),rd_agency,560122571.0,EUR,euro,verified_override,original_pdf,Lei orcamento para 2019.pdf,129,"FUNDAÇÃO PARA A CIÊNCIA E TECNOLOGIA, I.P.",Primary R&D funder from 1997. Amounts in full EUR (2002+) or PTE (pre-2002).; manual override from original Portugal budget file (2019 autonomous-services table),verified_against_original_file
Portugal,2020,FCT — Fundação para a Ciência e a Tecnologia (Portugal),rd_agency,557463880.0,EUR,euro,verified_override,original_pdf,Lei orcamento para 2020.pdf,222,"FUNDAÇÃO PARA A CIÊNCIA E TECNOLOGIA, I.P.",Primary R&D funder from 1997. Amounts in full EUR (2002+) or PTE (pre-2002).; manual override from original Portugal budget file (2020 autonomous-services table),verified_against_original_file
