country,year,item_type,section_code,section_name,section_name_en,line_code,line_description,line_description_en,amount_local,unit,currency,rd_category,decision,confidence,source_file,page_number,llm_model,extraction_pass,notes
Slovakia,1992,line_item,51,Slovenská akadémia vied,Slovak Academy of Sciences,,Príspevky a dotácie,Contributions and subsidies,150000.0,thousand,SKK,direct_rd,include,1.0,1992 ZZ_1991_581_19920101.pdf,5,gpt-4o-mini,extract,
Slovakia,1992,line_item,51,Slovenská akadémia vied,Slovak Academy of Sciences,,Výdavky rozpočtových organizácií,Expenditures of budgetary organizations,543534.0,thousand,SKK,direct_rd,include,1.0,1992 ZZ_1991_581_19920101.pdf,5,gpt-4o-mini,extract,
Slovakia,1992,line_item,20,"Ministerstvo školstva, mlád. a športu SR","Ministry of Education, Youth and Sports",,Výskum a vývoj,Research and development,1055000.0,thousand,SKK,direct_rd,include,1.0,1992 ZZ_1991_581_19920101.pdf,5,gpt-4o-mini,extract,
Slovakia,1992,line_item,20,"Ministerstvo školstva, mlád. a športu SR","Ministry of Education, Youth and Sports",,Dotácie na vysoké školy,Subsidies for higher education institutions,16145461.0,thousand,SKK,higher_education,include,1.0,1992 ZZ_1991_581_19920101.pdf,5,gpt-4o-mini,extract,
Slovakia,1992,section_total,51,Slovenská akadémia vied,Slovak Academy of Sciences,,Výdavky spolu,Total expenditures,695624.0,thousand,SKK,science_agency,include,1.0,1992 ZZ_1991_581_19920101.pdf,5,gpt-4o-mini,extract,
Slovakia,1992,section_total,20,"Ministerstvo školstva, mlád. a športu SR","Ministry of Education, Youth and Sports",,Výdavky spolu,Total expenditures,18173561.0,thousand,SKK,science_agency,review,0.8,1992 ZZ_1991_581_19920101.pdf,5,gpt-4o-mini,extract,Mixed-purpose ministry; review due to potential non-R&D components.
Slovakia,1993,line_item,20,Ministerstvo školstva a vedy SR,Ministry of Education and Science of the Slovak Republic,,Výdavky rozpočtových organizácií,Expenditures of budgetary organizations,16451459.0,thousand,SKK,direct_rd,include,0.8,1993 ZZ_1993_14_19930101.pdf,10,gpt-4o-mini,extract,Includes R&D funding
Slovakia,1993,line_item,20,Ministerstvo školstva a vedy SR,Ministry of Education and Science of the Slovak Republic,,Dotácie pod podnikateľskej sfére,Subsidies to the business sector,0.0,thousand,SKK,unclear,review,0.4,1993 ZZ_1993_14_19930101.pdf,10,gpt-4o-mini,extract,Unclear if R&D related
Slovakia,1993,section_total,20,Ministerstvo školstva a vedy SR,Ministry of Education and Science of the Slovak Republic,,Výdavky spolu,Total expenditures,18437794.0,thousand,SKK,unclear,review,0.5,1993 ZZ_1993_14_19930101.pdf,10,gpt-4o-mini,extract,Total includes non-R&D components
Slovakia,1993,line_item,51,Slovenská akadémia vied,Slovak Academy of Sciences,,Príspevky a dotácie nevýrobnej sfére,Contributions and subsidies to the non-production sector,25000.0,thousand,SKK,direct_rd,include,0.8,1993 ZZ_1993_14_19930101.pdf,11,gpt-4o-mini,extract,Includes R&D funding
Slovakia,1993,section_total,51,Slovenská akadémia vied,Slovak Academy of Sciences,,Výdavky spolu,Total expenditures,473311.0,thousand,SKK,science_agency,include,0.9,1993 ZZ_1993_14_19930101.pdf,11,gpt-4o-mini,extract,Total for basic research
Slovakia,1994,line_item,51,Slovenská akadémia vied,Slovak Academy of Sciences,,Príspevok na základný výskum,Contribution to basic research,241000.0,thousand,SKK,direct_rd,include,0.9,1994 zakonypreludi_sk_325_1993_zz_19950401.pdf,10,gpt-4o-mini,extract,
Slovakia,1994,line_item,51,Slovenská akadémia vied,Slovak Academy of Sciences,,Príspevok na vedecký výskum,Contribution to scientific research,140638.0,thousand,SKK,direct_rd,include,0.9,1994 zakonypreludi_sk_325_1993_zz_19950401.pdf,10,gpt-4o-mini,extract,
Slovakia,1994,section_total,20,Ministerstvo školstva a vedy SR,Ministry of Education and Science SR,,Celkový rozpočet,Total budget,18688695.0,thousand,SKK,science_agency,include,1.0,1994 zakonypreludi_sk_325_1993_zz_19950401.pdf,10,gpt-4o-mini,extract,
Slovakia,1994,section_total,51,Slovenská akadémia vied,Slovak Academy of Sciences,,Celkový rozpočet,Total budget,381000.0,thousand,SKK,science_agency,include,1.0,1994 zakonypreludi_sk_325_1993_zz_19950401.pdf,10,gpt-4o-mini,extract,
Slovakia,1994,line_item,20,Ministerstvo školstva a vedy SR,Ministry of Education and Science SR,,Úlohy rozvoja vedy a techniky,Tasks for the development of science and technology,110000.0,thousand,SKK,direct_rd,include,0.9,1994 zakonypreludi_sk_325_1993_zz_19950401.pdf,11,gpt-4o-mini,extract,
Slovakia,1995,section_total,20,Ministerstvo školstva a vedy SR,Ministry of Education and Science SR,,Celkový rozpočet,Total budget,24797684.0,thousand,SKK,science_agency,include,1.0,1995 zakonypreludi_sk_58_1995_zz_20120101.pdf,5,gpt-4o-mini,extract,
Slovakia,1995,section_total,51,Slovenská akadémia vied,Slovak Academy of Sciences,,Celkový rozpočet,Total budget,556323.0,thousand,SKK,science_agency,include,1.0,1995 zakonypreludi_sk_58_1995_zz_20120101.pdf,5,gpt-4o-mini,extract,
Slovakia,1995,line_item,20,Ministerstvo školstva a vedy SR,Ministry of Education and Science SR,,granty na vedecké projekty,grants for scientific projects,30000.0,thousand,SKK,direct_rd,include,1.0,1995 zakonypreludi_sk_58_1995_zz_20120101.pdf,8,gpt-4o-mini,extract,
Slovakia,1995,line_item,51,Slovenská akadémia vied,Slovak Academy of Sciences,,granty na vedecké projekty,grants for scientific projects,30000.0,thousand,SKK,direct_rd,include,1.0,1995 zakonypreludi_sk_58_1995_zz_20120101.pdf,8,gpt-4o-mini,extract,
Slovakia,1995,line_item,20,Ministerstvo školstva a vedy SR,Ministry of Education and Science SR,,vedecké a vedeckotechnické projekty medzinárodnej VTS,scientific and scientific-technical projects of international VTS,10000.0,thousand,SKK,rd_adjacent,include,1.0,1995 zakonypreludi_sk_58_1995_zz_20120101.pdf,8,gpt-4o-mini,extract,
Slovakia,1996,line_item,20,Ministerstvo školstva SR,Ministry of Education SR,,Financovanie SOU a SPV iných rezortov podľa zákona č. 29/1984 Zb. o sústave základných a stredných škôl (školský zákon),Funding for vocational and secondary schools according to Act No. 29/1984 Coll. on the system of primary and secondary schools (school law),2460000.0,thousand,SKK,unclear,review,0.5,1996 zakonypreludi_sk_304_1995_zz_20120101.pdf,10,gpt-4o-mini,extract,Not explicitly for research but may include R&D components.
Slovakia,1996,line_item,20,Ministerstvo školstva SR,Ministry of Education SR,,Štipendiá študentom postgraduálneho štúdia a účastníkom vedeckej výchovy,Scholarships for postgraduate students and participants in scientific education,27042.0,thousand,SKK,higher_education,include,0.8,1996 zakonypreludi_sk_304_1995_zz_20120101.pdf,10,gpt-4o-mini,extract,Includes funding for research education.
Slovakia,1996,section_total,51,Slovenská akadémia vied,Slovak Academy of Sciences,,Výdavky spolu,Total expenditures,690838.0,thousand,SKK,science_agency,include,1.0,1996 zakonypreludi_sk_304_1995_zz_20120101.pdf,10,gpt-4o-mini,extract,
Slovakia,1996,line_item,51,Slovenská akadémia vied,Slovak Academy of Sciences,,Príspevok pre vedecké spoločnosti,Contribution for scientific societies,2300.0,thousand,SKK,rd_adjacent,include,0.7,1996 zakonypreludi_sk_304_1995_zz_20120101.pdf,11,gpt-4o-mini,extract,Supports scientific collaboration.
Slovakia,1996,line_item,51,Slovenská akadémia vied,Slovak Academy of Sciences,,Štipendiá účastníkom vedeckej výchovy,Scholarships for participants in scientific education,11054.0,thousand,SKK,higher_education,include,0.8,1996 zakonypreludi_sk_304_1995_zz_20120101.pdf,11,gpt-4o-mini,extract,Funding for research education.
Slovakia,1996,section_total,20,Ministerstvo školstva SR,Ministry of Education SR,,Výdavky spolu,Total expenditures,27667038.0,thousand,SKK,direct_rd,include,1.0,1996 zakonypreludi_sk_304_1995_zz_20120101.pdf,7,gpt-4o-mini,extract,
Slovakia,1997,line_item,20,Ministerstvo školstva SR,Ministry of Education SR,,spolupráca s Európskou úniou v oblasti výskumu a vývoja technológií – 4. rámcový program EU,cooperation with the European Union in the field of research and development of technologies - 4th EU framework program,10000.0,thousand,SKK,rd_adjacent,include,0.8,1997 zakonypreludi_sk_386_1996_zz_20050501.pdf,12,gpt-4o-mini,extract,
Slovakia,1997,line_item,20,Ministerstvo školstva SR,Ministry of Education SR,,štipendiá pre doktorandov bez poistného,scholarships for doctoral students without insurance,96342.0,thousand,SKK,higher_education,review,0.6,1997 zakonypreludi_sk_386_1996_zz_20050501.pdf,12,gpt-4o-mini,extract,Potentially relevant but not explicitly for research activities.
Slovakia,1997,line_item,51,Slovenská akadémia vied,Slovak Academy of Sciences,,vedecká výchova – štipendiá,scientific education - scholarships,17654.0,thousand,SKK,higher_education,review,0.6,1997 zakonypreludi_sk_386_1996_zz_20050501.pdf,13,gpt-4o-mini,extract,Potentially relevant but not explicitly for research activities.
Slovakia,1997,line_item,51,Slovenská akadémia vied,Slovak Academy of Sciences,,transfer vedeckým spoločnostiam,transfer to scientific societies,2070.0,thousand,SKK,direct_rd,include,0.9,1997 zakonypreludi_sk_386_1996_zz_20050501.pdf,13,gpt-4o-mini,extract,
Slovakia,1997,section_total,20,Ministerstvo školstva SR,Ministry of Education SR,,Celkový rozpočet,Total budget,5822694.0,thousand,SKK,science_agency,include,1.0,1997 zakonypreludi_sk_386_1996_zz_20050501.pdf,7,gpt-4o-mini,extract,
Slovakia,1997,section_total,51,Slovenská akadémia vied,Slovak Academy of Sciences,,Celkový rozpočet,Total budget,12000.0,thousand,SKK,science_agency,include,1.0,1997 zakonypreludi_sk_386_1996_zz_20050501.pdf,9,gpt-4o-mini,extract,
Slovakia,1998,line_item,20,Ministerstvo školstva SR,Ministry of Education SR,,výdavky na tovary a ďalšie služby pre vysoké školy,expenditures for goods and other services for higher education institutions,828185.0,thousand,SKK,higher_education,include,0.8,1998 zakonypreludi_sk_375_1997_zz_19971230.pdf,10,gpt-4o-mini,extract,Explicitly for higher education institutions
Slovakia,1998,line_item,20,Ministerstvo školstva SR,Ministry of Education SR,,nové úlohy rozvoja vedy a techniky v rámci medzinárodnej vedecko-technickej spolupráce,new tasks for the development of science and technology within international scientific and technical cooperation,11000.0,thousand,SKK,rd_adjacent,include,0.8,1998 zakonypreludi_sk_375_1997_zz_19971230.pdf,10,gpt-4o-mini,extract,International cooperation in science and technology
Slovakia,1998,section_total,20,Ministerstvo školstva SR,Ministry of Education SR,,Celkové výdavky Ministerstva školstva SR,Total expenditures of the Ministry of Education SR,165600.0,thousand,SKK,unclear,review,0.5,1998 zakonypreludi_sk_375_1997_zz_19971230.pdf,6,gpt-4o-mini,extract,Total includes non-R&D components
Slovakia,1998,section_total,51,Slovenská akadémia vied,Slovak Academy of Sciences,,Celkové výdavky Slovenskej akadémie vied,Total expenditures of the Slovak Academy of Sciences,18000.0,thousand,SKK,science_agency,include,0.8,1998 zakonypreludi_sk_375_1997_zz_19971230.pdf,6,gpt-4o-mini,extract,Total for basic research
Slovakia,1999,line_item,20,Ministerstvo školstva SR,Ministry of Education SR,,aplikovaný výskum a vývoj na vysokých školách,applied research and development at universities,15000.0,thousand,SKK,higher_education,include,1.0,1999 ZZ_1999_63_19990401.pdf,19,gpt-4o-mini,extract,
Slovakia,1999,line_item,20,Ministerstvo školstva SR,Ministry of Education SR,,úlohy rozvoja vedy a techniky riešené vysokými školami v rámci medzinárodnej vedecko-technickej spolupráce,tasks for the development of science and technology addressed by universities within international scientific and technical cooperation,11000.0,thousand,SKK,rd_adjacent,include,1.0,1999 ZZ_1999_63_19990401.pdf,19,gpt-4o-mini,extract,
Slovakia,1999,line_item,20,Ministerstvo školstva SR,Ministry of Education SR,,účasť organizácií a pracovísk výskumu a vývoja v SR na projektoch CERN,participation of organizations and research and development workplaces in Slovakia in CERN projects,8400.0,thousand,SKK,rd_adjacent,include,1.0,1999 ZZ_1999_63_19990401.pdf,20,gpt-4o-mini,extract,
