country,year,canonical_name,category,amount_local,unit,currency,item_type,line_description_en,source_file,page_number,series_notes
Slovakia,2005,APVV (Agentúra na podporu výskumu a vývoja),science_agency,,,,,,,,gap: no matching rows in this year
Slovakia,2006,APVV (Agentúra na podporu výskumu a vývoja),science_agency,200000000.0,koruna,SKK,line_item,APVV - Agency for Support of Research and Development,2006 ZZ_2005_655_20060101.pdf,21,"Created 2005, replacing Agentúra pre vedecký výskum. Main competitive R&D grant agency under Ministerstvo školstva SR."
Slovakia,2007,APVV (Agentúra na podporu výskumu a vývoja),science_agency,,,,,,,,gap: no matching rows in this year
Slovakia,2008,APVV (Agentúra na podporu výskumu a vývoja),science_agency,,,,,,,,gap: no matching rows in this year
Slovakia,2009,APVV (Agentúra na podporu výskumu a vývoja),science_agency,1482453.0,euro,EUR,line_item,APVV - Agency for Support of Research and Development,2009 ZZ_2008_596_20090101.pdf,6,"Created 2005, replacing Agentúra pre vedecký výskum. Main competitive R&D grant agency under Ministerstvo školstva SR."
Slovakia,2010,APVV (Agentúra na podporu výskumu a vývoja),science_agency,120000000.0,euro,EUR,line_item,APVV - Slovak Research and Development Agency,2010 zakonypreludi_sk_497_2009_zz_20101214.pdf,4,"Created 2005, replacing Agentúra pre vedecký výskum. Main competitive R&D grant agency under Ministerstvo školstva SR."
Slovakia,2011,APVV (Agentúra na podporu výskumu a vývoja),science_agency,120000000.0,euro,EUR,line_item,Agency for the Support of Research and Development,2011 ZZ_2010_498_20110101.pdf,20,"Created 2005, replacing Agentúra pre vedecký výskum. Main competitive R&D grant agency under Ministerstvo školstva SR."
Slovakia,2012,APVV (Agentúra na podporu výskumu a vývoja),science_agency,,,,,,,,gap: no matching rows in this year
Slovakia,2013,APVV (Agentúra na podporu výskumu a vývoja),science_agency,100000000.0,euro,EUR,line_item,Agency for the Support of Research and Development (APVV),2013 ZZ_2012_438_20130101.pdf,6,"Created 2005, replacing Agentúra pre vedecký výskum. Main competitive R&D grant agency under Ministerstvo školstva SR."
Slovakia,2014,APVV (Agentúra na podporu výskumu a vývoja),science_agency,,,,,,,,gap: no matching rows in this year
Slovakia,2015,APVV (Agentúra na podporu výskumu a vývoja),science_agency,,,,,,,,gap: no matching rows in this year
Slovakia,2016,APVV (Agentúra na podporu výskumu a vývoja),science_agency,,,,,,,,gap: no matching rows in this year
Slovakia,2017,APVV (Agentúra na podporu výskumu a vývoja),science_agency,,,,,,,,gap: no matching rows in this year
Slovakia,2018,APVV (Agentúra na podporu výskumu a vývoja),science_agency,500000.0,euro,EUR,line_item,APVV - Agency for Support of Research and Development,2018 zakonypreludi_sk_333_2017_zz_0.pdf,5,"Created 2005, replacing Agentúra pre vedecký výskum. Main competitive R&D grant agency under Ministerstvo školstva SR."
Slovakia,2019,APVV (Agentúra na podporu výskumu a vývoja),science_agency,,,,,,,,gap: no matching rows in this year
Slovakia,2020,APVV (Agentúra na podporu výskumu a vývoja),science_agency,,,,,,,,gap: no matching rows in this year
Slovakia,2021,APVV (Agentúra na podporu výskumu a vývoja),science_agency,,,,,,,,gap: no matching rows in this year
Slovakia,2022,APVV (Agentúra na podporu výskumu a vývoja),science_agency,120000000.0,euro,EUR,line_item,APVV - Agency for Support of Research and Development,2022 Zakon_o_statnom_rozpocte_na_rok_2022.pdf,6,"Created 2005, replacing Agentúra pre vedecký výskum. Main competitive R&D grant agency under Ministerstvo školstva SR."
Slovakia,2025,APVV (Agentúra na podporu výskumu a vývoja),science_agency,,,,,,,,"Created 2005, replacing Agentúra pre vedecký výskum. Main competitive R&D grant agency under Ministerstvo školstva SR.; dropped after Slovakia source audit: 2025 source file does not explicitly name this agency/line in the original table"
Slovakia,1995,Agentúra pre vedecký výskum (pre-APVV),science_agency,,,,,,,,gap: no matching rows in this year
Slovakia,1996,Agentúra pre vedecký výskum (pre-APVV),science_agency,,,,,,,,gap: no matching rows in this year
Slovakia,1997,Agentúra pre vedecký výskum (pre-APVV),science_agency,,,,,,,,gap: no matching rows in this year
Slovakia,1998,Agentúra pre vedecký výskum (pre-APVV),science_agency,,,,,,,,gap: no matching rows in this year
Slovakia,1999,Agentúra pre vedecký výskum (pre-APVV),science_agency,,,,,,,,gap: no matching rows in this year
Slovakia,2000,Agentúra pre vedecký výskum (pre-APVV),science_agency,,,,,,,,gap: no matching rows in this year
Slovakia,2001,Agentúra pre vedecký výskum (pre-APVV),science_agency,,,,,,,,gap: no matching rows in this year
Slovakia,2002,Agentúra pre vedecký výskum (pre-APVV),science_agency,,,,,,,,gap: no matching rows in this year
Slovakia,2003,Agentúra pre vedecký výskum (pre-APVV),science_agency,,,,,,,,gap: no matching rows in this year
Slovakia,2004,Agentúra pre vedecký výskum (pre-APVV),science_agency,,,,,,,,gap: no matching rows in this year
Slovakia,2005,Agentúra pre vedecký výskum (pre-APVV),science_agency,,,,,,,,gap: no matching rows in this year
Slovakia,2005,Applied Research at Universities,direct_rd,103860000.0,koruna,SKK,line_item,Applied research at universities,2005 ZZ_2004_740_20050101.pdf,18,This entity supports applied research activities at universities.
Slovakia,1993,CERN (Slovak contribution),direct_rd,,,,,,,,gap: no matching rows in this year
Slovakia,1994,CERN (Slovak contribution),direct_rd,,,,,,,,gap: no matching rows in this year
