country,canonical_name,year,amount_total,amount_primary,n_acts,acts,additive_flag,currency,unit,category
Slovakia,APVV (Agentúra na podporu výskumu a vývoja),2005,,,0,,gap,,,science_agency
Slovakia,APVV (Agentúra na podporu výskumu a vývoja),2006,200000000.0,200000000.0,1,2006 ZZ_2005_655_20060101.pdf,single,SKK,koruna,science_agency
Slovakia,APVV (Agentúra na podporu výskumu a vývoja),2007,,,0,,gap,,,science_agency
Slovakia,APVV (Agentúra na podporu výskumu a vývoja),2008,,,0,,gap,,,science_agency
Slovakia,APVV (Agentúra na podporu výskumu a vývoja),2009,1482453.0,1482453.0,1,2009 ZZ_2008_596_20090101.pdf,single,EUR,euro,science_agency
Slovakia,APVV (Agentúra na podporu výskumu a vývoja),2010,120000000.0,120000000.0,1,2010 zakonypreludi_sk_497_2009_zz_20101214.pdf,single,EUR,euro,science_agency
Slovakia,APVV (Agentúra na podporu výskumu a vývoja),2011,120000000.0,120000000.0,1,2011 ZZ_2010_498_20110101.pdf,single,EUR,euro,science_agency
Slovakia,APVV (Agentúra na podporu výskumu a vývoja),2012,,,0,,gap,,,science_agency
Slovakia,APVV (Agentúra na podporu výskumu a vývoja),2013,100000000.0,100000000.0,1,2013 ZZ_2012_438_20130101.pdf,single,EUR,euro,science_agency
Slovakia,APVV (Agentúra na podporu výskumu a vývoja),2014,,,0,,gap,,,science_agency
Slovakia,APVV (Agentúra na podporu výskumu a vývoja),2015,,,0,,gap,,,science_agency
Slovakia,APVV (Agentúra na podporu výskumu a vývoja),2016,,,0,,gap,,,science_agency
Slovakia,APVV (Agentúra na podporu výskumu a vývoja),2017,,,0,,gap,,,science_agency
Slovakia,APVV (Agentúra na podporu výskumu a vývoja),2018,500000.0,500000.0,1,2018 zakonypreludi_sk_333_2017_zz_0.pdf,single,EUR,euro,science_agency
Slovakia,APVV (Agentúra na podporu výskumu a vývoja),2019,,,0,,gap,,,science_agency
Slovakia,APVV (Agentúra na podporu výskumu a vývoja),2020,,,0,,gap,,,science_agency
Slovakia,APVV (Agentúra na podporu výskumu a vývoja),2021,,,0,,gap,,,science_agency
Slovakia,APVV (Agentúra na podporu výskumu a vývoja),2022,120000000.0,120000000.0,1,2022 Zakon_o_statnom_rozpocte_na_rok_2022.pdf,single,EUR,euro,science_agency
Slovakia,APVV (Agentúra na podporu výskumu a vývoja),2025,,,0,,gap,,,science_agency
Slovakia,Agentúra pre vedecký výskum (pre-APVV),1995,,,0,,gap,,,science_agency
Slovakia,Agentúra pre vedecký výskum (pre-APVV),1996,,,0,,gap,,,science_agency
Slovakia,Agentúra pre vedecký výskum (pre-APVV),1997,,,0,,gap,,,science_agency
Slovakia,Agentúra pre vedecký výskum (pre-APVV),1998,,,0,,gap,,,science_agency
Slovakia,Agentúra pre vedecký výskum (pre-APVV),1999,,,0,,gap,,,science_agency
Slovakia,Agentúra pre vedecký výskum (pre-APVV),2000,,,0,,gap,,,science_agency
Slovakia,Agentúra pre vedecký výskum (pre-APVV),2001,,,0,,gap,,,science_agency
Slovakia,Agentúra pre vedecký výskum (pre-APVV),2002,,,0,,gap,,,science_agency
Slovakia,Agentúra pre vedecký výskum (pre-APVV),2003,,,0,,gap,,,science_agency
Slovakia,Agentúra pre vedecký výskum (pre-APVV),2004,,,0,,gap,,,science_agency
Slovakia,Agentúra pre vedecký výskum (pre-APVV),2005,,,0,,gap,,,science_agency
Slovakia,Applied Research at Universities,2005,103860000.0,103860000.0,1,2005 ZZ_2004_740_20050101.pdf,single,SKK,koruna,direct_rd
Slovakia,CERN (Slovak contribution),1993,,,0,,gap,,,direct_rd
Slovakia,CERN (Slovak contribution),1994,,,0,,gap,,,direct_rd
Slovakia,CERN (Slovak contribution),1995,,,0,,gap,,,direct_rd
Slovakia,CERN (Slovak contribution),1996,,,0,,gap,,,direct_rd
Slovakia,CERN (Slovak contribution),1997,,,0,,gap,,,direct_rd
Slovakia,CERN (Slovak contribution),1998,,,0,,gap,,,direct_rd
Slovakia,CERN (Slovak contribution),1999,8400000.0,8400000.0,1,1999 ZZ_1999_63_19990401.pdf,single,SKK,koruna,direct_rd
Slovakia,CERN (Slovak contribution),2000,7560000.0,7560000.0,1,2000 ZZ_1999_372_20000101.pdf,single,SKK,koruna,direct_rd
Slovakia,CERN (Slovak contribution),2001,,,0,,gap,,,direct_rd
Slovakia,CERN (Slovak contribution),2002,,,0,,gap,,,direct_rd
Slovakia,CERN (Slovak contribution),2003,,,0,,gap,,,direct_rd
Slovakia,CERN (Slovak contribution),2004,,,0,,gap,,,direct_rd
Slovakia,CERN (Slovak contribution),2005,,,0,,gap,,,direct_rd
Slovakia,CERN (Slovak contribution),2006,,,0,,gap,,,direct_rd
Slovakia,CERN (Slovak contribution),2007,,,0,,gap,,,direct_rd
Slovakia,CERN (Slovak contribution),2008,,,0,,gap,,,direct_rd
Slovakia,CERN (Slovak contribution),2009,,,0,,gap,,,direct_rd
Slovakia,CERN (Slovak contribution),2010,,,0,,gap,,,direct_rd
Slovakia,CERN (Slovak contribution),2011,,,0,,gap,,,direct_rd
Slovakia,CERN (Slovak contribution),2012,,,0,,gap,,,direct_rd
Slovakia,CERN (Slovak contribution),2013,,,0,,gap,,,direct_rd
Slovakia,CERN (Slovak contribution),2014,,,0,,gap,,,direct_rd
Slovakia,CERN (Slovak contribution),2015,,,0,,gap,,,direct_rd
Slovakia,CERN (Slovak contribution),2016,,,0,,gap,,,direct_rd
Slovakia,CERN (Slovak contribution),2017,,,0,,gap,,,direct_rd
Slovakia,CERN (Slovak contribution),2018,,,0,,gap,,,direct_rd
Slovakia,CERN (Slovak contribution),2019,,,0,,gap,,,direct_rd
Slovakia,CERN (Slovak contribution),2020,,,0,,gap,,,direct_rd
Slovakia,CERN (Slovak contribution),2021,,,0,,gap,,,direct_rd
Slovakia,CERN (Slovak contribution),2022,,,0,,gap,,,direct_rd
Slovakia,CERN (Slovak contribution),2025,,,0,,gap,,,direct_rd
Slovakia,Contribution for Scientific Societies,1996,2300000.0,2300000.0,1,1996 zakonypreludi_sk_304_1995_zz_20120101.pdf,single,SKK,koruna,innovation_instruments
Slovakia,Contribution of Slovakia to the VI Framework Programme for Research and Technological Development,2003,500000000.0,500000000.0,1,2003 zakonypreludi_sk_750_2002_zz_20030101 (1).pdf,single,SKK,koruna,innovation_instruments
Slovakia,Contribution to Basic Research,1994,241000000.0,241000000.0,1,1994 zakonypreludi_sk_325_1993_zz_19950401.pdf,single,SKK,koruna,direct_rd
Slovakia,Contribution to Scientific Research,1994,140638000.0,140638000.0,1,1994 zakonypreludi_sk_325_1993_zz_19950401.pdf,single,SKK,koruna,direct_rd
Slovakia,Cooperation with the European Union in Research and Development of Technologies - 4th EU Framework Program,1997,10000000.0,10000000.0,1,1997 zakonypreludi_sk_386_1996_zz_20050501.pdf,single,SKK,koruna,direct_rd
Slovakia,Expenditures on Science and Technology,2005,1798974000.0,1798974000.0,1,2005 ZZ_2004_740_20050101.pdf,single,SKK,koruna,direct_rd
Slovakia,Grants for Scientific Projects,1995,30000000.0,30000000.0,1,1995 zakonypreludi_sk_58_1995_zz_20120101.pdf,single,SKK,koruna,direct_rd
Slovakia,INFOVEK,2003,319909000.0,319909000.0,1,2003 zakonypreludi_sk_750_2002_zz_20030101 (1).pdf,single,SKK,koruna,innovation_instruments
Slovakia,Ministerstvo školstva SR (kapitola 20),1992,18173561000.0,18173561000.0,1,1992 ZZ_1991_581_19920101.pdf,single,SKK,koruna,higher_education
Slovakia,Ministerstvo školstva SR (kapitola 20),1993,18437794000.0,18437794000.0,1,1993 ZZ_1993_14_19930101.pdf,single,SKK,koruna,higher_education
Slovakia,Ministerstvo školstva SR (kapitola 20),1994,18688695000.0,18688695000.0,1,1994 zakonypreludi_sk_325_1993_zz_19950401.pdf,single,SKK,koruna,higher_education
Slovakia,Ministerstvo školstva SR (kapitola 20),1995,24797684000.0,24797684000.0,1,1995 zakonypreludi_sk_58_1995_zz_20120101.pdf,single,SKK,koruna,higher_education
Slovakia,Ministerstvo školstva SR (kapitola 20),1996,27667038000.0,27667038000.0,1,1996 zakonypreludi_sk_304_1995_zz_20120101.pdf,single,SKK,koruna,higher_education
Slovakia,Ministerstvo školstva SR (kapitola 20),1997,5822694000.0,5822694000.0,1,1997 zakonypreludi_sk_386_1996_zz_20050501.pdf,single,SKK,koruna,higher_education
Slovakia,Ministerstvo školstva SR (kapitola 20),1998,,,0,,gap,,,higher_education
Slovakia,Ministerstvo školstva SR (kapitola 20),1999,6772693000.0,6772693000.0,1,1999 ZZ_1999_63_19990401.pdf,single,SKK,koruna,higher_education
Slovakia,Ministerstvo školstva SR (kapitola 20),2000,200000000.0,200000000.0,1,2000 ZZ_1999_372_20000101.pdf,single,SKK,koruna,higher_education
Slovakia,Ministerstvo školstva SR (kapitola 20),2001,7705008000.0,7705008000.0,1,2001 zakonypreludi_sk_472_2000_zz_20010101.pdf,single,SKK,koruna,higher_education
Slovakia,Ministerstvo školstva SR (kapitola 20),2002,9687762000.0,9687762000.0,1,2002 ZZ_2001_586_20020101.pdf,single,SKK,koruna,higher_education
Slovakia,Ministerstvo školstva SR (kapitola 20),2003,10208445000.0,10208445000.0,1,2003 zakonypreludi_sk_750_2002_zz_20030101.pdf,single,SKK,koruna,higher_education
Slovakia,Ministerstvo školstva SR (kapitola 20),2004,41541953000.0,41541953000.0,1,2004 zakonypreludi_sk_598_2003_zz_20040101.pdf,single,SKK,koruna,higher_education
Slovakia,Ministerstvo školstva SR (kapitola 20),2005,44700037000.0,44700037000.0,1,2005 ZZ_2004_740_20050101.pdf,single,SKK,koruna,higher_education
Slovakia,Ministerstvo školstva SR (kapitola 20),2006,33950386000.0,33950386000.0,1,2006 ZZ_2005_655_20060101.pdf,single,SKK,koruna,higher_education
Slovakia,Ministerstvo školstva SR (kapitola 20),2007,51360826000.0,51360826000.0,1,2007 ZZ_2006_681_20070101.pdf,single,SKK,koruna,higher_education
Slovakia,Ministerstvo školstva SR (kapitola 20),2008,55494212000.0,55494212000.0,1,2008 ZZ_2007_608_20080101.pdf,single,SKK,koruna,higher_education
Slovakia,Ministerstvo školstva SR (kapitola 20),2009,2170267753.0,2170267753.0,1,2009 ZZ_2008_596_20090101.pdf,single,EUR,euro,higher_education
Slovakia,Ministerstvo školstva SR (kapitola 20),2010,2348231752.0,2348231752.0,1,2010 zakonypreludi_sk_497_2009_zz_20101214.pdf,single,EUR,euro,higher_education
Slovakia,Ministerstvo školstva SR (kapitola 20),2011,2323259742.0,2323259742.0,1,2011 ZZ_2010_498_20110101.pdf,single,EUR,euro,higher_education
Slovakia,Ministerstvo školstva SR (kapitola 20),2012,2434334571.0,2434334571.0,1,2012 ZZ_2011_511_20120101.pdf,single,EUR,euro,higher_education
Slovakia,Ministerstvo školstva SR (kapitola 20),2013,2464621850.0,2464621850.0,1,2013 ZZ_2012_438_20130101.pdf,single,EUR,euro,higher_education
Slovakia,Ministerstvo školstva SR (kapitola 20),2014,2257016865.0,2257016865.0,1,2014 ZZ_2013_473_20140101.pdf,single,EUR,euro,higher_education
Slovakia,Ministerstvo školstva SR (kapitola 20),2015,2091143891.0,2091143891.0,1,2015 ZZ_2014_385_20150101.pdf,single,EUR,euro,higher_education
Slovakia,Ministerstvo školstva SR (kapitola 20),2016,2150110646.0,2150110646.0,1,2016 ZZ_2015_411_20160101.pdf,single,EUR,euro,higher_education
Slovakia,Ministerstvo školstva SR (kapitola 20),2017,1433710444.0,1433710444.0,1,2017 ZZ_2016_357_20170101.pdf,single,EUR,euro,higher_education
Slovakia,Ministerstvo školstva SR (kapitola 20),2018,40317223.0,40317223.0,1,2018 zakonypreludi_sk_333_2017_zz_0.pdf,single,EUR,euro,higher_education
Slovakia,Ministerstvo školstva SR (kapitola 20),2019,1361102879.0,1361102879.0,1,2019 ZZ_2018_370_20190101.pdf,single,EUR,euro,higher_education
Slovakia,Ministerstvo školstva SR (kapitola 20),2020,1581963859.0,1581963859.0,1,2020 ZZ_2019_468.pdf,single,EUR,euro,higher_education
Slovakia,Ministerstvo školstva SR (kapitola 20),2021,1751342149.0,1751342149.0,1,2021 ZZ_2020_425_20210605.pdf,single,EUR,euro,higher_education
Slovakia,Ministerstvo školstva SR (kapitola 20),2022,3643684873.0,3643684873.0,1,2022 Zakon_o_statnom_rozpocte_na_rok_2022.pdf,single,EUR,euro,higher_education
Slovakia,Ministerstvo školstva SR (kapitola 20),2025,5358963927.0,5358963927.0,1,2025 20250101_5681740-2.pdf,single,EUR,euro,higher_education
Slovakia,National Program for the Development of Science and Technology,2006,134620000.0,134620000.0,1,2006 ZZ_2005_655_20060101.pdf,single,SKK,koruna,direct_rd
Slovakia,National Program for the Development of Science and Technology,2007,,,0,,gap,,,direct_rd
Slovakia,National Program for the Development of Science and Technology,2008,,,0,,gap,,,direct_rd
Slovakia,National Program for the Development of Science and Technology,2009,,,0,,gap,,,direct_rd
Slovakia,National Program for the Development of Science and Technology,2010,,,0,,gap,,,direct_rd
Slovakia,National Program for the Development of Science and Technology,2011,,,0,,gap,,,direct_rd
Slovakia,National Program for the Development of Science and Technology,2012,,,0,,gap,,,direct_rd
Slovakia,National Program for the Development of Science and Technology,2013,,,0,,gap,,,direct_rd
