country,year,canonical_name,category,gap_type,gap_subtype,diagnosis,raw_row_match,raw_row_amount,raw_row_file,action,series_amount,series_currency,prev_amount,next_amount
Slovakia,2005,APVV (Agentúra na podporu výskumu a vývoja),science_agency,missing,,Year not in raw_rows — documents may not be parsed yet,no,,,reextract,,,,200000000.0
Slovakia,2006,APVV (Agentúra na podporu výskumu a vývoja),science_agency,ok,,,,,,none,200000000.0,SKK,,1482453.0
Slovakia,2007,APVV (Agentúra na podporu výskumu a vývoja),science_agency,missing,,Year not in raw_rows — documents may not be parsed yet,no,,,reextract,,,200000000.0,1482453.0
Slovakia,2008,APVV (Agentúra na podporu výskumu a vývoja),science_agency,missing,,Year not in raw_rows — documents may not be parsed yet,no,,,reextract,,,200000000.0,1482453.0
Slovakia,2009,APVV (Agentúra na podporu výskumu a vývoja),science_agency,ok,,,,,,none,1482453.0,EUR,200000000.0,120000000.0
Slovakia,2010,APVV (Agentúra na podporu výskumu a vývoja),science_agency,ok,,,,,,none,120000000.0,EUR,1482453.0,120000000.0
Slovakia,2011,APVV (Agentúra na podporu výskumu a vývoja),science_agency,ok,,,,,,none,120000000.0,EUR,120000000.0,100000000.0
Slovakia,2012,APVV (Agentúra na podporu výskumu a vývoja),science_agency,missing,,Year not in raw_rows — documents may not be parsed yet,no,,,reextract,,,120000000.0,100000000.0
Slovakia,2013,APVV (Agentúra na podporu výskumu a vývoja),science_agency,ok,,,,,,none,100000000.0,EUR,120000000.0,500000.0
Slovakia,2014,APVV (Agentúra na podporu výskumu a vývoja),science_agency,missing,,Year not in raw_rows — documents may not be parsed yet,no,,,reextract,,,100000000.0,500000.0
Slovakia,2015,APVV (Agentúra na podporu výskumu a vývoja),science_agency,missing,,Year not in raw_rows — documents may not be parsed yet,no,,,reextract,,,100000000.0,500000.0
Slovakia,2016,APVV (Agentúra na podporu výskumu a vývoja),science_agency,missing,,Year not in raw_rows — documents may not be parsed yet,no,,,reextract,,,100000000.0,500000.0
Slovakia,2017,APVV (Agentúra na podporu výskumu a vývoja),science_agency,missing,,Year not in raw_rows — documents may not be parsed yet,no,,,reextract,,,100000000.0,500000.0
Slovakia,2018,APVV (Agentúra na podporu výskumu a vývoja),science_agency,ok,,,,,,none,500000.0,EUR,100000000.0,120000000.0
Slovakia,2019,APVV (Agentúra na podporu výskumu a vývoja),science_agency,missing,,Year not in raw_rows — documents may not be parsed yet,no,,,reextract,,,500000.0,120000000.0
Slovakia,2020,APVV (Agentúra na podporu výskumu a vývoja),science_agency,missing,,Year not in raw_rows — documents may not be parsed yet,no,,,reextract,,,500000.0,120000000.0
Slovakia,2021,APVV (Agentúra na podporu výskumu a vývoja),science_agency,missing,,Year not in raw_rows — documents may not be parsed yet,no,,,reextract,,,500000.0,120000000.0
Slovakia,2022,APVV (Agentúra na podporu výskumu a vývoja),science_agency,ok,,,,,,none,120000000.0,EUR,500000.0,
Slovakia,2025,APVV (Agentúra na podporu výskumu a vývoja),science_agency,missing,,Year not in raw_rows — documents may not be parsed yet,no,,,reextract,,,120000000.0,
Slovakia,1993,VEGA (Vedecká grantová agentúra MŠ SR a SAV),science_agency,missing,,Year not in raw_rows — documents may not be parsed yet,no,,,reextract,,,,500000000.0
Slovakia,1994,VEGA (Vedecká grantová agentúra MŠ SR a SAV),science_agency,missing,,Year not in raw_rows — documents may not be parsed yet,no,,,reextract,,,,500000000.0
Slovakia,1995,VEGA (Vedecká grantová agentúra MŠ SR a SAV),science_agency,missing,,Year not in raw_rows — documents may not be parsed yet,no,,,reextract,,,,500000000.0
Slovakia,1996,VEGA (Vedecká grantová agentúra MŠ SR a SAV),science_agency,missing,,Year not in raw_rows — documents may not be parsed yet,no,,,reextract,,,,500000000.0
Slovakia,1997,VEGA (Vedecká grantová agentúra MŠ SR a SAV),science_agency,missing,,Year not in raw_rows — documents may not be parsed yet,no,,,reextract,,,,500000000.0
Slovakia,1998,VEGA (Vedecká grantová agentúra MŠ SR a SAV),science_agency,missing,,Year not in raw_rows — documents may not be parsed yet,no,,,reextract,,,,500000000.0
Slovakia,1999,VEGA (Vedecká grantová agentúra MŠ SR a SAV),science_agency,missing,,Year not in raw_rows — documents may not be parsed yet,no,,,reextract,,,,500000000.0
Slovakia,2000,VEGA (Vedecká grantová agentúra MŠ SR a SAV),science_agency,missing,,Year not in raw_rows — documents may not be parsed yet,no,,,reextract,,,,500000000.0
Slovakia,2001,VEGA (Vedecká grantová agentúra MŠ SR a SAV),science_agency,missing,,Year not in raw_rows — documents may not be parsed yet,no,,,reextract,,,,500000000.0
Slovakia,2002,VEGA (Vedecká grantová agentúra MŠ SR a SAV),science_agency,missing,,Year not in raw_rows — documents may not be parsed yet,no,,,reextract,,,,500000000.0
Slovakia,2003,VEGA (Vedecká grantová agentúra MŠ SR a SAV),science_agency,missing,,Year not in raw_rows — documents may not be parsed yet,no,,,reextract,,,,500000000.0
Slovakia,2004,VEGA (Vedecká grantová agentúra MŠ SR a SAV),science_agency,missing,,Year not in raw_rows — documents may not be parsed yet,no,,,reextract,,,,500000000.0
Slovakia,2005,VEGA (Vedecká grantová agentúra MŠ SR a SAV),science_agency,missing,,Year not in raw_rows — documents may not be parsed yet,no,,,reextract,,,,500000000.0
Slovakia,2006,VEGA (Vedecká grantová agentúra MŠ SR a SAV),science_agency,ok,,,,,,none,500000000.0,SKK,,100000000.0
Slovakia,2007,VEGA (Vedecká grantová agentúra MŠ SR a SAV),science_agency,missing,,Year not in raw_rows — documents may not be parsed yet,no,,,reextract,,,500000000.0,100000000.0
Slovakia,2008,VEGA (Vedecká grantová agentúra MŠ SR a SAV),science_agency,missing,,Year not in raw_rows — documents may not be parsed yet,no,,,reextract,,,500000000.0,100000000.0
Slovakia,2009,VEGA (Vedecká grantová agentúra MŠ SR a SAV),science_agency,missing,,Year not in raw_rows — documents may not be parsed yet,no,,,reextract,,,500000000.0,100000000.0
Slovakia,2010,VEGA (Vedecká grantová agentúra MŠ SR a SAV),science_agency,ok,,,,,,none,100000000.0,EUR,500000000.0,0.0
Slovakia,2011,VEGA (Vedecká grantová agentúra MŠ SR a SAV),science_agency,missing,,Year not in raw_rows — documents may not be parsed yet,no,,,reextract,,,100000000.0,0.0
Slovakia,2012,VEGA (Vedecká grantová agentúra MŠ SR a SAV),science_agency,missing,,Year not in raw_rows — documents may not be parsed yet,no,,,reextract,,,100000000.0,0.0
Slovakia,2013,VEGA (Vedecká grantová agentúra MŠ SR a SAV),science_agency,ok,,,,,,none,0.0,EUR,100000000.0,100000000.0
Slovakia,2014,VEGA (Vedecká grantová agentúra MŠ SR a SAV),science_agency,missing,,Year not in raw_rows — documents may not be parsed yet,no,,,reextract,,,0.0,100000000.0
Slovakia,2015,VEGA (Vedecká grantová agentúra MŠ SR a SAV),science_agency,missing,,Year not in raw_rows — documents may not be parsed yet,no,,,reextract,,,0.0,100000000.0
Slovakia,2016,VEGA (Vedecká grantová agentúra MŠ SR a SAV),science_agency,missing,,Year not in raw_rows — documents may not be parsed yet,no,,,reextract,,,0.0,100000000.0
Slovakia,2017,VEGA (Vedecká grantová agentúra MŠ SR a SAV),science_agency,missing,,Year not in raw_rows — documents may not be parsed yet,no,,,reextract,,,0.0,100000000.0
Slovakia,2018,VEGA (Vedecká grantová agentúra MŠ SR a SAV),science_agency,missing,,Year not in raw_rows — documents may not be parsed yet,no,,,reextract,,,0.0,100000000.0
Slovakia,2019,VEGA (Vedecká grantová agentúra MŠ SR a SAV),science_agency,missing,,Year not in raw_rows — documents may not be parsed yet,no,,,reextract,,,0.0,100000000.0
Slovakia,2020,VEGA (Vedecká grantová agentúra MŠ SR a SAV),science_agency,missing,,Year not in raw_rows — documents may not be parsed yet,no,,,reextract,,,0.0,100000000.0
Slovakia,2021,VEGA (Vedecká grantová agentúra MŠ SR a SAV),science_agency,missing,,Year not in raw_rows — documents may not be parsed yet,no,,,reextract,,,0.0,100000000.0
Slovakia,2022,VEGA (Vedecká grantová agentúra MŠ SR a SAV),science_agency,ok,,,,,,none,100000000.0,EUR,0.0,
Slovakia,2025,VEGA (Vedecká grantová agentúra MŠ SR a SAV),science_agency,missing,,Year not in raw_rows — documents may not be parsed yet,no,,,reextract,,,100000000.0,
Slovakia,1992,SAV (Slovenská akadémia vied),science_agency,ok,,,,,,none,695624000.0,SKK,,473311000.0
Slovakia,1993,SAV (Slovenská akadémia vied),science_agency,ok,,,,,,none,473311000.0,SKK,695624000.0,381000000.0
Slovakia,1994,SAV (Slovenská akadémia vied),science_agency,ok,,,,,,none,381000000.0,SKK,473311000.0,556323000.0
Slovakia,1995,SAV (Slovenská akadémia vied),science_agency,ok,,,,,,none,556323000.0,SKK,381000000.0,690838000.0
Slovakia,1996,SAV (Slovenská akadémia vied),science_agency,ok,,,,,,none,690838000.0,SKK,556323000.0,12000000.0
Slovakia,1997,SAV (Slovenská akadémia vied),science_agency,ok,,,,,,none,12000000.0,SKK,690838000.0,18000000.0
Slovakia,1998,SAV (Slovenská akadémia vied),science_agency,ok,,,,,,none,18000000.0,SKK,12000000.0,820776000.0
Slovakia,1999,SAV (Slovenská akadémia vied),science_agency,ok,,,,,,none,820776000.0,SKK,18000000.0,852819000.0
Slovakia,2000,SAV (Slovenská akadémia vied),science_agency,ok,,,,,,none,852819000.0,SKK,820776000.0,878143000.0
Slovakia,2001,SAV (Slovenská akadémia vied),science_agency,ok,,,,,,none,878143000.0,SKK,852819000.0,940050000.0
Slovakia,2002,SAV (Slovenská akadémia vied),science_agency,ok,,,,,,none,940050000.0,SKK,878143000.0,1105326000.0
