year,canonical_name,category,amount_local,unit,currency,item_type,source_file,page_number,pdf_path,full_text_cache,line_description_en,traceability_status,trace_excerpt,series_notes
1992,Ministerstvo školstva SR (kapitola 20),higher_education,18173561000.0,koruna,SKK,section_total,1992 ZZ_1991_581_19920101.pdf,5,Data/input/finance_bills/Slovakia/1992 ZZ_1991_581_19920101.pdf,,Total expenditures,covered_by_final_series,,"Primary budget chapter for science and higher education. Contains universities, APVV, VEGA, and research institutes. Use section_total for total chapter; prefer named sub-items for detail."
1992,Oblasť 740 — veda a výskum (science and research),direct_rd,,,,,,,,,,covered_by_final_series,,gap: no matching rows in this year
1992,SAV (Slovenská akadémia vied),science_agency,695624000.0,koruna,SKK,section_total,1992 ZZ_1991_581_19920101.pdf,5,Data/input/finance_bills/Slovakia/1992 ZZ_1991_581_19920101.pdf,,Total expenditures,covered_by_final_series,,Slovak Academy of Sciences — own budget chapter (kapitola 51). Entire kapitola 51 appropriation counts as R&D.
1993,CERN (Slovak contribution),direct_rd,,,,,,,,,,covered_by_final_series,,gap: no matching rows in this year
1993,Ministerstvo školstva SR (kapitola 20),higher_education,18437794000.0,koruna,SKK,section_total,1993 ZZ_1993_14_19930101.pdf,10,Data/input/finance_bills/Slovakia/1993 ZZ_1993_14_19930101.pdf,,Total expenditures,covered_by_final_series,,"Primary budget chapter for science and higher education. Contains universities, APVV, VEGA, and research institutes. Use section_total for total chapter; prefer named sub-items for detail."
1993,Oblasť 740 — veda a výskum (science and research),direct_rd,,,,,,,,,,covered_by_final_series,,gap: no matching rows in this year
1993,SAV (Slovenská akadémia vied),science_agency,473311000.0,koruna,SKK,section_total,1993 ZZ_1993_14_19930101.pdf,11,Data/input/finance_bills/Slovakia/1993 ZZ_1993_14_19930101.pdf,,Total expenditures,covered_by_final_series,,Slovak Academy of Sciences — own budget chapter (kapitola 51). Entire kapitola 51 appropriation counts as R&D.
1993,VEGA (Vedecká grantová agentúra MŠ SR a SAV),science_agency,,,,,,,,,,covered_by_final_series,,gap: no matching rows in this year
1994,CERN (Slovak contribution),direct_rd,,,,,,,,,,covered_by_final_series,,gap: no matching rows in this year
1994,Contribution to Basic Research,direct_rd,241000000.0,koruna,SKK,line_item,1994 zakonypreludi_sk_325_1993_zz_19950401.pdf,10,Data/input/finance_bills/Slovakia/1994 zakonypreludi_sk_325_1993_zz_19950401.pdf,,Contribution to basic research,covered_by_final_series,,This entity is specifically for funding basic research activities.
1994,Contribution to Scientific Research,direct_rd,140638000.0,koruna,SKK,line_item,1994 zakonypreludi_sk_325_1993_zz_19950401.pdf,10,Data/input/finance_bills/Slovakia/1994 zakonypreludi_sk_325_1993_zz_19950401.pdf,,Contribution to scientific research,covered_by_final_series,,This entity is specifically for funding scientific research.
1994,Ministerstvo školstva SR (kapitola 20),higher_education,18688695000.0,koruna,SKK,section_total,1994 zakonypreludi_sk_325_1993_zz_19950401.pdf,10,Data/input/finance_bills/Slovakia/1994 zakonypreludi_sk_325_1993_zz_19950401.pdf,,Total budget,covered_by_final_series,,"Primary budget chapter for science and higher education. Contains universities, APVV, VEGA, and research institutes. Use section_total for total chapter; prefer named sub-items for detail."
1994,Oblasť 740 — veda a výskum (science and research),direct_rd,,,,,,,,,,covered_by_final_series,,gap: no matching rows in this year
1994,SAV (Slovenská akadémia vied),science_agency,381000000.0,koruna,SKK,section_total,1994 zakonypreludi_sk_325_1993_zz_19950401.pdf,10,Data/input/finance_bills/Slovakia/1994 zakonypreludi_sk_325_1993_zz_19950401.pdf,,Total budget,covered_by_final_series,,Slovak Academy of Sciences — own budget chapter (kapitola 51). Entire kapitola 51 appropriation counts as R&D.
1994,VEGA (Vedecká grantová agentúra MŠ SR a SAV),science_agency,,,,,,,,,,covered_by_final_series,,gap: no matching rows in this year
1995,Agentúra pre vedecký výskum (pre-APVV),science_agency,,,,,,,,,,covered_by_final_series,,gap: no matching rows in this year
1995,CERN (Slovak contribution),direct_rd,,,,,,,,,,covered_by_final_series,,gap: no matching rows in this year
1995,Grants for Scientific Projects,direct_rd,30000000.0,koruna,SKK,line_item,1995 zakonypreludi_sk_58_1995_zz_20120101.pdf,8,Data/input/finance_bills/Slovakia/1995 zakonypreludi_sk_58_1995_zz_20120101.pdf,,grants for scientific projects,covered_by_final_series,,This funding is aimed at supporting scientific research projects.
