source_file,pdf_path,full_text_cache,selected_rows,selected_canonicals,selected_pages,selected_line_descriptions,selected_amounts,traceability_status,source_audit_note
1990 text.pdf,Data/input/finance_bills/Slovakia/1990 text.pdf,,0,,,,,not_used_in_final_series,
1992 ZZ_1991_581_19920101.pdf,Data/input/finance_bills/Slovakia/1992 ZZ_1991_581_19920101.pdf,,2,Ministerstvo školstva SR (kapitola 20) | SAV (Slovenská akadémia vied),5 | 5,Total expenditures | Total expenditures,18173561000.0 | 695624000.0,covered_by_final_series,
1993 ZZ_1993_14_19930101.pdf,Data/input/finance_bills/Slovakia/1993 ZZ_1993_14_19930101.pdf,,2,Ministerstvo školstva SR (kapitola 20) | SAV (Slovenská akadémia vied),10 | 11,Total expenditures | Total expenditures,18437794000.0 | 473311000.0,covered_by_final_series,
1994 zakonypreludi_sk_325_1993_zz_19950401.pdf,Data/input/finance_bills/Slovakia/1994 zakonypreludi_sk_325_1993_zz_19950401.pdf,,4,Contribution to Basic Research | Contribution to Scientific Research | Ministerstvo školstva SR (kapitola 20) | SAV (Slovenská akadémia vied),10 | 10 | 10 | 10,Contribution to basic research | Contribution to scientific research | Total budget | Total budget,241000000.0 | 140638000.0 | 18688695000.0 | 381000000.0,covered_by_final_series,
1995 zakonypreludi_sk_58_1995_zz_20120101.pdf,Data/input/finance_bills/Slovakia/1995 zakonypreludi_sk_58_1995_zz_20120101.pdf,,3,Grants for Scientific Projects | Ministerstvo školstva SR (kapitola 20) | SAV (Slovenská akadémia vied),8 | 5 | 5,grants for scientific projects | Total budget | Total budget,30000000.0 | 24797684000.0 | 556323000.0,covered_by_final_series,
1996 zakonypreludi_sk_304_1995_zz_20120101.pdf,Data/input/finance_bills/Slovakia/1996 zakonypreludi_sk_304_1995_zz_20120101.pdf,,3,Contribution for Scientific Societies | Ministerstvo školstva SR (kapitola 20) | SAV (Slovenská akadémia vied),11 | 7 | 10,Contribution for scientific societies | Total expenditures | Total expenditures,2300000.0 | 27667038000.0 | 690838000.0,covered_by_final_series,
1997 zakonypreludi_sk_386_1996_zz_20050501.pdf,Data/input/finance_bills/Slovakia/1997 zakonypreludi_sk_386_1996_zz_20050501.pdf,,4,Cooperation with the European Union in Research and Development of Technologies - 4th EU Framework Program | Ministerstvo školstva SR (kapitola 20) | SAV (Slovenská akadémia vied) | Transfer to Scientific Societies,12 | 7 | 9 | 13,cooperation with the European Union in the field of research and development of technologies - 4th EU framework program | Total budget | Total budget | transfer to scientific societies,10000000.0 | 5822694000.0 | 12000000.0 | 2070000.0,covered_by_final_series,
1998 zakonypreludi_sk_375_1997_zz_19971230.pdf,Data/input/finance_bills/Slovakia/1998 zakonypreludi_sk_375_1997_zz_19971230.pdf,,1,SAV (Slovenská akadémia vied),6,Total expenditures of the Slovak Academy of Sciences,18000000.0,covered_by_final_series,
1999 ZZ_1999_63_19990401.pdf,Data/input/finance_bills/Slovakia/1999 ZZ_1999_63_19990401.pdf,,3,CERN (Slovak contribution) | Ministerstvo školstva SR (kapitola 20) | SAV (Slovenská akadémia vied),20 | 8 | 23,participation of organizations and research and development workplaces in Slovakia in CERN projects | Current expenditures | Current expenditures,8400000.0 | 6772693000.0 | 820776000.0,covered_by_final_series,
2000 ZZ_1999_372_20000101.pdf,Data/input/finance_bills/Slovakia/2000 ZZ_1999_372_20000101.pdf,,4,CERN (Slovak contribution) | Ministerstvo školstva SR (kapitola 20) | SAV (Slovenská akadémia vied) | Transfer to Scientific Societies,21 | 10 | 23 | 23,participation of organizations and research institutions in Slovakia in CERN projects | Total budget of the Ministry of Education SR | Total budget of the Slovak Academy of Sciences | transfer to scientific societies,7560000.0 | 200000000.0 | 852819000.0 | 2366000.0,covered_by_final_series,
2001 zakonypreludi_sk_472_2000_zz_20010101.pdf,Data/input/finance_bills/Slovakia/2001 zakonypreludi_sk_472_2000_zz_20010101.pdf,,2,Ministerstvo školstva SR (kapitola 20) | SAV (Slovenská akadémia vied),12 | 12,Total expenditures of the Ministry of Education SR | Total expenditures of the Slovak Academy of Sciences,7705008000.0 | 878143000.0,covered_by_final_series,
2002 ZZ_2001_586_20020101 (1).pdf,Data/input/finance_bills/Slovakia/2002 ZZ_2001_586_20020101 (1).pdf,,0,,,,,not_used_in_final_series,
2002 ZZ_2001_586_20020101.pdf,Data/input/finance_bills/Slovakia/2002 ZZ_2001_586_20020101.pdf,,2,Ministerstvo školstva SR (kapitola 20) | SAV (Slovenská akadémia vied),12 | 13,Total expenditures | Total expenditures,9687762000.0 | 940050000.0,covered_by_final_series,
2003 zakonypreludi_sk_750_2002_zz_20030101 (1).pdf,Data/input/finance_bills/Slovakia/2003 zakonypreludi_sk_750_2002_zz_20030101 (1).pdf,,2,Contribution of Slovakia to the VI Framework Programme for Research and Technological Development | INFOVEK,11 | 11,Slovak contribution to the 6th Framework Programme for Research and Technological Development | INFOVEK programme,500000000.0 | 319909000.0,covered_by_final_series,
2003 zakonypreludi_sk_750_2002_zz_20030101.pdf,Data/input/finance_bills/Slovakia/2003 zakonypreludi_sk_750_2002_zz_20030101.pdf,,2,Ministerstvo školstva SR (kapitola 20) | SAV (Slovenská akadémia vied),11 | 12,Total expenditures | Total expenditures,10208445000.0 | 1105326000.0,covered_by_final_series,
2004 zakonypreludi_sk_598_2003_zz_20040101 (1).pdf,Data/input/finance_bills/Slovakia/2004 zakonypreludi_sk_598_2003_zz_20040101 (1).pdf,,0,,,,,not_used_in_final_series,
2004 zakonypreludi_sk_598_2003_zz_20040101.pdf,Data/input/finance_bills/Slovakia/2004 zakonypreludi_sk_598_2003_zz_20040101.pdf,,2,Ministerstvo školstva SR (kapitola 20) | SAV (Slovenská akadémia vied),5 | 6,Total expenditures | Total expenditures,41541953000.0 | 1442957000.0,covered_by_final_series,
2005 ZZ_2004_740_20050101.pdf,Data/input/finance_bills/Slovakia/2005 ZZ_2004_740_20050101.pdf,,4,Applied Research at Universities | Expenditures on Science and Technology | Ministerstvo školstva SR (kapitola 20) | SAV (Slovenská akadémia vied),18 | 37 | 7 | 8,Applied research at universities | Expenditures for science and technology | Total expenditures | Total expenditures,103860000.0 | 1798974000.0 | 44700037000.0 | 1481677000.0,covered_by_final_series,
2006 ZZ_2005_655_20060101.pdf,Data/input/finance_bills/Slovakia/2006 ZZ_2005_655_20060101.pdf,,8,APVV (Agentúra na podporu výskumu a vývoja) | Ministerstvo školstva SR (kapitola 20) | National Program for the Development of Science and Technology | Oblasť 740 — veda a výskum (science and research) | Research and Development Tasks Supported by the Agency for Research and Development Support | SAV (Slovenská akadémia vied) | State Programs for Research and Development | VEGA (Vedecká grantová agentúra MŠ SR a SAV),21 | 7 | 24 | 9 | 30 | 39 | 30 | 21,APVV - Agency for Support of Research and Development | Total budget of the Ministry of Education SR | National Program for the Development of Science and Technology | Science and Research | Tasks of research and development supported by the Research and Development Support Agency | Basic research | State programs of research and development | VEGA - Scientific Grant Agency of the Ministry of Education and SAV,200000000.0 | 33950386000.0 | 134620000.0 | 33950386000.0 | 380000000.0 | 134620000.0 | 104599000.0 | 500000000.0,covered_by_final_series,
