country,year,source_file,run_status,run_log_rows_extracted,docx_results_rows,docx_audit_in_series_rows,extracted_entities,missing_agencies_from_queue,year_issue_label,year_document_change_flag,country_document_change_signal,document_change_note,diagnosis_excerpt,recommended_action
Slovenia,1995,1995 u1995040.pdf,ok,5,5,0,,Programme 0502 — Znanstveno raziskovalna dejavnost,extracted rows exist but are not making it into the final series,True,True,"Slovenia uses a conservative audited panel: unresolved gaps are mostly comparability issues, misfiled/legal-wrapper sources, or sub-lines that are not defendable annual institutional totals.","Early surviving 0502 rows are zero totals, OCR artefacts, or small sub-lines rather than a defendable full 0502 annual appropriation.",Keep the gap unless the original PDF shows an explicit full-year 0502 total that can be verified manually.
Slovenia,1996,1996 u1996005.pdf,ok,5,5,0,,Programme 0502 — Znanstveno raziskovalna dejavnost,extracted rows exist but are not making it into the final series,True,True,"Slovenia uses a conservative audited panel: unresolved gaps are mostly comparability issues, misfiled/legal-wrapper sources, or sub-lines that are not defendable annual institutional totals.","Early surviving 0502 rows are zero totals, OCR artefacts, or small sub-lines rather than a defendable full 0502 annual appropriation.",Keep the gap unless the original PDF shows an explicit full-year 0502 total that can be verified manually.
Slovenia,1997,1997 u1997078.pdf,ok,16,16,2,Ciljni raziskovalni projekti za okolje | Ciljni raziskovalni projekti za prostor,Programme 0502 — Znanstveno raziskovalna dejavnost,extracted rows exist but are not making it into the final series,True,True,"Slovenia uses a conservative audited panel: unresolved gaps are mostly comparability issues, misfiled/legal-wrapper sources, or sub-lines that are not defendable annual institutional totals.","Early surviving 0502 rows are zero totals, OCR artefacts, or small sub-lines rather than a defendable full 0502 annual appropriation.",Keep the gap unless the original PDF shows an explicit full-year 0502 total that can be verified manually.
Slovenia,1998,1998 u1998034.pdf,ok,13,13,4,Ciljni raziskovalni projekti | Podpora raziskovalni infrastrukturi | Raziskovalni programi in projekti | Skupaj 0502 ZNANSTVENO RAZISKOVALNA DEJAVNOST,Programme 0502 — Znanstveno raziskovalna dejavnost,extracted rows exist but are not making it into the final series,True,True,"Slovenia uses a conservative audited panel: unresolved gaps are mostly comparability issues, misfiled/legal-wrapper sources, or sub-lines that are not defendable annual institutional totals.","Early surviving 0502 rows are zero totals, OCR artefacts, or small sub-lines rather than a defendable full 0502 annual appropriation.",Keep the gap unless the original PDF shows an explicit full-year 0502 total that can be verified manually.
Slovenia,1999,1999 u1998091.pdf,ok,25,25,6,5729 Ciljni raziskovalni projekti za vode | 6335 Ciljni raziskovalni projekti za prostor | 6517 Ciljni raziskovalni projekti za okolje | Ciljni raziskovalni projekti | Podpora raziskovalni infrastrukturi | Skupaj 0502 Znanstveno raziskovalna dejavnost,Programme 0502 — Znanstveno raziskovalna dejavnost,extracted rows exist but are not making it into the final series,True,True,"Slovenia uses a conservative audited panel: unresolved gaps are mostly comparability issues, misfiled/legal-wrapper sources, or sub-lines that are not defendable annual institutional totals.","Early surviving 0502 rows are zero totals, OCR artefacts, or small sub-lines rather than a defendable full 0502 annual appropriation.",Keep the gap unless the original PDF shows an explicit full-year 0502 total that can be verified manually.
Slovenia,2000,2000 u2000009.pdf,ok,28,28,0,,Programme 0502 — Znanstveno raziskovalna dejavnost,extracted rows exist but are not making it into the final series,True,True,"Slovenia uses a conservative audited panel: unresolved gaps are mostly comparability issues, misfiled/legal-wrapper sources, or sub-lines that are not defendable annual institutional totals.","Early surviving 0502 rows are zero totals, OCR artefacts, or small sub-lines rather than a defendable full 0502 annual appropriation.",Keep the gap unless the original PDF shows an explicit full-year 0502 total that can be verified manually.
Slovenia,2001,2001 u2001032.pdf,ok,22,22,0,,Programme 0503 — Mladi raziskovalci / Človeški viri v podporo znanosti,extracted rows exist but are not making it into the final series,True,True,"Slovenia uses a conservative audited panel: unresolved gaps are mostly comparability issues, misfiled/legal-wrapper sources, or sub-lines that are not defendable annual institutional totals.","The file yields generic 0503 support bundles, zero totals, SAZU support activity, or implausible package lines rather than a stable annual young-researchers appropriation.",Keep the gap unless a defendable annual 050302 / young-researchers line is manually verified from the original budget table.
Slovenia,2003,2003 u2002118.pdf,ok,54,54,0,,Programme 0503 — Mladi raziskovalci / Človeški viri v podporo znanosti,extracted rows exist but are not making it into the final series,True,True,"Slovenia uses a conservative audited panel: unresolved gaps are mostly comparability issues, misfiled/legal-wrapper sources, or sub-lines that are not defendable annual institutional totals.","The file yields generic 0503 support bundles, zero totals, SAZU support activity, or implausible package lines rather than a stable annual young-researchers appropriation.",Keep the gap unless a defendable annual 050302 / young-researchers line is manually verified from the original budget table.
Slovenia,2004,2004 2005 u2013102.pdf,ok,177,177,15,"020202 Človeški viri v podporo znanosti, visokega šolstva in tehnološkega razvoja | 0503 Človeški viri v podporo znanosti | 0503 Človeški viri v podporo znanosti / Mladi raziskovalci | 050301 Podporna dejavnost Slovenske akademije znanosti in umetnosti | 050304 Članske nagrade akademikom | Mladi raziskovalci | Mladi raziskovalci, mobilnost in spodbude najboljšim raziskovalcem | Mladi raziskovalci, mobilnost, spodbude | Človeški viri v podporo znanosti",Programme 0503 — Mladi raziskovalci / Človeški viri v podporo znanosti,unsupported format,True,True,"Slovenia uses a conservative audited panel: unresolved gaps are mostly comparability issues, misfiled/legal-wrapper sources, or sub-lines that are not defendable annual institutional totals.","This file is misfiled: it is a 2012 closing-account PDF published in 2013, not valid 2004/2005 budget evidence.",Do not use this source for 2004/2005. Keep the gap unless another original budget table is manually audited.
Slovenia,2004,2004 u2003130.pdf,ok,63,63,2,"Mladi raziskovalci | Mladi raziskovalci, mobilnost, spodbude",Programme 0503 — Mladi raziskovalci / Človeški viri v podporo znanosti,extracted rows exist but are not making it into the final series,True,True,"Slovenia uses a conservative audited panel: unresolved gaps are mostly comparability issues, misfiled/legal-wrapper sources, or sub-lines that are not defendable annual institutional totals.","The file yields generic 0503 support bundles, zero totals, SAZU support activity, or implausible package lines rather than a stable annual young-researchers appropriation.",Keep the gap unless a defendable annual 050302 / young-researchers line is manually verified from the original budget table.
