canonical_name,category,year,source_file,entity_raw,amount_current,section_name,table_index,row_index,in_series
6th Framework Program and International Research,innovation_instruments,2006,2006 2007 u2005116.pdf,6. okvirni program in mednarodne raziskave,3800000.0,"Ministry of Higher Education, Science and Technology",0,467,False
6th Framework Program and International Research,innovation_instruments,2006,2006 u2005116.pdf,6. okvirni program in mednarodne raziskave,47700.0,"Ministry of Higher Education, Science and Technology",0,570,False
6th Framework Program and International Research,innovation_instruments,2006,2006 u2005116.pdf,6. okvirni program in mednarodne raziskave,16712.0,"Ministry of Higher Education, Science and Technology",0,607,False
6th Framework Program and International Research,innovation_instruments,2007,2007 RS_-2005-116-05136-OB~P003-0000.pdf,6. okvirni program in mednarodne raziskave,1370000.0,"Ministry of Higher Education, Science and Technology",0,682,False
ARRS — Agencija za raziskovalno dejavnost Republike Slovenije,science_agency,2007,2007 RS_-2005-116-05136-OB~P002-0000.pdf,Sredstva za izvedbo ZSPJS - Javna agencija za raziskovalno dejavnost,7543.0,"Ministry of Higher Education, Science and Technology",0,655,True
ARRS — Agencija za raziskovalno dejavnost Republike Slovenije,science_agency,2007,2007 RS_-2005-116-05136-OB~P003-0000.pdf,Oprema za ARRS,85395.0,ARRS — Agencija za raziskovalno dejavnost Republike Slovenije,0,693,True
ARRS — Agencija za raziskovalno dejavnost Republike Slovenije,science_agency,2008,2008 2009.pdf,Oprema za ARRS,776104.0,ARRS — Agencija za raziskovalno dejavnost Republike Slovenije,0,969,True
ARRS — Agencija za raziskovalno dejavnost Republike Slovenije,science_agency,2008,2008 2009.pdf,Oprema za ARRS,776104.0,ARRS — Agencija za raziskovalno dejavnost Republike Slovenije,0,970,True
ARRS — Agencija za raziskovalno dejavnost Republike Slovenije,science_agency,2008,2008 u2007114.pdf,Oprema za ARRS,776104.0,ARRS — Agencija za raziskovalno dejavnost Republike Slovenije,0,974,True
ARRS — Agencija za raziskovalno dejavnost Republike Slovenije,science_agency,2008,2008 u2007114.pdf,Oprema za ARRS,776104.0,ARRS — Agencija za raziskovalno dejavnost Republike Slovenije,0,975,True
ARRS — Agencija za raziskovalno dejavnost Republike Slovenije,science_agency,2009,2009 RS_-2007-114-05699-OB~P003-0000.pdf,Oprema za ARRS,555287.0,ARRS — Agencija za raziskovalno dejavnost Republike Slovenije,0,1041,True
ARRS — Agencija za raziskovalno dejavnost Republike Slovenije,science_agency,2010,2010 u2009099.pdf,CRP za ARRS,5481069.0,"Ministry of Higher Education, Science and Technology",0,1102,True
ARRS — Agencija za raziskovalno dejavnost Republike Slovenije,science_agency,2011,2011 2012 u2010096.pdf,Delovanje ARRS,6461232.0,"Ministry of Higher Education, Science and Technology",0,1147,True
ARRS — Agencija za raziskovalno dejavnost Republike Slovenije,science_agency,2011,2011 u2010096.pdf,Delovanje ARRS,6461232.0,ARRS — Agencija za raziskovalno dejavnost Republike Slovenije,0,1203,True
ARRS — Agencija za raziskovalno dejavnost Republike Slovenije,science_agency,2011,2011 u2010096.pdf,Delovanje ARRS,6461232.0,ARRS — Agencija za raziskovalno dejavnost Republike Slovenije,0,1204,True
ARRS — Agencija za raziskovalno dejavnost Republike Slovenije,science_agency,2012,2012 RS_-2010-096-05013-OB~P003-0000.pdf,Delovanje ARRS,6461232.0,ARRS — Agencija za raziskovalno dejavnost Republike Slovenije,0,1216,True
ARRS — Agencija za raziskovalno dejavnost Republike Slovenije,science_agency,2013,2013 u2012104.pdf,Delovanje ARRS,2700000.0,ARRS — Agencija za raziskovalno dejavnost Republike Slovenije,0,1224,True
ARRS — Agencija za raziskovalno dejavnost Republike Slovenije,science_agency,2013,2013 u2012104.pdf,Oprema za ARRS,90600.0,ARRS — Agencija za raziskovalno dejavnost Republike Slovenije,0,1225,True
ARRS — Agencija za raziskovalno dejavnost Republike Slovenije,science_agency,2013,2013 u2012104.pdf,Delovanje ARRS,2700000.0,ARRS — Agencija za raziskovalno dejavnost Republike Slovenije,0,1227,True
ARRS — Agencija za raziskovalno dejavnost Republike Slovenije,science_agency,2013,2013 u2012104.pdf,Oprema za ARRS,90600.0,ARRS — Agencija za raziskovalno dejavnost Republike Slovenije,0,1228,True
ARRS — Agencija za raziskovalno dejavnost Republike Slovenije,science_agency,2015,2015 RS_-2013-102-03719-OB~P003-0000.pdf,Delovanje ARRS,2700000.0,ARRS — Agencija za raziskovalno dejavnost Republike Slovenije,0,1245,True
ARRS — Agencija za raziskovalno dejavnost Republike Slovenije,science_agency,2015,2015 RS_-2013-102-03719-OB~P003-0000.pdf,Oprema za ARRS,90600.0,ARRS — Agencija za raziskovalno dejavnost Republike Slovenije,0,1246,True
ARRS — Agencija za raziskovalno dejavnost Republike Slovenije,science_agency,2016,2016 u2015096.pdf,Delovanje ARRS,20509065.0,ARRS — Agencija za raziskovalno dejavnost Republike Slovenije,0,1255,True
ARRS — Agencija za raziskovalno dejavnost Republike Slovenije,science_agency,2016,2016 u2015096.pdf,Oprema za ARRS,708098.0,ARRS — Agencija za raziskovalno dejavnost Republike Slovenije,0,1256,True
ARRS — Agencija za raziskovalno dejavnost Republike Slovenije,science_agency,2017,2017 u2016080.pdf,Delovanje ARRS,2970469.0,ARRS — Agencija za raziskovalno dejavnost Republike Slovenije,0,1259,True
ARRS — Agencija za raziskovalno dejavnost Republike Slovenije,science_agency,2017,2017 u2016080.pdf,Delovanje ARRS,2970469.0,ARRS — Agencija za raziskovalno dejavnost Republike Slovenije,0,1260,True
ARRS — Agencija za raziskovalno dejavnost Republike Slovenije,science_agency,2018,2018 2019 u2017071.pdf,Delovanje ARRS,3648196.0,ARRS — Agencija za raziskovalno dejavnost Republike Slovenije,0,1277,True
ARRS — Agencija za raziskovalno dejavnost Republike Slovenije,science_agency,2018,2018 2019 u2017071.pdf,Delovanje ARRS,3648196.0,ARRS — Agencija za raziskovalno dejavnost Republike Slovenije,0,1278,True
ARRS — Agencija za raziskovalno dejavnost Republike Slovenije,science_agency,2018,2018 2019 u2017071.pdf,Investicije v opremo na ARRS,1140000.0,ARRS — Agencija za raziskovalno dejavnost Republike Slovenije,0,1279,True
ARRS — Agencija za raziskovalno dejavnost Republike Slovenije,science_agency,2018,2018 u2017071.pdf,Delovanje ARRS,3648196.0,ARRS — Agencija za raziskovalno dejavnost Republike Slovenije,0,1306,True
ARRS — Agencija za raziskovalno dejavnost Republike Slovenije,science_agency,2018,2018 u2017071.pdf,Delovanje ARRS,3648196.0,ARRS — Agencija za raziskovalno dejavnost Republike Slovenije,0,1307,True
ARRS — Agencija za raziskovalno dejavnost Republike Slovenije,science_agency,2019,2019 RS_-2017-071-03414-OB~P003-0000.pdf,Delovanje ARRS,28677598.0,ARRS — Agencija za raziskovalno dejavnost Republike Slovenije,0,1339,True
ARRS — Agencija za raziskovalno dejavnost Republike Slovenije,science_agency,2019,2019 RS_-2017-071-03414-OB~P003-0000.pdf,Delovanje ARRS,3648196.0,ARRS — Agencija za raziskovalno dejavnost Republike Slovenije,0,1340,True
ARRS — Agencija za raziskovalno dejavnost Republike Slovenije,science_agency,2020,2020 u2019075.pdf,Delovanje ARRS,3910054.0,ARRS — Agencija za raziskovalno dejavnost Republike Slovenije,0,1345,True
ARRS — Agencija za raziskovalno dejavnost Republike Slovenije,science_agency,2020,2020 u2019075.pdf,JAVNA AGENCIJA ZA RAZISKOVALNO DEJAVNOST RS,300003.0,ARRS — Agencija za raziskovalno dejavnost Republike Slovenije,0,1346,True
ARRS — Agencija za raziskovalno dejavnost Republike Slovenije,science_agency,2020,2020 u2019075.pdf,JAVNA AGENCIJA ZA RAZISKOVALNO DEJAVNOST RS,17622.0,ARRS — Agencija za raziskovalno dejavnost Republike Slovenije,0,1347,True
ARRS — Agencija za raziskovalno dejavnost Republike Slovenije,science_agency,2021,2021 u2020174.pdf,Delovanje ARRS,3915427.0,ARRS — Agencija za raziskovalno dejavnost Republike Slovenije,0,1370,True
ARRS — Agencija za raziskovalno dejavnost Republike Slovenije,science_agency,2022,2022 u2021187.pdf,Delovanje ARRS,4.5,ARRS — Agencija za raziskovalno dejavnost Republike Slovenije,0,1393,True
ARRS — Agencija za raziskovalno dejavnost Republike Slovenije,science_agency,2022,2022 u2021187.pdf,Delovanje ARRS,4.65,ARRS — Agencija za raziskovalno dejavnost Republike Slovenije,0,1394,True
ARRS — Agencija za raziskovalno dejavnost Republike Slovenije,science_agency,2022,2022 u2021187.pdf,Delovanje ARRS,4.85,ARRS — Agencija za raziskovalno dejavnost Republike Slovenije,0,1395,True
ARRS — Agencija za raziskovalno dejavnost Republike Slovenije,science_agency,2022,2022 u2021187.pdf,Delovanje ARRS,4.85,ARRS — Agencija za raziskovalno dejavnost Republike Slovenije,0,1396,True
