country,year,item_type,section_code,section_name,section_name_en,line_code,line_description,line_description_en,amount_local,unit,currency,rd_category,decision,confidence,source_file,page_number,llm_model,extraction_pass,notes,cleaning_notes,aggregation_role
Slovenia,1992,line_item,66,Ministrstvo za znanost in tehnologijo,Ministry of Science and Technology,,Nagrade na področju znanosti,Awards in the Field of Science,13308202.0,thousand,SIT,direct_rd,include,1.0,1992 u1992016.pdf,108,gpt-4o-mini,extract,,[slovenia_pre1995_scanned: likely image PDF — expect minimal OCR text] ,
Slovenia,1992,line_item,66,Ministrstvo za znanost in tehnologijo,Ministry of Science and Technology,,Sofinanciranje razvojno - raziskovalne infrastrukture,Co-financing of Development-Research Infrastructure,532328098.0,thousand,SIT,research_infrastructure,review,1.0,1992 u1992016.pdf,108,gpt-4o-mini,extract,,"[slovenia_pre1995_scanned: likely image PDF — expect minimal OCR text] [slovenia_implausible_sit_amount: >100B SIT thousands on single line, likely section total] ",
Slovenia,1992,line_item,66,Ministrstvo za znanost in tehnologijo,Ministry of Science and Technology,,Sofinanciranje raziskovalnih projektov,Co-financing of Research Projects,394317110.0,thousand,SIT,direct_rd,review,1.0,1992 u1992016.pdf,108,gpt-4o-mini,extract,,"[slovenia_pre1995_scanned: likely image PDF — expect minimal OCR text] [slovenia_implausible_sit_amount: >100B SIT thousands on single line, likely section total] ",
Slovenia,1992,line_item,66,Ministrstvo za znanost in tehnologijo,Ministry of Science and Technology,,Sofinanciranje tehnoloških centrov in parkov,Co-financing of Technological Centers and Parks,388895249.0,thousand,SIT,innovation_instruments,review,1.0,1992 u1992016.pdf,108,gpt-4o-mini,extract,,"[slovenia_pre1995_scanned: likely image PDF — expect minimal OCR text] [slovenia_implausible_sit_amount: >100B SIT thousands on single line, likely section total] ",
Slovenia,1992,line_item,66,Ministrstvo za znanost in tehnologijo,Ministry of Science and Technology,,Razvoj znanosti,Development of Science,26616405.0,thousand,SIT,direct_rd,include,1.0,1992 u1992016.pdf,108,gpt-4o-mini,extract,,[slovenia_pre1995_scanned: likely image PDF — expect minimal OCR text] ,
Slovenia,1992,line_item,66,Ministrstvo za znanost in tehnologijo,Ministry of Science and Technology,,Odkrivanje in raziskovanje surovin splošnega pomena,Discovery and Research of Raw Materials of General Importance,339605611.0,thousand,SIT,direct_rd,review,1.0,1992 u1992016.pdf,108,gpt-4o-mini,extract,,"[slovenia_pre1995_scanned: likely image PDF — expect minimal OCR text] [slovenia_implausible_sit_amount: >100B SIT thousands on single line, likely section total] ",
Slovenia,1992,program_total,66,Ministrstvo za znanost in tehnologijo,Ministry of Science and Technology,,Spodbujanje razvoja,Encouragement of Development,921223347.0,thousand,SIT,innovation_instruments,review,1.0,1992 u1992016.pdf,108,gpt-4o-mini,extract,,"[slovenia_pre1995_scanned: likely image PDF — expect minimal OCR text] [slovenia_implausible_sit_amount: >100B SIT thousands on single line, likely section total] ",
Slovenia,1992,program_total,66,Ministrstvo za znanost in tehnologijo,Ministry of Science and Technology,,Vlaganja v znanost in kadre,Investments in Science and Personnel,5319436389.0,thousand,SIT,direct_rd,review,1.0,1992 u1992016.pdf,108,gpt-4o-mini,extract,,"[slovenia_pre1995_scanned: likely image PDF — expect minimal OCR text] [slovenia_implausible_sit_amount: >100B SIT thousands on single line, likely section total] ",
Slovenia,1992,line_item,66,Ministrstvo za znanost in tehnologijo,Ministry of Science and Technology,,Pospeševanje znanstvene infrastrukture,Promotion of Scientific Infrastructure,184836145.0,thousand,SIT,research_infrastructure,review,1.0,1992 u1992016.pdf,108,gpt-4o-mini,extract,,"[slovenia_pre1995_scanned: likely image PDF — expect minimal OCR text] [slovenia_implausible_sit_amount: >100B SIT thousands on single line, likely section total] ",
Slovenia,1992,line_item,66,Ministrstvo za znanost in tehnologijo,Ministry of Science and Technology,,Znanstveno raziskovalni program,Scientific Research Program,1961727621.0,thousand,SIT,direct_rd,review,1.0,1992 u1992016.pdf,108,gpt-4o-mini,extract,,"[slovenia_pre1995_scanned: likely image PDF — expect minimal OCR text] [slovenia_implausible_sit_amount: >100B SIT thousands on single line, likely section total] ",
