country,year,canonical_name,category,amount_local,unit,currency,item_type,line_description_en,source_file,page_number,series_notes
Slovenia,2004,ARRS — Agencija za raziskovalno dejavnost Republike Slovenije,science_agency,,,,,,,,gap: no matching rows in this year
Slovenia,2005,ARRS — Agencija za raziskovalno dejavnost Republike Slovenije,science_agency,,,,,,,,gap: no matching rows in this year
Slovenia,2006,ARRS — Agencija za raziskovalno dejavnost Republike Slovenije,science_agency,,,,,,,,gap: no matching rows in this year
Slovenia,2007,ARRS — Agencija za raziskovalno dejavnost Republike Slovenije,science_agency,,,,,,,,Slovenian Research Agency (2004+). Primary funder of research programmes/projects.; dropped after Slovenia source audit: ARRS series keeps only defendable operating appropriations (Delovanje ARRS/ARIS)
Slovenia,2008,ARRS — Agencija za raziskovalno dejavnost Republike Slovenije,science_agency,,,,,,,,gap: no matching rows in this year
Slovenia,2009,ARRS — Agencija za raziskovalno dejavnost Republike Slovenije,science_agency,,,,,,,,gap: no matching rows in this year
Slovenia,2010,ARRS — Agencija za raziskovalno dejavnost Republike Slovenije,science_agency,,,,,,,,Slovenian Research Agency (2004+). Primary funder of research programmes/projects.; dropped after Slovenia source audit: ARRS series keeps only defendable operating appropriations (Delovanje ARRS/ARIS)
Slovenia,2011,ARRS — Agencija za raziskovalno dejavnost Republike Slovenije,science_agency,3198652.0,unit,EUR,verified_override,Verified 2011 Plan amount for Delovanje ARRS from original 2011/2012 biennial budget table; prior series had taken the full two-year project value instead of the annual plan,2011 2012 u2010096.pdf,49.0,Slovenian Research Agency (2004+). Primary funder of research programmes/projects.; locked manual curation
Slovenia,2012,ARRS — Agencija za raziskovalno dejavnost Republike Slovenije,science_agency,3198652.0,unit,EUR,verified_override,Verified 2012 Plan amount for Delovanje ARRS from original 2012 budget table; prior series had taken the full two-year project value instead of the annual plan,2012 RS_-2010-096-05013-OB~P003-0000.pdf,10.0,Slovenian Research Agency (2004+). Primary funder of research programmes/projects.; locked manual curation
Slovenia,2013,ARRS — Agencija za raziskovalno dejavnost Republike Slovenije,science_agency,,,,,,,,Slovenian Research Agency (2004+). Primary funder of research programmes/projects.; dropped after Slovenia source audit: ARRS series keeps only defendable operating appropriations (Delovanje ARRS/ARIS)
Slovenia,2015,ARRS — Agencija za raziskovalno dejavnost Republike Slovenije,science_agency,2700000.0,unit,EUR,verified_override,Verified 2015 Plan amount for Delovanje ARRS from original 2015 budget table,2015 RS_-2013-102-03719-OB~P003-0000.pdf,13.0,Slovenian Research Agency (2004+). Primary funder of research programmes/projects.; dropped after Slovenia source audit: ARRS series keeps only defendable operating appropriations (Delovanje ARRS/ARIS); locked manual curation
Slovenia,2016,ARRS — Agencija za raziskovalno dejavnost Republike Slovenije,science_agency,2959267.0,unit,EUR,verified_override,Verified 2016 Plan amount for Delovanje ARRS from original 2016 project table; prior selection had taken the full project value instead of the annual plan,2016 u2015096.pdf,42.0,Slovenian Research Agency (2004+). Primary funder of research programmes/projects.; locked manual curation
Slovenia,2017,ARRS — Agencija za raziskovalno dejavnost Republike Slovenije,science_agency,2970469.0,unit,EUR,verified_override,Verified 2017 Plan amount for Delovanje ARRS from original 2017 budget table,2017 u2016080.pdf,45.0,Slovenian Research Agency (2004+). Primary funder of research programmes/projects.; locked manual curation
