country,canonical_name,year,amount_total,amount_primary,n_acts,acts,additive_flag,currency,unit,category
Slovenia,ARRS — Agencija za raziskovalno dejavnost Republike Slovenije,2004,300486000.0,300486000.0,1,2004 u2003130.pdf,single,SIT,unit,science_agency
Slovenia,ARRS — Agencija za raziskovalno dejavnost Republike Slovenije,2005,309349000.0,309349000.0,1,2004 u2003130.pdf,single,SIT,unit,science_agency
Slovenia,ARRS — Agencija za raziskovalno dejavnost Republike Slovenije,2006,644689000.0,644689000.0,1,2006 2007 u2005116.pdf,single,SIT,unit,science_agency
Slovenia,ARRS — Agencija za raziskovalno dejavnost Republike Slovenije,2007,2735000.0,2735000.0,1,2007 RS_-2005-116-05136-OB~P002-0000.pdf,single,EUR,unit,science_agency
Slovenia,ARRS — Agencija za raziskovalno dejavnost Republike Slovenije,2008,3232602.0,3232602.0,1,2008 2009.pdf,single,EUR,unit,science_agency
Slovenia,ARRS — Agencija za raziskovalno dejavnost Republike Slovenije,2009,3300902.0,3300902.0,1,2009 RS_-2007-114-05699-OB~P002-0000.pdf,single,EUR,unit,science_agency
Slovenia,ARRS — Agencija za raziskovalno dejavnost Republike Slovenije,2010,,,0,,gap,,,science_agency
Slovenia,ARRS — Agencija za raziskovalno dejavnost Republike Slovenije,2011,3198652.0,3198652.0,1,2011 2012 u2010096.pdf,single,EUR,unit,science_agency
Slovenia,ARRS — Agencija za raziskovalno dejavnost Republike Slovenije,2012,3198652.0,3198652.0,1,2012 RS_-2010-096-05013-OB~P003-0000.pdf,single,EUR,unit,science_agency
Slovenia,ARRS — Agencija za raziskovalno dejavnost Republike Slovenije,2013,2700000.0,2700000.0,1,2013 u2012104.pdf,single,EUR,unit,science_agency
Slovenia,ARRS — Agencija za raziskovalno dejavnost Republike Slovenije,2015,2700000.0,2700000.0,1,2015 RS_-2013-102-03719-OB~P003-0000.pdf,single,EUR,unit,science_agency
Slovenia,ARRS — Agencija za raziskovalno dejavnost Republike Slovenije,2016,2959267.0,2959267.0,1,2016 u2015096.pdf,single,EUR,unit,science_agency
Slovenia,ARRS — Agencija za raziskovalno dejavnost Republike Slovenije,2017,2970469.0,2970469.0,1,2017 u2016080.pdf,single,EUR,unit,science_agency
Slovenia,ARRS — Agencija za raziskovalno dejavnost Republike Slovenije,2018,3595469.0,3595469.0,1,2018 u2017071.pdf,single,EUR,unit,science_agency
Slovenia,ARRS — Agencija za raziskovalno dejavnost Republike Slovenije,2019,3648196.0,3648196.0,1,2018 u2017071.pdf,single,EUR,unit,science_agency
Slovenia,ARRS — Agencija za raziskovalno dejavnost Republike Slovenije,2020,3910054.0,3910054.0,1,2020 u2019075.pdf,single,EUR,unit,science_agency
Slovenia,ARRS — Agencija za raziskovalno dejavnost Republike Slovenije,2021,3915427.0,3915427.0,1,2021 u2020174.pdf,single,EUR,unit,science_agency
Slovenia,ARRS — Agencija za raziskovalno dejavnost Republike Slovenije,2022,4500000.0,4500000.0,1,2022 u2021187.pdf,single,EUR,unit,science_agency
Slovenia,ARRS — Agencija za raziskovalno dejavnost Republike Slovenije,2023,5629258.0,5629258.0,1,2023 u2022150.pdf,single,EUR,unit,science_agency
Slovenia,ARRS — Agencija za raziskovalno dejavnost Republike Slovenije,2024,6935000.0,6935000.0,1,2024 u2023123.pdf,single,EUR,unit,science_agency
Slovenia,ARRS — Agencija za raziskovalno dejavnost Republike Slovenije,2025,9430012.0,9430012.0,1,2025 u2024104.pdf,single,EUR,unit,science_agency
Slovenia,Development of Research and Innovation Capacities,2024,121043968.0,121043968.0,1,2024 u2023123.pdf,single,EUR,unit,innovation_instruments
Slovenia,Development of Research and Innovation Capacities,2025,53477326.0,53477326.0,1,2025 u2024104.pdf,single,EUR,unit,innovation_instruments
Slovenia,European Space Agency Programs,2023,5400000.0,5400000.0,1,2023 u2022150.pdf,single,EUR,unit,direct_rd
