country,year,canonical_name,category,gap_type,gap_subtype,diagnosis,raw_row_match,raw_row_amount,raw_row_file,action,series_amount,series_currency,prev_amount,next_amount
Slovenia,2004,ARRS — Agencija za raziskovalno dejavnost Republike Slovenije,science_agency,ok,,,,,,none,300486000.0,SIT,,309349000.0
Slovenia,2005,ARRS — Agencija za raziskovalno dejavnost Republike Slovenije,science_agency,ok,,,,,,none,309349000.0,SIT,300486000.0,644689000.0
Slovenia,2006,ARRS — Agencija za raziskovalno dejavnost Republike Slovenije,science_agency,ok,,,,,,none,644689000.0,SIT,309349000.0,2735000.0
Slovenia,2007,ARRS — Agencija za raziskovalno dejavnost Republike Slovenije,science_agency,ok,,,,,,none,2735000.0,EUR,644689000.0,3232602.0
Slovenia,2008,ARRS — Agencija za raziskovalno dejavnost Republike Slovenije,science_agency,ok,,,,,,none,3232602.0,EUR,2735000.0,3300902.0
Slovenia,2009,ARRS — Agencija za raziskovalno dejavnost Republike Slovenije,science_agency,ok,,,,,,none,3300902.0,EUR,3232602.0,3198652.0
Slovenia,2010,ARRS — Agencija za raziskovalno dejavnost Republike Slovenije,science_agency,missing,,"Year absent from raw_rows, but extracted results already contain a matching row for this agency-year (5,481,069 in 2010 u2009099.pdf). The gap is downstream of extraction.",no,,2010 u2009099.pdf,reclassify,,,3300902.0,3198652.0
Slovenia,2011,ARRS — Agencija za raziskovalno dejavnost Republike Slovenije,science_agency,ok,,,,,,none,3198652.0,EUR,3300902.0,3198652.0
Slovenia,2012,ARRS — Agencija za raziskovalno dejavnost Republike Slovenije,science_agency,ok,,,,,,none,3198652.0,EUR,3198652.0,2700000.0
Slovenia,2013,ARRS — Agencija za raziskovalno dejavnost Republike Slovenije,science_agency,ok,,,,,,none,2700000.0,EUR,3198652.0,2700000.0
Slovenia,2015,ARRS — Agencija za raziskovalno dejavnost Republike Slovenije,science_agency,ok,,,,,,none,2700000.0,EUR,2700000.0,2959267.0
Slovenia,2016,ARRS — Agencija za raziskovalno dejavnost Republike Slovenije,science_agency,ok,,,,,,none,2959267.0,EUR,2700000.0,2970469.0
Slovenia,2017,ARRS — Agencija za raziskovalno dejavnost Republike Slovenije,science_agency,ok,,,,,,none,2970469.0,EUR,2959267.0,3595469.0
Slovenia,2018,ARRS — Agencija za raziskovalno dejavnost Republike Slovenije,science_agency,ok,,,,,,none,3595469.0,EUR,2970469.0,3648196.0
Slovenia,2019,ARRS — Agencija za raziskovalno dejavnost Republike Slovenije,science_agency,ok,,,,,,none,3648196.0,EUR,3595469.0,3910054.0
Slovenia,2020,ARRS — Agencija za raziskovalno dejavnost Republike Slovenije,science_agency,ok,,,,,,none,3910054.0,EUR,3648196.0,3915427.0
Slovenia,2021,ARRS — Agencija za raziskovalno dejavnost Republike Slovenije,science_agency,ok,,,,,,none,3915427.0,EUR,3910054.0,4500000.0
Slovenia,2022,ARRS — Agencija za raziskovalno dejavnost Republike Slovenije,science_agency,ok,,,,,,none,4500000.0,EUR,3915427.0,5629258.0
Slovenia,2023,ARRS — Agencija za raziskovalno dejavnost Republike Slovenije,science_agency,ok,,,,,,none,5629258.0,EUR,4500000.0,6935000.0
Slovenia,2024,ARRS — Agencija za raziskovalno dejavnost Republike Slovenije,science_agency,ok,,,,,,none,6935000.0,EUR,5629258.0,9430012.0
Slovenia,2025,ARRS — Agencija za raziskovalno dejavnost Republike Slovenije,science_agency,ok,,,,,,none,9430012.0,EUR,6935000.0,
Slovenia,1995,Programme 0502 — Znanstveno raziskovalna dejavnost,direct_rd,missing,,"Year absent from raw_rows, but slovenia_docx_results.csv already has extracted rows for this year. The missing agency likely reflects coverage/matching limits in the extracted results rather than an unparsed document.",no,,1995 u1995040.pdf,reextract,,,,24274766000.0
Slovenia,1996,Programme 0502 — Znanstveno raziskovalna dejavnost,direct_rd,missing,,"Year absent from raw_rows, but slovenia_docx_results.csv already has extracted rows for this year. The missing agency likely reflects coverage/matching limits in the extracted results rather than an unparsed document.",no,,1996 u1996005.pdf,reextract,,,,24274766000.0
