country,year,source_file,file_path,missing_agencies
Slovenia,1995,1995 u1995040.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Slovenia/1995 u1995040.pdf,Programme 0502 — Znanstveno raziskovalna dejavnost
Slovenia,1996,1996 u1996005.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Slovenia/1996 u1996005.pdf,Programme 0502 — Znanstveno raziskovalna dejavnost
Slovenia,2000,2000 u2000009.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Slovenia/2000 u2000009.pdf,Programme 0502 — Znanstveno raziskovalna dejavnost
Slovenia,1997,1997 u1997078.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Slovenia/1997 u1997078.pdf,Programme 0503 — Mladi raziskovalci / Človeški viri v podporo znanosti
Slovenia,1998,1998 u1998034.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Slovenia/1998 u1998034.pdf,Programme 0503 — Mladi raziskovalci / Človeški viri v podporo znanosti
Slovenia,2003,2003 u2002118.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Slovenia/2003 u2002118.pdf,Programme 0503 — Mladi raziskovalci / Človeški viri v podporo znanosti
Slovenia,2009,2009 RS_-2007-114-05699-OB~P001-0000.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Slovenia/2009 RS_-2007-114-05699-OB~P001-0000.pdf,Programme 0503 — Mladi raziskovalci / Človeški viri v podporo znanosti
Slovenia,2009,2009 RS_-2007-114-05699-OB~P002-0000.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Slovenia/2009 RS_-2007-114-05699-OB~P002-0000.pdf,Programme 0503 — Mladi raziskovalci / Človeški viri v podporo znanosti
Slovenia,2009,2009 RS_-2007-114-05699-OB~P003-0000.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Slovenia/2009 RS_-2007-114-05699-OB~P003-0000.pdf,Programme 0503 — Mladi raziskovalci / Človeški viri v podporo znanosti
Slovenia,2010,2010 u2009099.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Slovenia/2010 u2009099.pdf,Programme 0503 — Mladi raziskovalci / Človeški viri v podporo znanosti
Slovenia,2012,2012 RS_-2010-096-05013-OB~P001-0000.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Slovenia/2012 RS_-2010-096-05013-OB~P001-0000.pdf,Programme 0503 — Mladi raziskovalci / Človeški viri v podporo znanosti
Slovenia,2012,2012 RS_-2010-096-05013-OB~P002-0000.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Slovenia/2012 RS_-2010-096-05013-OB~P002-0000.pdf,Programme 0503 — Mladi raziskovalci / Človeški viri v podporo znanosti
Slovenia,2012,2012 RS_-2010-096-05013-OB~P003-0000.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Slovenia/2012 RS_-2010-096-05013-OB~P003-0000.pdf,Programme 0503 — Mladi raziskovalci / Človeški viri v podporo znanosti
Slovenia,2013,2013 u2012104.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Slovenia/2013 u2012104.pdf,Programme 0503 — Mladi raziskovalci / Človeški viri v podporo znanosti
Slovenia,2015,2015 RS_-2013-102-03719-OB~P001-0000.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Slovenia/2015 RS_-2013-102-03719-OB~P001-0000.pdf,Programme 0503 — Mladi raziskovalci / Človeški viri v podporo znanosti
Slovenia,2015,2015 RS_-2013-102-03719-OB~P002-0000.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Slovenia/2015 RS_-2013-102-03719-OB~P002-0000.pdf,Programme 0503 — Mladi raziskovalci / Človeški viri v podporo znanosti
Slovenia,2015,2015 RS_-2013-102-03719-OB~P003-0000.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Slovenia/2015 RS_-2013-102-03719-OB~P003-0000.pdf,Programme 0503 — Mladi raziskovalci / Človeški viri v podporo znanosti
Slovenia,2025,2025 u2024104.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Slovenia/2025 u2024104.pdf,Programme 0503 — Mladi raziskovalci / Človeški viri v podporo znanosti
