source_file,pdf_path,full_text_cache,selected_rows,selected_canonicals,selected_pages,selected_line_descriptions,selected_amounts,traceability_status,source_audit_note
1991 u1991014.pdf,Data/input/finance_bills/Slovenia/1991 u1991014.pdf,,0,,,,,not_used_in_final_series,
1992 u1992016.pdf,Data/input/finance_bills/Slovenia/1992 u1992016.pdf,,1,SAZU — Slovenska akademija znanosti in umetnosti,123.0,Verified 1992 SAZU institution total from original 1992 budget table (explicit institution total on source page),77763150.0,covered_by_final_series,
1993 u1993022.pdf,Data/input/finance_bills/Slovenia/1993 u1993022.pdf,,1,SAZU — Slovenska akademija znanosti in umetnosti,104.0,"Verified 1993 SAZU institution total from original scanned 1993 budget page; source page explicitly reports 'Skupaj organ # 39' for SAZU as 180.586.876,00 in full SIT units",180586876.0,covered_by_final_series,
1994 u1994026.pdf,Data/input/finance_bills/Slovenia/1994 u1994026.pdf,,1,SAZU — Slovenska akademija znanosti in umetnosti,91.0,Verified 1994 SAZU institution total from original 1994 budget table (v tisoč tolarjih normalized to full SIT units),195214000.0,covered_by_final_series,
1995 u1995040.pdf,Data/input/finance_bills/Slovenia/1995 u1995040.pdf,,1,SAZU — Slovenska akademija znanosti in umetnosti,93.0,Verified 1995 SAZU institution total from original scanned 1995 budget page (447.163 in v tisoč tolarjih normalized to full SIT units),447163000.0,covered_by_final_series,
1996 u1996005.pdf,Data/input/finance_bills/Slovenia/1996 u1996005.pdf,,1,SAZU — Slovenska akademija znanosti in umetnosti,94.0,Verified 1996 SAZU institution total from original 1996 budget table (v tisoč tolarjih normalized to full SIT units); replaced a sub-line capture with the full institution total,492970000.0,covered_by_final_series,
1997 u1997078.pdf,Data/input/finance_bills/Slovenia/1997 u1997078.pdf,,1,SAZU — Slovenska akademija znanosti in umetnosti,108.0,Verified 1997 SAZU institution total from original 1997 budget table (v tisoč tolarjih normalized to full SIT units),459528000.0,covered_by_final_series,
1998 u1998034.pdf,Data/input/finance_bills/Slovenia/1998 u1998034.pdf,,1,SAZU — Slovenska akademija znanosti in umetnosti,116.0,Verified 1998 SAZU institution total from original 1998 budget table (v 000 tolarjih normalized to full SIT units); replaced a sub-line capture with the full institution total,625146000.0,covered_by_final_series,
1999 u1998091.pdf,Data/input/finance_bills/Slovenia/1999 u1998091.pdf,,1,SAZU — Slovenska akademija znanosti in umetnosti,319.0,Verified 1999 SAZU institution total from original 1999 budget table (v tisoč tolarjih normalized to full SIT units),663021000.0,covered_by_final_series,
2000 u2000009.pdf,Data/input/finance_bills/Slovenia/2000 u2000009.pdf,,1,SAZU — Slovenska akademija znanosti in umetnosti,27.0,Verified 2000 SAZU institution total from original 2000 budget table (v tisoč tolarjih normalized to full SIT units),687310000.0,covered_by_final_series,
2001 u2001032.pdf,Data/input/finance_bills/Slovenia/2001 u2001032.pdf,,2,Programme 0502 — Znanstveno raziskovalna dejavnost | SAZU — Slovenska akademija znanosti in umetnosti,100.0 | 18.0,Verified 2001 Programme 0502 total from original 2001 budget table (v tisoč tolarjih normalized to full SIT units) | Verified 2001 SAZU institution total from original 2001 budget table (v tisoč tolarjih normalized to full SIT units),24274766000.0 | 665229000.0,covered_by_final_series,
2002 u2001103.pdf,Data/input/finance_bills/Slovenia/2002 u2001103.pdf,,3,Programme 0502 — Znanstveno raziskovalna dejavnost | Programme 0503 — Mladi raziskovalci / Človeški viri v podporo znanosti | SAZU — Slovenska akademija znanosti in umetnosti,100.0 | 171.0 | 242.0,Verified 2002 Programme 0502 total from original 2002 budget table (v tisoč tolarjih normalized to full SIT units); replaced later-year carryover selection from the same file | Verified 2002 amount for Programi za mlade raziskovalce from original 2002 budget table (95.000 in v tisoč SIT) | Verified 2002 SAZU institution total from original 2002 budget table (v tisoč tolarjih normalized to full SIT units),26788695000.0 | 95000000.0 | 770612000.0,covered_by_final_series,
2003 u2002118.pdf,Data/input/finance_bills/Slovenia/2003 u2002118.pdf,,2,Programme 0502 — Znanstveno raziskovalna dejavnost | SAZU — Slovenska akademija znanosti in umetnosti,101.0 | 18.0,Verified 2003 Programme 0502 total from original 2003 budget table (v tisoč tolarjih normalized to full SIT units) | Verified 2003 SAZU institution total from original 2003 budget table (v tisoč tolarjih normalized to full SIT units),28821059000.0 | 767787000.0,covered_by_final_series,
2004 2005 u2013102.pdf,Data/input/finance_bills/Slovenia/2004 2005 u2013102.pdf,,0,,,,,source_audited_misfiled,"Manual source audit: file is mislabelled. Page 1 shows a 2012 closing-account / execution document, not the 2004/2005 national budget annex, so it must not drive annual series selection for those years."
2004 u2003130.pdf,Data/input/finance_bills/Slovenia/2004 u2003130.pdf,,5,ARRS — Agencija za raziskovalno dejavnost Republike Slovenije | ARRS — Agencija za raziskovalno dejavnost Republike Slovenije | Programme 0502 — Znanstveno raziskovalna dejavnost | Programme 0502 — Znanstveno raziskovalna dejavnost | SAZU — Slovenska akademija znanosti in umetnosti,102.0 | 354.0 | 102.0 | 354.0 | 17.0,Verified 2004 operating appropriation for Agencija za znanost from the original 2004 budget table (300.486 in v tisoč tolarjih normalized to full SIT units); used as the pre-ARRS science-agency operating bridge | Verified 2005 operating appropriation for Agencija za znanost from the original 2005 budget table (309.349 in v tisoč tolarjih normalized to full SIT units); used as the pre-ARRS science-agency operating bridge | Verified 2004 Programme 0502 total from original 2004 budget file (v tisoč tolarjih normalized to full SIT units) | Verified 2005 Programme 0502 total from original 2005 budget table (v tisoč tolarjih normalized to full SIT units) | Verified 2004 SAZU institution total from original 2004 budget table (859.147 in v tisoč tolarjih normalized to full SIT units),300486000.0 | 309349000.0 | 31399927000.0 | 32080394000.0 | 859147000.0,covered_by_final_series,
2005 RS_-2003-130-05511-OB~P001-0000.pdf,Data/input/finance_bills/Slovenia/2005 RS_-2003-130-05511-OB~P001-0000.pdf,,1,SAZU — Slovenska akademija znanosti in umetnosti,17.0,Verified 2005 SAZU institution total from original 2005 budget table (v tisoč tolarjih normalized to full SIT units),929948000.0,covered_by_final_series,
2005 RS_-2003-130-05511-OB~P002-0000.pdf,Data/input/finance_bills/Slovenia/2005 RS_-2003-130-05511-OB~P002-0000.pdf,,0,,,,,not_used_in_final_series,
2005.pdf,Data/input/finance_bills/Slovenia/2005.pdf,,0,,,,,not_used_in_final_series,
2006 2007 u2005116.pdf,Data/input/finance_bills/Slovenia/2006 2007 u2005116.pdf,,3,ARRS — Agencija za raziskovalno dejavnost Republike Slovenije | Programme 0502 — Znanstveno raziskovalna dejavnost | SAZU — Slovenska akademija znanosti in umetnosti,112.0 | 415.0 | 19.0,Verified 2006 operating appropriation for Delovanje Javne agencije za raziskovalno dejavnost from the original 2006/2007 biennial budget table (644.689 in v tisoč tolarjih normalized to full SIT units) | Verified 2006 Programme 0502 total from original 2006/2007 biennial budget table (v 000 SIT normalized to full SIT units) | Verified 2006 SAZU institution total from original 2006/2007 biennial budget table (941.790 in v tisoč tolarjih normalized to full SIT units),644689000.0 | 34480096000.0 | 941790000.0,covered_by_final_series,
2006 u2005116.pdf,Data/input/finance_bills/Slovenia/2006 u2005116.pdf,,0,,,,,not_used_in_final_series,
2007 RS_-2005-116-05136-OB~P001-0000.pdf,Data/input/finance_bills/Slovenia/2007 RS_-2005-116-05136-OB~P001-0000.pdf,,0,,,,,not_used_in_final_series,
