canonical_name,category,year,source_file,entity_raw,amount_current,section_name,table_index,row_index,in_series
AEI (Agencia Estatal de Investigación),science_agency,2021,BOE-A-2021-21653-consolidado para 2022.pdf,Agencia Estatal de Investigación,,State Research Agency,0,472,True
AEI (Agencia Estatal de Investigación),science_agency,2021,BOE-A-2021-21653-consolidado para 2022.pdf,Total budget for AEI,12117.58,STATE RESEARCH AGENCY,0,509,True
AEI (Agencia Estatal de Investigación),science_agency,2022,BOE-A-2022-22128-consolidado para 2023.pdf,Agencia Estatal de Investigación,0.0,State Research Agency,0,537,True
Agreement with University of Navarra for Research Center Creation,direct_rd,2018,BOE-A-2018-9268-consolidado para 2018.pdf,Convenio con la Universidad de Navarra para creación de Centro de investigación,2000.0,"Ministry of Economy, Industry and Competitiveness",0,366,True
Agricultural Research and Experimentation,direct_rd,1996,BOE-A-1996-29116-consolidado para 1997.pdf,Investigación y experimentación agraria,4870258.0,Education and Science,0,77,True
Agricultural Research and Experimentation,direct_rd,2006,BOE-A-2006-22865-consolidado para 2007.pdf,Investigación y experimentación agraria,71160.41,Education and Science,0,158,True
Agricultural Research and Experimentation,direct_rd,2010,BOE-A-2010-19703-consolidado para 2011.pdf,Investigación y experimentación agraria,81259.44,Education and Science,0,224,True
Agricultural Research and Experimentation,direct_rd,2011,2011 BOE-A-2010-19703-consolidado.pdf,Investigación y experimentación agraria.,81259.44,Agricultural Research and Experimentation,0,237,True
Agricultural Research and Experimentation,direct_rd,2012,BOE-A-2012-15651-consolidado para 2013.pdf,Investigación y experimentación agraria,69391.98,Agricultural Research and Experimentation,0,252,True
Agricultural Research and Experimentation,direct_rd,2013,BOE-A-2013-13616-consolidado para 2014.pdf,Investigación y experimentación agraria,78887.93,Agricultural Research and Experimentation,0,269,True
Agricultural Research and Experimentation,direct_rd,2015,BOE-A-2015-11644-consolidado para 2016.pdf,Investigación y experimentación agraria,,National Institute for Agricultural and Food Research and Technology,0,295,True
Agricultural Research and Experimentation,direct_rd,2020,BOE-A-2020-17339-consolidado para 2021.pdf,Investigación y experimentación agraria,58253.3,Agricultural Research and Experimentation,0,407,True
August Pi i Sunyer Biomedical Research Institute Infrastructure,direct_rd,2008,BOE-A-2008-20744-consolidado para 2009.pdf,Infraestructuras en I+D+i: Instituto de Investigaciones Biomédicas August Pi i Sunyer,3000.0,Education and Science,0,181,True
Barcelona Biomedical Research Park Infrastructure,direct_rd,2008,BOE-A-2008-20744-consolidado para 2009.pdf,Infraestructuras en I+D+i: Parc de Recerca Biomèdica de Barcelona,3000.0,Education and Science,0,183,True
Barcelona Institute of Science and Technology for Precision Medicine Hub Development,direct_rd,2022,BOE-A-2022-22128-consolidado para 2023.pdf,Barcelona Institute of Science and Technology para el desarrollo de un hub referente en medicina de precisión,3500.0,Ministry of Science and Innovation,0,594,True
Barcelona Scientific Park Infrastructure,direct_rd,2008,BOE-A-2008-20744-consolidado para 2009.pdf,Infraestructuras en I+D+i: Parque Científico de Barcelona (Universitat de Barcelona),3000.0,Education and Science,0,180,True
Biocat Infrastructure for Life Sciences Offices,direct_rd,2008,BOE-A-2008-20744-consolidado para 2009.pdf,Infraestructuras en I+D+i: Biocat para oficinas Ciencias de la Vida del Instituto Europeo Tecnología,2000.0,Education and Science,0,189,True
Biscay Marine Energy Platform Research Center,direct_rd,2018,BOE-A-2018-9268-consolidado para 2018.pdf,Al IDAE. Para centro de investigación Biscay Marine Energy Platform (BIMEP).,3000.0,"MINISTRY OF ENERGY, TOURISM AND DIGITAL AGENDA",0,361,True
CDTI (Centro para el Desarrollo Tecnológico e Industrial),innovation_instruments,2020,BOE-A-2020-17339-consolidado para 2021.pdf,"74910 Al CDTI para la financiación de proyectos de investigación, desarrollo e innovación, incluyendo la modernización tecnológica, del Plan Tecnológico Aeronáutico. Mecanismo de Recuperación y Resiliencia.",10000.0,Ministry of Science and Innovation,0,457,True
CERCA Institution for Scientific-Technological Infrastructure,direct_rd,2020,BOE-A-2020-17339-consolidado para 2021.pdf,A la Institució CERCA. Centres de Reserça de Catalunya para la infraestructura científico-tecnológica.,1000.0,Ministry of Science and Innovation,0,462,True
CERCA Institution. Research Centers of Catalonia for Scientific-Technological Infrastructure,higher_education,2022,BOE-A-2022-22128-consolidado para 2023.pdf,A la Institució CERCA. Centres de Recerca de Catalunya para la infraestructura científico-tecnológica.,1000000.0,Ministry of Science and Innovation,0,589,True
CIC Energigune Advanced Electrolyzer Testing Laboratory,direct_rd,2022,BOE-A-2022-22128-consolidado para 2023.pdf,Al CIC Energigune para el laboratorio testeo de electrolizadores avanzados.,400000.0,Ministry of Science and Innovation,0,583,True
CIDETEC Research Equipment for Electromobility and Energy Storage,direct_rd,2018,BOE-A-2018-9268-consolidado para 2018.pdf,"A CIDETEC, para equipamiento de investigación y testeo para electromovilidad y almacenamiento eléctrico",5500.0,"Ministry of Economy, Industry and Competitiveness",0,369,True
CIEMAT,science_agency,2009,BOE-A-2009-20765-consolidado para 2010.pdf,CIEMAT,2500.0,CIEMAT,0,218,False
CIEMAT,science_agency,2020,BOE-A-2020-17339-consolidado para 2021.pdf,CIEMAT,4878.85,CIEMAT,0,464,True
CIEMAT,science_agency,2020,BOE-A-2020-17339-consolidado para 2021.pdf,CIEMAT,50341.67,CIEMAT,0,465,True
CIEMAT,science_agency,2020,BOE-A-2020-17339-consolidado para 2021.pdf,CIEMAT,16629.97,CIEMAT,0,466,True
CIEMAT,science_agency,2020,BOE-A-2020-17339-consolidado para 2021.pdf,CIEMAT,58795.97,CIEMAT,0,467,True
CIEMAT,science_agency,2020,BOE-A-2020-17339-consolidado para 2021.pdf,CIEMAT,1411.39,CIEMAT,0,468,True
CIEMAT,science_agency,2020,BOE-A-2020-17339-consolidado para 2021.pdf,CIEMAT,128.0,CIEMAT,0,469,True
CIEMAT,science_agency,2021,BOE-A-2021-21653-consolidado para 2022.pdf,Budget for CIEMAT,875.35,"CENTER FOR ENERGY, ENVIRONMENTAL AND TECHNOLOGICAL RESEARCH",0,510,True
CIEMAT,science_agency,2023,2023 BOE-A-2022-22128.pdf,CIEMAT,3530.98,CIEMAT,0,664,True
CIEMAT,science_agency,2023,2023 BOE-A-2022-22128.pdf,CIEMAT,2500.0,CIEMAT,0,665,True
CIEMAT,science_agency,2023,2023 BOE-A-2022-22128.pdf,CIEMAT,6755.97,CIEMAT,0,666,True
CIEMAT,science_agency,2023,2023 BOE-A-2022-22128.pdf,CIEMAT,50980.92,CIEMAT,0,667,True
CSIC (Consejo Superior de Investigaciones Científicas),science_agency,1979,BOE-A-1979-para 1980.pdf,Consejo Superior de Investigaciones Científicas,6769786.0,Ministry of Universities and Research,0,4,False
CSIC (Consejo Superior de Investigaciones Científicas),science_agency,2018,BOE-A-2018-9268-consolidado para 2018.pdf,Al Consejo Superior de Investigaciones Científicas (CSIC) para actividades de la Unidad Mixta de Investigación con la Universidad de Las Palmas sobre Océano y Clima,250.0,"Ministry of Economy, Industry and Competitiveness",0,376,True
CSIC (Consejo Superior de Investigaciones Científicas),science_agency,2021,BOE-A-2021-21653-consolidado para 2022.pdf,Total budget for CSIC,504189.86,SUPERIOR COUNCIL OF SCIENTIFIC RESEARCH,0,508,True
CSIC (Consejo Superior de Investigaciones Científicas),science_agency,2022,BOE-A-2022-22128-consolidado para 2023.pdf,Nuevo Al CSIC para inversiones en el Instituto de Productos Naturales y Agrobiología.,250000.0,Ministry of Science and Innovation,0,585,True
CSIC (Consejo Superior de Investigaciones Científicas),science_agency,2023,2023 BOE-A-2022-22128.pdf,Al CSIC para inversiones en el Instituto de Productos Naturales y Agrobiología,250.0,Ministry of Science and Innovation,0,648,True
Canary Islands Volcanological Institute Infrastructure,direct_rd,2021,BOE-A-2021-21653-consolidado para 2022.pdf,Nuevo. Al Instituto Volcanológico de Canarias (INVOLCAN) para Infraestructuras de I+D+i.,1500.0,Ministry of Science and Innovation,0,530,True
Carlos III Health Institute,science_agency,2020,BOE-A-2020-17339-consolidado para 2021.pdf,Budget for the Carlos III Health Institute,403200.54,CARLOS III HEALTH INSTITUTE,0,419,False
Carlos III Health Institute,science_agency,2020,BOE-A-2020-17339-consolidado para 2021.pdf,Total for the Carlos III Health Institute,42061.75,CARLOS III HEALTH INSTITUTE,0,429,False
Carlos III Health Institute,science_agency,2020,BOE-A-2020-17339-consolidado para 2021.pdf,Total budget for the Carlos III Health Institute,82545.56,CARLOS III HEALTH INSTITUTE,0,436,False
Carlos III Health Institute,science_agency,2021,BOE-A-2021-21653-consolidado para 2022.pdf,Operating budget for the Carlos III Health Institute,41054860.0,CARLOS III HEALTH INSTITUTE,0,497,True
Carlos III Health Institute,science_agency,2023,2023 BOE-A-2022-22128.pdf,Budget for the Carlos III Health Institute,7010180.0,CARLOS III HEALTH INSTITUTE,0,612,False
Catalan Water Research Institute Infrastructure,direct_rd,2008,BOE-A-2008-20744-consolidado para 2009.pdf,Infraestructuras en I+D+i: Institut Català de Recerca de l’aigua (ICRA),2000.0,Education and Science,0,187,True
Catalonia Energy Research Institute Infrastructure,direct_rd,2008,BOE-A-2008-20744-consolidado para 2009.pdf,Infraestructuras en I+D+i: Institut de Recerca Energètica de Catalunya.,2000.0,Education and Science,0,188,True
Centralization of Scientific-Technological Infrastructure,innovation_instruments,2020,BOE-A-2020-17339-consolidado para 2021.pdf,"Nuevo. Centralización infraestructura científico-tecnológica en los servicios generales de investigación, SGIker UPV.",2600.0,Ministry of Science and Innovation,0,460,True
Dinópolis Foundation for Paleontological Research,science_agency,2022,BOE-A-2022-22128-consolidado para 2023.pdf,"A la Fundación Conjunto Paleontológico de Teruel-Dinópolis, para la Unidad de Paleontología de Teruel.",300000.0,Ministry of Science and Innovation,0,586,True
"Energy, Environmental and Technological Research",direct_rd,2009,BOE-A-2009-20765-consolidado para 2010.pdf,"Investigación energética, medioambiental y tecnológica.",91726.57,"Energy, Environmental and Technological Research",0,208,True
"Energy, Environmental and Technological Research",direct_rd,2011,2011 BOE-A-2010-19703-consolidado.pdf,"Investigación energética, medioambiental y tecnológica.",86723.95,"Energy, Environmental and Technological Research",0,241,True
"Energy, Environmental and Technological Research",direct_rd,2020,BOE-A-2020-17339-consolidado para 2021.pdf,"Budget for the Center for Energy, Environmental and Technological Research",128886.98,"CENTER FOR ENERGY, ENVIRONMENTAL AND TECHNOLOGICAL RESEARCH",0,416,True
"Energy, Environmental and Technological Research",direct_rd,2020,BOE-A-2020-17339-consolidado para 2021.pdf,"Total for the Center for Energy, Environmental and Technological Research",58795.97,"CENTER FOR ENERGY, ENVIRONMENTAL AND TECHNOLOGICAL RESEARCH",0,427,True
"Energy, Environmental and Technological Research",direct_rd,2020,BOE-A-2020-17339-consolidado para 2021.pdf,"Total budget for the Center for Energy, Environmental and Technological Research",1411.39,"CENTER FOR ENERGY, ENVIRONMENTAL AND TECHNOLOGICAL RESEARCH",0,432,True
"Energy, Environmental and Technological Research",direct_rd,2021,BOE-A-2021-21653-consolidado para 2022.pdf,"Investigación energética, medioambiental y tecnológica.",113260.47,General Directorate and Services of Science and Innovation,0,488,True
