country,year,source_file,page_number,item_type,section_code,section_name,section_name_en,line_code,line_description,line_description_en,amount_local,amount_prior,unit,currency,rd_category,decision,confidence,llm_model,extraction_pass,notes
Spain,1979,pdf_5c53425c4de5__BOE-A-1979-para_1980.txt,0,section_total,,C. A. M. P. S. A...................................................................................................................................................,C. A. M. P. S. A...................................................................................................................................................,,C. A. M. P. S. A...................................................................................................................................................,C. A. M. P. S. A...................................................................................................................................................,1300000.0,,euro,EUR,unclear,review,0.5,docx_parser,docx_table,"Parsed from table 0, row 0"
Spain,1979,pdf_5c53425c4de5__BOE-A-1979-para_1980.txt,0,section_total,,CORRIENTES......................................................,CORRIENTES......................................................,,CORRIENTES......................................................,CORRIENTES......................................................,449139.0,,euro,EUR,unclear,review,0.5,docx_parser,docx_table,"Parsed from table 0, row 0"
Spain,1979,pdf_5c53425c4de5__BOE-A-1979-para_1980.txt,0,section_total,,DE CAPITAT......................................,DE CAPITAT......................................,,DE CAPITAT......................................,DE CAPITAT......................................,535239.0,,euro,EUR,unclear,review,0.5,docx_parser,docx_table,"Parsed from table 0, row 0"
Spain,1979,pdf_5c53425c4de5__BOE-A-1979-para_1980.txt,0,section_total,,DESIGNACION DE LOS INGRESOS,DESIGNACION DE LOS INGRESOS,,DESIGNACION DE LOS INGRESOS,DESIGNACION DE LOS INGRESOS,180000.0,,euro,EUR,unclear,review,0.5,docx_parser,docx_table,"Parsed from table 0, row 0"
Spain,1979,pdf_5c53425c4de5__BOE-A-1979-para_1980.txt,0,section_total,,DESIGNACION DE LOS KEOUBSOa,DESIGNACION DE LOS KEOUBSOa,,DESIGNACION DE LOS KEOUBSOa,DESIGNACION DE LOS KEOUBSOa,1972263.0,,euro,EUR,unclear,review,0.5,docx_parser,docx_table,"Parsed from table 0, row 0"
Spain,1979,pdf_5c53425c4de5__BOE-A-1979-para_1980.txt,0,section_total,,DESIGNACION1 DE LOS DECURSOS,DESIGNACION1 DE LOS DECURSOS,,DESIGNACION1 DE LOS DECURSOS,DESIGNACION1 DE LOS DECURSOS,372486.0,,euro,EUR,unclear,review,0.5,docx_parser,docx_table,"Parsed from table 0, row 0"
Spain,1979,pdf_5c53425c4de5__BOE-A-1979-para_1980.txt,0,section_total,,"DON JUAN CARLOS I, REY DE ESPAÑA","DON JUAN CARLOS I, REY DE ESPAÑA",,"DON JUAN CARLOS I, REY DE ESPAÑA","DON JUAN CARLOS I, REY DE ESPAÑA",1313664.0,,euro,EUR,unclear,review,0.5,docx_parser,docx_table,"Parsed from table 0, row 0"
Spain,1979,pdf_5c53425c4de5__BOE-A-1979-para_1980.txt,0,section_total,,EN CUENTAS DE,EN CUENTAS DE,,EN CUENTAS DE,EN CUENTAS DE,931674.0,,euro,EUR,unclear,review,0.5,docx_parser,docx_table,"Parsed from table 0, row 0"
Spain,1979,pdf_5c53425c4de5__BOE-A-1979-para_1980.txt,0,section_total,,EXPLICACION DE IOS RECUES03,EXPLICACION DE IOS RECUES03,,EXPLICACION DE IOS RECUES03,EXPLICACION DE IOS RECUES03,2424339.0,,euro,EUR,unclear,review,0.5,docx_parser,docx_table,"Parsed from table 0, row 0"
Spain,1979,pdf_5c53425c4de5__BOE-A-1979-para_1980.txt,0,section_total,,GASTOS POR OPERACIONES CORRIENTES.,GASTOS POR OPERACIONES CORRIENTES.,,GASTOS POR OPERACIONES CORRIENTES.,GASTOS POR OPERACIONES CORRIENTES.,454573.0,,euro,EUR,unclear,review,0.5,docx_parser,docx_table,"Parsed from table 0, row 0"
Spain,1979,pdf_5c53425c4de5__BOE-A-1979-para_1980.txt,0,section_total,,GASTOS POR OPERACIONES LE CAPITAL.,GASTOS POR OPERACIONES LE CAPITAL.,,GASTOS POR OPERACIONES LE CAPITAL.,GASTOS POR OPERACIONES LE CAPITAL.,1246591.0,,euro,EUR,unclear,review,0.5,docx_parser,docx_table,"Parsed from table 0, row 0"
Spain,1979,pdf_5c53425c4de5__BOE-A-1979-para_1980.txt,0,section_total,,II) OPERACIONES DE CAPITAL,II) OPERACIONES DE CAPITAL,,II) OPERACIONES DE CAPITAL,II) OPERACIONES DE CAPITAL,3844065.0,,euro,EUR,unclear,review,0.5,docx_parser,docx_table,"Parsed from table 0, row 0"
Spain,1979,pdf_5c53425c4de5__BOE-A-1979-para_1980.txt,0,section_total,,IV) ALMACENES,IV) ALMACENES,,IV) ALMACENES,IV) ALMACENES,1968696.0,,euro,EUR,unclear,review,0.5,docx_parser,docx_table,"Parsed from table 0, row 0"
Spain,1979,pdf_5c53425c4de5__BOE-A-1979-para_1980.txt,0,section_total,,OEGAUISJI03,OEGAUISJI03,,OEGAUISJI03,OEGAUISJI03,1142264.0000000002,,euro,EUR,unclear,review,0.5,docx_parser,docx_table,"Parsed from table 0, row 0"
Spain,1979,pdf_5c53425c4de5__BOE-A-1979-para_1980.txt,0,section_total,,ORGANISMOS,ORGANISMOS,,ORGANISMOS,ORGANISMOS,16124483.000000002,,euro,EUR,unclear,review,0.5,docx_parser,docx_table,"Parsed from table 0, row 0"
Spain,1979,pdf_5c53425c4de5__BOE-A-1979-para_1980.txt,0,section_total,,OTROS INGRESOS PATRIMONIALES...................................................................................................,OTROS INGRESOS PATRIMONIALES...................................................................................................,,OTROS INGRESOS PATRIMONIALES...................................................................................................,OTROS INGRESOS PATRIMONIALES...................................................................................................,25000.0,,euro,EUR,unclear,review,0.5,docx_parser,docx_table,"Parsed from table 0, row 0"
Spain,1979,pdf_5c53425c4de5__BOE-A-1979-para_1980.txt,0,section_total,,PRESIDENCIA DEL GOBIERNO,PRESIDENCIA DEL GOBIERNO,,PRESIDENCIA DEL GOBIERNO,PRESIDENCIA DEL GOBIERNO,30421400.0,,euro,EUR,unclear,review,0.6,docx_parser,docx_table,"Parsed from table 0, row 0"
Spain,1979,pdf_5c53425c4de5__BOE-A-1979-para_1980.txt,0,section_total,,PRESTACION DE SERVICIOS..................................................................... ...............................................,PRESTACION DE SERVICIOS..................................................................... ...............................................,,PRESTACION DE SERVICIOS..................................................................... ...............................................,PRESTACION DE SERVICIOS..................................................................... ...............................................,950000.0,,euro,EUR,unclear,review,0.5,docx_parser,docx_table,"Parsed from table 0, row 0"
