country,year,canonical_name,category,amount_local,unit,currency,item_type,line_description_en,source_file,page_number,series_notes
Spain,2018,AEI (Agencia Estatal de Investigación),science_agency,640104990.0,euro,EUR,program_total,Total,BOE-A-2018-9268-consolidado para 2018.pdf,413,"Created 2017, replaced DGI/DGICYT as main research grant body."
Spain,2020,AEI (Agencia Estatal de Investigación),science_agency,29804940.0,euro,EUR,program_total,Total budget for the State Research Agency,BOE-A-2020-17339-consolidado para 2021.pdf,445-472,"Created 2017, replaced DGI/DGICYT as main research grant body."
Spain,2021,AEI (Agencia Estatal de Investigación),science_agency,1358164020.0,euro,EUR,program_total,TOTAL,BOE-A-2021-21653-consolidado para 2022.pdf,427,"Created 2017, replaced DGI/DGICYT as main research grant body."
Spain,2022,AEI (Agencia Estatal de Investigación),science_agency,1419995610.0,euro,EUR,program_total,TOTAL,BOE-A-2022-22128-consolidado para 2023.pdf,539,"Created 2017, replaced DGI/DGICYT as main research grant body."
Spain,2023,AEI (Agencia Estatal de Investigación),science_agency,1419995610.0,euro,EUR,program_total,TOTAL,2023 BOE-A-2022-22128.pdf,582,"Created 2017, replaced DGI/DGICYT as main research grant body."
Spain,2020,CDTI (Centro para el Desarrollo Tecnológico e Industrial),innovation_instruments,10000000.0,euro,EUR,line_item,"To CDTI for financing research, development, and innovation projects, including technological modernization, of the Aeronautical Technological Plan. Recovery and Resilience Mechanism.",BOE-A-2020-17339-consolidado para 2021.pdf,692,Industrial R&D loans and grants. Keep only for explicitly observed recent Spain year until additional years are verified.
Spain,2020,CIEMAT,science_agency,58795970.0,euro,EUR,program_total,"Total for the Center for Energy, Environmental and Technological Research",BOE-A-2020-17339-consolidado para 2021.pdf,503-559,Energy and environment research. Keep only in recent explicit-organism years for Spain series; omit the isolated 2009 fragment from the final panel.
Spain,2021,CIEMAT,science_agency,59677910.0,euro,EUR,program_total,TOTAL,BOE-A-2021-21653-consolidado para 2022.pdf,523,Energy and environment research. Keep only in recent explicit-organism years for Spain series; omit the isolated 2009 fragment from the final panel.
Spain,2022,CIEMAT,science_agency,144707990.0,euro,EUR,verified_override,Verified against original Spain budget file,2023 BOE-A-2022-22128.pdf,640.0,gap: no matching rows in this year; manual override from original Spain budget file
Spain,2023,CIEMAT,science_agency,59677910.0,euro,EUR,line_item,Total,2023 BOE-A-2022-22128.pdf,639,Energy and environment research. Keep only in recent explicit-organism years for Spain series; omit the isolated 2009 fragment from the final panel.
Spain,2018,CSIC (Consejo Superior de Investigaciones Científicas),science_agency,630561860.0,euro,EUR,program_total,Total,BOE-A-2018-9268-consolidado para 2018.pdf,413,Core Spanish public research organism. Always present in budget.
Spain,2020,CSIC (Consejo Superior de Investigaciones Científicas),science_agency,377255430.0,euro,EUR,program_total,Total budget for the Superior Council of Scientific Research,BOE-A-2020-17339-consolidado para 2021.pdf,445-472,Core Spanish public research organism. Always present in budget.
