country,canonical_name,year,amount_total,amount_primary,n_acts,acts,additive_flag,currency,unit,category
Spain,AEI (Agencia Estatal de Investigación),2017,,,0,,gap,,,science_agency
Spain,AEI (Agencia Estatal de Investigación),2018,,,0,,gap,,,science_agency
Spain,AEI (Agencia Estatal de Investigación),2020,,,0,,gap,,,science_agency
Spain,AEI (Agencia Estatal de Investigación),2021,,,0,,gap,,,science_agency
Spain,AEI (Agencia Estatal de Investigación),2022,30016012.7,30016012.7,1,pdf_b3b136e3553c__2023_BOE-A-2022-22128.txt,single,EUR,euro,science_agency
Spain,CDTI (Centro para el Desarrollo Tecnológico e Industrial),1979,,,0,,gap,,,innovation_instruments
Spain,CDTI (Centro para el Desarrollo Tecnológico e Industrial),1980,,,0,,gap,,,innovation_instruments
Spain,CDTI (Centro para el Desarrollo Tecnológico e Industrial),1981,,,0,,gap,,,innovation_instruments
Spain,CDTI (Centro para el Desarrollo Tecnológico e Industrial),1983,,,0,,gap,,,innovation_instruments
Spain,CDTI (Centro para el Desarrollo Tecnológico e Industrial),1984,,,0,,gap,,,innovation_instruments
Spain,CDTI (Centro para el Desarrollo Tecnológico e Industrial),1985,,,0,,gap,,,innovation_instruments
Spain,CDTI (Centro para el Desarrollo Tecnológico e Industrial),1986,,,0,,gap,,,innovation_instruments
Spain,CDTI (Centro para el Desarrollo Tecnológico e Industrial),1987,,,0,,gap,,,innovation_instruments
Spain,CDTI (Centro para el Desarrollo Tecnológico e Industrial),1988,,,0,,gap,,,innovation_instruments
Spain,CDTI (Centro para el Desarrollo Tecnológico e Industrial),1990,,,0,,gap,,,innovation_instruments
Spain,CDTI (Centro para el Desarrollo Tecnológico e Industrial),1991,,,0,,gap,,,innovation_instruments
Spain,CDTI (Centro para el Desarrollo Tecnológico e Industrial),1992,,,0,,gap,,,innovation_instruments
Spain,CDTI (Centro para el Desarrollo Tecnológico e Industrial),1993,,,0,,gap,,,innovation_instruments
Spain,CDTI (Centro para el Desarrollo Tecnológico e Industrial),1994,,,0,,gap,,,innovation_instruments
Spain,CDTI (Centro para el Desarrollo Tecnológico e Industrial),1996,,,0,,gap,,,innovation_instruments
Spain,CDTI (Centro para el Desarrollo Tecnológico e Industrial),1997,,,0,,gap,,,innovation_instruments
Spain,CDTI (Centro para el Desarrollo Tecnológico e Industrial),1998,,,0,,gap,,,innovation_instruments
Spain,CDTI (Centro para el Desarrollo Tecnológico e Industrial),1999,,,0,,gap,,,innovation_instruments
Spain,CDTI (Centro para el Desarrollo Tecnológico e Industrial),2000,,,0,,gap,,,innovation_instruments
Spain,CDTI (Centro para el Desarrollo Tecnológico e Industrial),2001,,,0,,gap,,,innovation_instruments
Spain,CDTI (Centro para el Desarrollo Tecnológico e Industrial),2002,,,0,,gap,,,innovation_instruments
Spain,CDTI (Centro para el Desarrollo Tecnológico e Industrial),2003,,,0,,gap,,,innovation_instruments
Spain,CDTI (Centro para el Desarrollo Tecnológico e Industrial),2004,,,0,,gap,,,innovation_instruments
Spain,CDTI (Centro para el Desarrollo Tecnológico e Industrial),2005,,,0,,gap,,,innovation_instruments
Spain,CDTI (Centro para el Desarrollo Tecnológico e Industrial),2006,,,0,,gap,,,innovation_instruments
Spain,CDTI (Centro para el Desarrollo Tecnológico e Industrial),2007,,,0,,gap,,,innovation_instruments
Spain,CDTI (Centro para el Desarrollo Tecnológico e Industrial),2008,,,0,,gap,,,innovation_instruments
Spain,CDTI (Centro para el Desarrollo Tecnológico e Industrial),2009,,,0,,gap,,,innovation_instruments
Spain,CDTI (Centro para el Desarrollo Tecnológico e Industrial),2010,,,0,,gap,,,innovation_instruments
Spain,CDTI (Centro para el Desarrollo Tecnológico e Industrial),2012,,,0,,gap,,,innovation_instruments
Spain,CDTI (Centro para el Desarrollo Tecnológico e Industrial),2013,,,0,,gap,,,innovation_instruments
Spain,CDTI (Centro para el Desarrollo Tecnológico e Industrial),2014,,,0,,gap,,,innovation_instruments
Spain,CDTI (Centro para el Desarrollo Tecnológico e Industrial),2015,,,0,,gap,,,innovation_instruments
Spain,CDTI (Centro para el Desarrollo Tecnológico e Industrial),2017,,,0,,gap,,,innovation_instruments
Spain,CDTI (Centro para el Desarrollo Tecnológico e Industrial),2018,,,0,,gap,,,innovation_instruments
Spain,CDTI (Centro para el Desarrollo Tecnológico e Industrial),2020,,,0,,gap,,,innovation_instruments
Spain,CDTI (Centro para el Desarrollo Tecnológico e Industrial),2021,,,0,,gap,,,innovation_instruments
Spain,CDTI (Centro para el Desarrollo Tecnológico e Industrial),2022,,,0,,gap,,,innovation_instruments
Spain,CIEMAT,1986,,,0,,gap,,,science_agency
Spain,CIEMAT,1987,,,0,,gap,,,science_agency
Spain,CIEMAT,1988,,,0,,gap,,,science_agency
Spain,CIEMAT,1990,,,0,,gap,,,science_agency
Spain,CIEMAT,1991,,,0,,gap,,,science_agency
Spain,CIEMAT,1992,,,0,,gap,,,science_agency
Spain,CIEMAT,1993,,,0,,gap,,,science_agency
Spain,CIEMAT,1994,,,0,,gap,,,science_agency
Spain,CIEMAT,1996,,,0,,gap,,,science_agency
Spain,CIEMAT,1997,,,0,,gap,,,science_agency
Spain,CIEMAT,1998,,,0,,gap,,,science_agency
Spain,CIEMAT,1999,,,0,,gap,,,science_agency
Spain,CIEMAT,2000,,,0,,gap,,,science_agency
Spain,CIEMAT,2001,,,0,,gap,,,science_agency
Spain,CIEMAT,2002,,,0,,gap,,,science_agency
Spain,CIEMAT,2003,,,0,,gap,,,science_agency
Spain,CIEMAT,2004,,,0,,gap,,,science_agency
Spain,CIEMAT,2005,,,0,,gap,,,science_agency
Spain,CIEMAT,2006,,,0,,gap,,,science_agency
Spain,CIEMAT,2007,,,0,,gap,,,science_agency
Spain,CIEMAT,2008,,,0,,gap,,,science_agency
Spain,CIEMAT,2009,,,0,,gap,,,science_agency
Spain,CIEMAT,2010,,,0,,gap,,,science_agency
Spain,CIEMAT,2012,,,0,,gap,,,science_agency
Spain,CIEMAT,2013,,,0,,gap,,,science_agency
Spain,CIEMAT,2014,,,0,,gap,,,science_agency
Spain,CIEMAT,2015,,,0,,gap,,,science_agency
Spain,CIEMAT,2017,,,0,,gap,,,science_agency
Spain,CIEMAT,2018,,,0,,gap,,,science_agency
Spain,CIEMAT,2020,,,0,,gap,,,science_agency
Spain,CIEMAT,2021,,,0,,gap,,,science_agency
Spain,CIEMAT,2022,,,0,,gap,,,science_agency
Spain,CSIC (Consejo Superior de Investigaciones Científicas),1979,,,0,,gap,,,science_agency
Spain,CSIC (Consejo Superior de Investigaciones Científicas),1980,,,0,,gap,,,science_agency
Spain,CSIC (Consejo Superior de Investigaciones Científicas),1981,,,0,,gap,,,science_agency
Spain,CSIC (Consejo Superior de Investigaciones Científicas),1983,,,0,,gap,,,science_agency
Spain,CSIC (Consejo Superior de Investigaciones Científicas),1984,,,0,,gap,,,science_agency
Spain,CSIC (Consejo Superior de Investigaciones Científicas),1985,,,0,,gap,,,science_agency
Spain,CSIC (Consejo Superior de Investigaciones Científicas),1986,,,0,,gap,,,science_agency
Spain,CSIC (Consejo Superior de Investigaciones Científicas),1987,,,0,,gap,,,science_agency
Spain,CSIC (Consejo Superior de Investigaciones Científicas),1988,,,0,,gap,,,science_agency
Spain,CSIC (Consejo Superior de Investigaciones Científicas),1990,,,0,,gap,,,science_agency
Spain,CSIC (Consejo Superior de Investigaciones Científicas),1991,,,0,,gap,,,science_agency
Spain,CSIC (Consejo Superior de Investigaciones Científicas),1992,,,0,,gap,,,science_agency
Spain,CSIC (Consejo Superior de Investigaciones Científicas),1993,,,0,,gap,,,science_agency
Spain,CSIC (Consejo Superior de Investigaciones Científicas),1994,,,0,,gap,,,science_agency
Spain,CSIC (Consejo Superior de Investigaciones Científicas),1996,,,0,,gap,,,science_agency
Spain,CSIC (Consejo Superior de Investigaciones Científicas),1997,,,0,,gap,,,science_agency
