year,canonical_name,category,amount_local,unit,currency,item_type,source_file,page_number,pdf_path,full_text_cache,line_description_en,traceability_status,trace_method,trace_excerpt,series_notes
1987,"Scientific, Technical and Applied Research",direct_rd,128028383000000.0,thousand,ESP,program_total,BOE-A-1987-28404-consolidado para 1988.pdf,8,Data/input/finance_bills/Spain/BOE-A-1987-28404-consolidado para 1988.pdf,,"Scientific, Technical and Applied Research",covered_by_final_series,,,This entity is directly involved in scientific and technical research.
1988,"Scientific, Technical and Applied Research",direct_rd,183430879000000.0,thousand,ESP,section_total,BOE-A-1988-29563-consolidado para 1989.pdf,6,Data/input/finance_bills/Spain/BOE-A-1988-29563-consolidado para 1989.pdf,,"Scientific, Technical and Applied Research",covered_by_final_series,,,This entity is directly involved in scientific and technical research.
1989,"Scientific, Technical and Applied Research",direct_rd,183430879000000.0,thousand,ESP,section_total,1989 BOE-A-1988-29563-consolidado.pdf,6,Data/input/finance_bills/Spain/1989 BOE-A-1988-29563-consolidado.pdf,,"Scientific, Technical and Applied Research",covered_by_final_series,,,This entity is directly involved in scientific and technical research.
1990,"Scientific, Technical and Applied Research",direct_rd,208252972000000.0,thousand,ESP,section_total,BOE-A-1990-15347-consolidado para 1990.pdf,11,Data/input/finance_bills/Spain/BOE-A-1990-15347-consolidado para 1990.pdf,,"Total for Scientific, Technical and Applied Research",covered_by_final_series,,,This entity is directly involved in scientific and technical research.
1991,"Scientific, Technical and Applied Research",direct_rd,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1992,Research and Technological Development,direct_rd,44798916000000.0,thousand,ESP,line_item,BOE-A-1992-28826-consolidado para 1993.pdf,96,Data/input/finance_bills/Spain/BOE-A-1992-28826-consolidado para 1993.pdf,,Research and Technological Development,covered_by_final_series,,,This entity focuses on research and technological development.
1992,"Scientific, Technical and Applied Research",direct_rd,183738334000000.0,thousand,ESP,line_item,BOE-A-1992-28826-consolidado para 1993.pdf,11,Data/input/finance_bills/Spain/BOE-A-1992-28826-consolidado para 1993.pdf,,"Scientific, Technical and Applied Research",covered_by_final_series,,,This entity is directly involved in scientific and technical research.
1993,Health Research,direct_rd,11662384000000.0,thousand,ESP,line_item,BOE-A-1993-31087-consolidado para 1994.pdf,92,Data/input/finance_bills/Spain/BOE-A-1993-31087-consolidado para 1994.pdf,,Health research,covered_by_final_series,,,This entity is focused on health-related research.
1993,Research and Technological Development,direct_rd,47357565000000.0,thousand,ESP,line_item,BOE-A-1993-31087-consolidado para 1994.pdf,92,Data/input/finance_bills/Spain/BOE-A-1993-31087-consolidado para 1994.pdf,,Research and technological development,covered_by_final_series,,,This entity focuses on research and technological development.
1994,Health Research,direct_rd,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1994,Research and Technological Development,direct_rd,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1996,Agricultural Research and Experimentation,direct_rd,4870258000.0,thousand,ESP,line_item,BOE-A-1996-29116-consolidado para 1997.pdf,86,Data/input/finance_bills/Spain/BOE-A-1996-29116-consolidado para 1997.pdf,,Agricultural research and experimentation,covered_by_final_series,,,This program supports agricultural research and experimentation.
1996,Fishing Research and Experimentation,science_agency,3284433000.0,thousand,ESP,line_item,BOE-A-1996-29116-consolidado para 1997.pdf,86,Data/input/finance_bills/Spain/BOE-A-1996-29116-consolidado para 1997.pdf,,Fisheries research and experimentation,covered_by_final_series,,,This entity is dedicated to research in fishing practices.
1996,Health Research,direct_rd,12596147000.0,thousand,ESP,line_item,BOE-A-1996-29116-consolidado para 1997.pdf,86,Data/input/finance_bills/Spain/BOE-A-1996-29116-consolidado para 1997.pdf,,Health research,covered_by_final_series,,,This entity is focused on health-related research.
1996,Research and Technological Development,direct_rd,94538399000.0,thousand,ESP,line_item,BOE-A-1996-29116-consolidado para 1997.pdf,86,Data/input/finance_bills/Spain/BOE-A-1996-29116-consolidado para 1997.pdf,,Research and technological development,covered_by_final_series,,,This entity focuses on research and technological development.
1997,Agricultural Research and Experimentation,direct_rd,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1997,Health Research,direct_rd,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1997,Research and Technological Development,direct_rd,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1998,Agricultural Research and Experimentation,direct_rd,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1998,Health Research,direct_rd,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1998,Research and Technological Development,direct_rd,289808212000.0,thousand,ESP,line_item,BOE-A-1998-30154-consolidado para 1999.pdf,94,Data/input/finance_bills/Spain/BOE-A-1998-30154-consolidado para 1999.pdf,,Research and Technological Development,covered_by_final_series,,,This entity focuses on research and technological development.
1999,Agricultural Research and Experimentation,direct_rd,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1999,Health Research,direct_rd,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1999,Research and Technological Development,direct_rd,323807024000.0,thousand,ESP,line_item,BOE-A-1999-24785-consolidado para 2000.pdf,106,Data/input/finance_bills/Spain/BOE-A-1999-24785-consolidado para 2000.pdf,,Research and technological development,covered_by_final_series,,,This entity focuses on research and technological development.
2000,Agricultural Research and Experimentation,direct_rd,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
2000,Health Research,direct_rd,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
2000,Research and Technological Development,direct_rd,1815295780000.0,thousand,ESP,line_item,BOE-A-2000-24265-consolidado para 2001.pdf,109,Data/input/finance_bills/Spain/BOE-A-2000-24265-consolidado para 2001.pdf,,Research and Technological Development,covered_by_final_series,,,This entity focuses on research and technological development.
2001,Agricultural Research and Experimentation,direct_rd,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
2001,Health Research,direct_rd,120649500000.0,thousand,ESP,line_item,BOE-A-2001-24964-consolidado para 2002.pdf,108,Data/input/finance_bills/Spain/BOE-A-2001-24964-consolidado para 2002.pdf,,Health research,covered_by_final_series,,,This entity is focused on health-related research.
2001,Oceanographic and Fisheries Research,science_agency,35803640000.0,thousand,ESP,line_item,BOE-A-2001-24964-consolidado para 2002.pdf,108,Data/input/finance_bills/Spain/BOE-A-2001-24964-consolidado para 2002.pdf,,Oceanographic and fishing research,covered_by_final_series,,,This entity focuses on research in oceanography and fisheries.
2001,Research and Technological Development,direct_rd,2005607080000.0,thousand,ESP,line_item,BOE-A-2001-24964-consolidado para 2002.pdf,108,Data/input/finance_bills/Spain/BOE-A-2001-24964-consolidado para 2002.pdf,,Research and technological development,covered_by_final_series,,,This entity focuses on research and technological development.
2002,Agricultural Research and Experimentation,direct_rd,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
2002,Health Research,direct_rd,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
2002,Oceanographic and Fisheries Research,science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
2002,Plan Nacional I+D (total R&D appropriation),direct_rd,364676480.0,euro,EUR,program_total,BOE-A-2002-25411-consolidado para 2003.pdf,116,Data/input/finance_bills/Spain/BOE-A-2002-25411-consolidado para 2003.pdf,,Promotion and Coordination of Scientific and Technical Research,covered_by_final_series,,,National R&D plan aggregate. Use as fallback when agency-level not available.
2002,Research and Technological Development,direct_rd,2009409190.0,euro,EUR,program_total,BOE-A-2002-25411-consolidado para 2003.pdf,116,Data/input/finance_bills/Spain/BOE-A-2002-25411-consolidado para 2003.pdf,,Research and Technological Development,covered_by_final_series,,,This entity focuses on research and technological development.
2004,Agricultural Research and Experimentation,direct_rd,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
2004,Health Research,direct_rd,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
