source_file,pdf_path,full_text_cache,selected_rows,selected_canonicals,selected_pages,selected_line_descriptions,selected_amounts,traceability_status,source_audit_note
1982 R30268-30411.pdf,Data/input/finance_bills/Spain/1982 R30268-30411.pdf,,0,,,,,not_used_in_final_series,
1989 BOE-A-1988-29563-consolidado.pdf,Data/input/finance_bills/Spain/1989 BOE-A-1988-29563-consolidado.pdf,,1,"Scientific, Technical and Applied Research",6,"Scientific, Technical and Applied Research",183430879000000.0,covered_by_final_series,
2011 BOE-A-2010-19703-consolidado.pdf,Data/input/finance_bills/Spain/2011 BOE-A-2010-19703-consolidado.pdf,,7,"Agricultural Research and Experimentation | Energy, Environmental and Technological Research | Geological-Mining and Environmental Research | Oceanographic and Fisheries Research | Plan Nacional I+D (total R&D appropriation) | Research and Development of the Information Society | Technological Innovation in Telecommunications",203 | 203 | 203 | 203 | 202 | 203 | 203,"Agricultural Research and Experimentation. | Energy, Environmental and Technological Research. | Geological-Mineral and Environmental Research. | Oceanographic and Fisheries Research. | Verified against original Spain budget file | Information Society Research and Development. | Technological Innovation in Telecommunications.",81259440.0 | 86723950.0 | 26397950.0 | 60515000.0 | 2139768610.0 | 418673080.0 | 721672880.0,covered_by_final_series,
2016 BOE-A-2015-11644-consolidado.pdf,Data/input/finance_bills/Spain/2016 BOE-A-2015-11644-consolidado.pdf,,2,"Financial Support for Technology-Based Companies, Capitalization | Plan Nacional I+D (total R&D appropriation)",155 | 145,"Financial support for technology-based companies, capitalization | Promotion and coordination of scientific and technical research",240500000.0 | 463000000.0,covered_by_final_series,
2019 draft bill BOCG-12-A-38-3.pdf,Data/input/finance_bills/Spain/2019 draft bill BOCG-12-A-38-3.pdf,,0,,,,,not_used_in_final_series,
2023 BOE-A-2022-22128.pdf,Data/input/finance_bills/Spain/2023 BOE-A-2022-22128.pdf,,19,"AEI (Agencia Estatal de Investigación) | CIEMAT | CIEMAT | CSIC (Consejo Superior de Investigaciones Científicas) | Centre for Sociological Research | Energy, Environmental and Technological Research | Esteban Terradas National Institute of Aerospace Technology | Financial Support for SEMYS SA-SME | Financial Support for Technology-Based Companies. Participative Loans. | ISCIII (Instituto de Salud Carlos III) | ISCIII (Instituto de Salud Carlos III) | Investments in the Institute of Natural Products and Agrobiology | National Transplant Organization | New Research and Cooperation Program for Universities in the Canary Islands | Promotion of Research in Public Universities of the Canary Islands | Research and Development in the Energy Sector | Research and Development in the Health Sector | Research, Development, Innovation and Digitalization | Spanish Metrology Center",582 | 640 | 639 | 582 | 640 | 518 | 637 | 221 | 220 | 640 | 640 | 826 | 640 | 841 | 840 | 691 | 692 | 694 | 637,"TOTAL | Verified against original Spain budget file | Total | TOTAL | Verified against original Spain budget file | Budget for the Center for Energy, Environmental and Technological Research | Verified against original Spain budget file | Financial support for the State Society of Microelectronics and Semiconductors SA-SME (SEMYS SA-SME) for the PERTE Chip. | Financial support for technology-based companies. Participatory loans. | Verified against original Spain budget file | Total | Investments in the Institute of Natural Products and Agrobiology | Verified against original Spain budget file | New. Research and cooperation program for universities established in the Canary Islands. | Promotion of research in Public Universities of the Canary Islands | Research and development in the field of energy | Research and development in the field of health | Total for Research, Development, Innovation and Digitalization | Verified against original Spain budget file",1419995610.0 | 144707990.0 | 59677910.0 | 1213105230.0 | 12659110.0 | 6520800000.0 | 196019400.0 | 800000000.0 | 20500000.0 | 487532150.0 | 487532150.0 | 250000000.0 | 6706760.0 | 1000000.0 | 1000000.0 | 3514141750.0 | 260508940.0 | 17766985030.0 | 17482090.0,covered_by_final_series,
BOE-A-1979-para 1980.pdf,Data/input/finance_bills/Spain/BOE-A-1979-para 1980.pdf,,0,,,,,not_used_in_final_series,
BOE-A-1980-para 1981.pdf,Data/input/finance_bills/Spain/BOE-A-1980-para 1981.pdf,,0,,,,,not_used_in_final_series,
BOE-A-1981-para 1982.pdf,Data/input/finance_bills/Spain/BOE-A-1981-para 1982.pdf,,0,,,,,not_used_in_final_series,
BOE-A-1983-34167-consolidado para 1984.pdf,Data/input/finance_bills/Spain/BOE-A-1983-34167-consolidado para 1984.pdf,,0,,,,,not_used_in_final_series,
BOE-A-1984-28337-consolidado para 1985.pdf,Data/input/finance_bills/Spain/BOE-A-1984-28337-consolidado para 1985.pdf,,0,,,,,not_used_in_final_series,
