canonical_name,category,year,source_file,entity_raw,amount_current,section_name,table_index,row_index,in_series
1. Technical Research and Development,direct_rd,1994,1994 prop_199394__100.pdf,F 1. Teknisk forskning och utveckling,580320000.0,Ministry of Enterprise and Innovation,0,1032,True
1. Technical Research and Development,direct_rd,1994,1994 prop_199394__100.pdf,1. Teknisk forskning och utveckling,580320000.0,Industry,0,1064,True
1. Technical Research and Development,direct_rd,1995,1995 prop_199495__100.pdf,F 1. Teknisk forskning och utveckling,565472.0,Ministry of Enterprise and Innovation,0,1263,False
1. Technical Research and Development,direct_rd,1997,1997_extracted.docx,Anslag D 1. Teknisk forskning och utveckling,783.0,Technical research and development,0,1364,False
1. Technical Research and Development,direct_rd,1998,1998_extracted.docx,D 1. Teknisk forskning och utveckling,1297.9,Industry,0,1569,False
1. Technical Research and Development,direct_rd,1998,1998_extracted.docx,Anslag D 1. Teknisk forskning och utveckling,672953.0,Technical Research and Development,0,1574,False
10 Million SEK for the Technology and Natural Sciences Center Himmel och Hav,direct_rd,1998,1998_extracted.docx,10 miljoner kronor för teknik- och naturvetenskapscentrumet Himmel och Hav,10000000.0,Education and University Research,0,1476,True
1:14 Competition Research - Received/Proposed Authorization,direct_rd,2020,2020 budgetpropositionen-for-2020-hela-dokumentet-prop.-2019201.pdf,1:14 Konkurrensforskning - Erhållet/föreslaget bemyndigande,12000000.0,Business,0,3345,True
1:3 Energy Research,direct_rd,2024,2024 budgetpropositionen-for-2024-hela-dokumentet-prop.2023241.pdf,1:3 Energiforskning,1447723.0,Energy,0,4378,True
1:3 Energy Research,direct_rd,2025,2025 budgetpropositionen-for-2025-hela-dokumentet-prop.-2024251.pdf,1:3 Energiforskning,1647723.0,Expenditure Area 21 Energy,0,4648,True
1:3 Energy Research,direct_rd,2025,2025 budgetpropositionen-for-2025-hela-dokumentet-prop.-2024251.pdf,1:3 Energiforskning,4100000.0,Expenditure Area 21 Energy,0,4649,True
1:3 Strategic Competence Funds for Institutes,innovation_instruments,2017,2017 download.pdf,1:3 Institutens strategiska kompetensmedel,629962.0,Business,0,2335,True
1:3 Strategic Competence Funds for Institutes,innovation_instruments,2020,2020 budgetpropositionen-for-2020-hela-dokumentet-prop.-2019201.pdf,RISE totalt tilldelades 740 miljoner kronor i statsbidrag (anslaget 1:3 Institutens strategiska kompetensmedel),740000.0,Business,0,3333,True
1:3 Strategic Competence Funds for Institutes,innovation_instruments,2021,2021 hela-bp21-som-pdf.pdf,Anslag 1:3 Institutens strategiska kompetensmedel,747000.0,Industry,0,3609,True
1:3 Strategic Competence Funds for Institutes,innovation_instruments,2022,2022 budgetpropositionen-for-2022hela-dokumentet-prop.2021221.pdf,1:3 Institutens strategiska kompetensmedel,997268.0,Business,0,3901,True
