country,year,item_type,section_code,section_name,section_name_en,line_code,line_description,line_description_en,amount_local,unit,currency,rd_category,decision,confidence,source_file,page_number,llm_model,extraction_pass,notes,cleaning_notes,aggregation_role
Sweden,1975,line_item,,SMHI,SMHI,,Förslag,Förslag,37552.0,thousand,SEK,science_agency,include,1.0,1975 prop_1975__1.pdf,1393,gpt-4o-mini,targeted_recovery,Proposed amount for the fiscal year 1975/76.,,
Sweden,1975,line_item,,SMHI,SMHI,,Förvaltningskostnader,Förvaltningskostnader,34166.0,thousand,SEK,science_agency,include,1.0,1975 prop_1975__1.pdf,1393,gpt-4o-mini,targeted_recovery,Amount for the fiscal year 1974/75.,,
Sweden,1975,line_item,,SMHI,SMHI,,Indragning av bidraget,Indragning av bidraget,1659.0,thousand,SEK,science_agency,review,0.8,1975 prop_1975__1.pdf,1394,gpt-4o-mini,targeted_recovery,This amount represents a proposed reduction in funding.,,
Sweden,1975,line_item,,Naturvetenskapliga forskningsradet (NFR),Naturvetenskapliga forskningsradet (NFR),,Hydrolog,Hydrolog,61605.0,thousand,SEK,science_agency,include,1.0,1975 prop_1975__1.pdf,1395,gpt-4o-mini,targeted_recovery,Amount for hydrolog position.,,
Sweden,1975,line_item,,Naturvetenskapliga forskningsradet (NFR),Naturvetenskapliga forskningsradet (NFR),,Laboratory Assistants,Laboratory Assistants,89375.0,thousand,SEK,science_agency,include,1.0,1975 prop_1975__1.pdf,1395,gpt-4o-mini,targeted_recovery,Amount for two laboratory assistants.,,
Sweden,1975,line_item,,Naturvetenskapliga forskningsradet (NFR),Naturvetenskapliga forskningsradet (NFR),,Office Assistant,Office Assistant,44688.0,thousand,SEK,science_agency,include,1.0,1975 prop_1975__1.pdf,1395,gpt-4o-mini,targeted_recovery,Amount for office assistant.,,
Sweden,1975,line_item,,Naturvetenskapliga forskningsradet (NFR),Naturvetenskapliga forskningsradet (NFR),,Sampling Fees,Sampling Fees,41240.0,thousand,SEK,science_agency,include,1.0,1975 prop_1975__1.pdf,1395,gpt-4o-mini,targeted_recovery,Amount for sampling fees.,,
Sweden,1975,line_item,,Naturvetenskapliga forskningsradet (NFR),Naturvetenskapliga forskningsradet (NFR),,Travel Compensation,Travel Compensation,21000.0,thousand,SEK,science_agency,include,1.0,1975 prop_1975__1.pdf,1395,gpt-4o-mini,targeted_recovery,Amount for travel compensation.,,
Sweden,1975,line_item,,FOI / FOA (Totalforsvaret forskningsinstitut),FOI / FOA (Totalforsvaret forskningsinstitut),,Försvarets forskningsanstalts delfond,Försvarets forskningsanstalts delfond,7000.0,thousand,SEK,science_agency,include,1.0,1975 prop_1975__1.pdf,15,gpt-4o-mini,targeted_recovery,Amount clearly associated with the agency.,,
Sweden,1975,program_total,,FOI / FOA (Totalforsvaret forskningsinstitut),FOI / FOA (Totalforsvaret forskningsinstitut),,Total for Försvarets forskningsanstalts delfond,Total for Försvarets forskningsanstalts delfond,130354.0,thousand,SEK,science_agency,include,1.0,1975 prop_1975__1.pdf,15,gpt-4o-mini,targeted_recovery,Total amount consistent with the visible component lines.,,
