country,canonical_name,year,amount_total,amount_primary,n_acts,acts,additive_flag,currency,unit,category
Sweden,1. Technical Research and Development,1994,580320000000.0,580320000000.0,1,1994 prop_199394__100.pdf,single,SEK,krona,direct_rd
Sweden,10 Million SEK for the Technology and Natural Sciences Center Himmel och Hav,1998,10000000000.0,10000000000.0,1,1998_extracted.docx,single,SEK,krona,direct_rd
Sweden,1:14 Competition Research - Received/Proposed Authorization,2020,12000000000.0,12000000000.0,1,2020 budgetpropositionen-for-2020-hela-dokumentet-prop.-2019201.pdf,single,SEK,krona,direct_rd
Sweden,1:3 Energy Research,2024,1447723000.0,1447723000.0,1,2024 budgetpropositionen-for-2024-hela-dokumentet-prop.2023241.pdf,single,SEK,krona,direct_rd
Sweden,1:3 Energy Research,2025,1647723000.0,1647723000.0,1,2025 budgetpropositionen-for-2025-hela-dokumentet-prop.-2024251.pdf,single,SEK,krona,direct_rd
Sweden,1:3 Strategic Competence Funds for Institutes,2017,629962000.0,629962000.0,1,2017 download.pdf,single,SEK,krona,innovation_instruments
Sweden,1:3 Strategic Competence Funds for Institutes,2018,,,0,,gap,,,innovation_instruments
Sweden,1:3 Strategic Competence Funds for Institutes,2019,,,0,,gap,,,innovation_instruments
Sweden,1:3 Strategic Competence Funds for Institutes,2020,740000000.0,740000000.0,1,2020 budgetpropositionen-for-2020-hela-dokumentet-prop.-2019201.pdf,single,SEK,krona,innovation_instruments
Sweden,1:3 Strategic Competence Funds for Institutes,2021,747000000.0,747000000.0,1,2021 hela-bp21-som-pdf.pdf,single,SEK,krona,innovation_instruments
Sweden,1:3 Strategic Competence Funds for Institutes,2022,997268000.0,997268000.0,1,2022 budgetpropositionen-for-2022hela-dokumentet-prop.2021221.pdf,single,SEK,krona,innovation_instruments
Sweden,1:3 Strategic Competence Funds for Institutes,2023,834268000.0,834268000.0,1,2023 budgetpropositionen-for-2023-hela-dokumentet-prop.2022231-.pdf,single,SEK,krona,innovation_instruments
Sweden,1:3 Strategic Competence Funds for Institutes,2024,834268000.0,834268000.0,1,2024 budgetpropositionen-for-2024-hela-dokumentet-prop.2023241.pdf,single,SEK,krona,innovation_instruments
Sweden,1:4 Energy Research,2019,1478000.0,1478000.0,1,2019 budgetpropositionen-for-2019-hela-dokumentet-prop.-2018191.pdf,single,SEK,krona,direct_rd
Sweden,1:4 Energy Research,2020,,,0,,gap,,,direct_rd
Sweden,1:4 Energy Research,2021,3300000000.0,3300000000.0,1,2021 hela-bp21-som-pdf.pdf,single,SEK,krona,direct_rd
Sweden,1:9 Geoscientific Research,2017,5807000.0,5807000.0,1,2017 download.pdf,single,SEK,krona,direct_rd
Sweden,1:9 Geoscientific Research,2018,,,0,,gap,,,direct_rd
Sweden,1:9 Geoscientific Research,2019,,,0,,gap,,,direct_rd
Sweden,1:9 Geoscientific Research,2020,,,0,,gap,,,direct_rd
Sweden,1:9 Geoscientific Research,2021,,,0,,gap,,,direct_rd
Sweden,1:9 Geoscientific Research,2022,5923000.0,5923000.0,1,2022 budgetpropositionen-for-2022hela-dokumentet-prop.2021221.pdf,single,SEK,krona,direct_rd
Sweden,1:9 Geoscientific Research,2023,5923000.0,5923000.0,1,2023 budgetpropositionen-for-2023-hela-dokumentet-prop.2022231-.pdf,single,SEK,krona,direct_rd
Sweden,1:9 Geoscientific Research,2024,5923000.0,5923000.0,1,2024 budgetpropositionen-for-2024-hela-dokumentet-prop.2023241.pdf,single,SEK,krona,direct_rd
Sweden,2. Information Technology,1994,352920000000.0,352920000000.0,1,1994 prop_199394__100.pdf,single,SEK,krona,direct_rd
Sweden,"93,825 SEK for environmental research",2020,93825000.0,93825000.0,1,2020 budgetpropositionen-for-2020-hela-dokumentet-prop.-2019201.pdf,single,SEK,krona,direct_rd
Sweden,A More Entrepreneurial Sweden,2003,50000000.0,50000000.0,1,2003 prop_200203__1_d1.pdf,single,SEK,krona,innovation_instruments
Sweden,Additional Funds Requested for Research and Development Projects,1992,3974000000.0,3974000000.0,1,1992 prop_199192__100.pdf,single,SEK,krona,direct_rd
Sweden,Aeronautical Research Institute,1994,22296000000.0,22296000000.0,1,1994 prop_199394__100.pdf,single,SEK,krona,science_agency
Sweden,Allocated Funds for Research and Innovation Projects,2019,3200000.0,3200000.0,1,2019 budgetpropositionen-for-2019-hela-dokumentet-prop.-2018191.pdf,single,SEK,krona,innovation_instruments
Sweden,Allocated under appropriation 1:9 Swedish National Road and Transport Research Institute for 2023,2023,83179000.0,83179000.0,1,2023 budgetpropositionen-for-2023-hela-dokumentet-prop.2022231-.pdf,single,SEK,krona,direct_rd
Sweden,Allocated under appropriation 3:6 Institute of Space Physics for 2019,2019,56188000.0,56188000.0,1,2019 budgetpropositionen-for-2019-hela-dokumentet-prop.-2018191.pdf,single,SEK,krona,science_agency
Sweden,Allocation for Malmö University: Research and doctoral education,2018,236817000.0,236817000.0,1,2018 budgetpropositionen-for-2018-hela-dokumentet-prop.-2017181.pdf,single,SEK,krona,higher_education
Sweden,Allocation for Mid Sweden University: Research and doctoral education,2018,244069000.0,244069000.0,1,2018 budgetpropositionen-for-2018-hela-dokumentet-prop.-2017181.pdf,single,SEK,krona,higher_education
Sweden,Allocation for Research in the Environmental Field,1994,157096000000.0,157096000000.0,1,1994 prop_199394__100.pdf,single,SEK,krona,direct_rd
Sweden,Allocation for State Grants for Restoration of Damage Caused by Acidic Air Pollution,1994,198000000000.0,198000000000.0,1,1994 prop_199394__100.pdf,single,SEK,krona,direct_rd
Sweden,Almi Företagspartner AB - innovation loans,2017,89000000.0,89000000.0,1,2017 download.pdf,single,SEK,krona,innovation_instruments
