country,year,canonical_name,category,gap_type,gap_subtype,diagnosis,raw_row_match,raw_row_amount,raw_row_file,action,series_amount,series_currency,prev_amount,next_amount
Sweden,2001,Vetenskapsradet (VR),science_agency,missing,,"Year absent from raw_rows, but sweden_docx_results.csv already has extracted rows for this year. The missing agency likely reflects coverage/matching limits in the extracted results rather than an unparsed document.",no,,2001 download.pdf,reextract,,,,97254000.0
Sweden,2002,Vetenskapsradet (VR),science_agency,ok,,,,,,none,97254000.0,SEK,,25000000.0
Sweden,2003,Vetenskapsradet (VR),science_agency,missing,,"Year absent from raw_rows, but sweden_docx_results.csv already has extracted rows for this year. The missing agency likely reflects coverage/matching limits in the extracted results rather than an unparsed document.",no,,2003 prop_200203__1_d1.pdf,reextract,,,97254000.0,25000000.0
Sweden,2004,Vetenskapsradet (VR),science_agency,ok,,,,,,none,25000000.0,SEK,97254000.0,3000000000.0
Sweden,2005,Vetenskapsradet (VR),science_agency,missing,,"Year absent from raw_rows, but extracted results contain a matching text row for this agency-year in 2005 prop_200405__1_d1.pdf without a defendable numeric total.",no,,2005 prop_200405__1_d1.pdf,reextract,,,25000000.0,3000000000.0
Sweden,2007,Vetenskapsradet (VR),science_agency,missing,,"Year absent from raw_rows, but sweden_docx_results.csv already has extracted rows for this year. The missing agency likely reflects coverage/matching limits in the extracted results rather than an unparsed document.",no,,2007 prop_200607__1_d1.pdf,reextract,,,25000000.0,3000000000.0
Sweden,2009,Vetenskapsradet (VR),science_agency,missing,,"Year absent from raw_rows, but extracted results contain a matching text row for this agency-year in 2009 prop_200809__1_d1.pdf without a defendable numeric total.",no,,2009 prop_200809__1_d1.pdf,reextract,,,25000000.0,3000000000.0
Sweden,2010,Vetenskapsradet (VR),science_agency,ok,,,,,,none,3000000000.0,SEK,25000000.0,5000000000.0
Sweden,2011,Vetenskapsradet (VR),science_agency,ok,,,,,,none,5000000000.0,SEK,3000000000.0,3000000000.0
Sweden,2012,Vetenskapsradet (VR),science_agency,missing,,"Year absent from raw_rows, but extracted results contain a matching text row for this agency-year in 2012 prop_201112__1_d1.pdf without a defendable numeric total.",no,,2012 prop_201112__1_d1.pdf,reextract,,,5000000000.0,3000000000.0
Sweden,2013,Vetenskapsradet (VR),science_agency,ok,,,,,,none,3000000000.0,SEK,5000000000.0,1500000000.0
Sweden,2014,Vetenskapsradet (VR),science_agency,ok,,,,,,none,1500000000.0,SEK,3000000000.0,5766449000.0
Sweden,2015,Vetenskapsradet (VR),science_agency,missing,,"Year absent from raw_rows, but extracted results contain a matching text row for this agency-year in 2015 download.pdf without a defendable numeric total.",no,,2015 download.pdf,reextract,,,1500000000.0,5766449000.0
Sweden,2016,Vetenskapsradet (VR),science_agency,ok,,,,,,none,5766449000.0,SEK,1500000000.0,5844916000.0
Sweden,2017,Vetenskapsradet (VR),science_agency,ok,,,,,,none,5844916000.0,SEK,5766449000.0,600000000000.0
Sweden,2018,Vetenskapsradet (VR),science_agency,ok,,,,,,none,600000000000.0,SEK,5844916000.0,700000000000.0
Sweden,2019,Vetenskapsradet (VR),science_agency,ok,,,,,,none,700000000000.0,SEK,600000000000.0,700000000000.0
Sweden,2020,Vetenskapsradet (VR),science_agency,ok,,,,,,none,700000000000.0,SEK,700000000000.0,800000000000.0
Sweden,2021,Vetenskapsradet (VR),science_agency,ok,,,,,,none,800000000000.0,SEK,700000000000.0,7028846000.0
Sweden,2022,Vetenskapsradet (VR),science_agency,ok,,,,,,none,7028846000.0,SEK,800000000000.0,1004000000000.0
Sweden,2023,Vetenskapsradet (VR),science_agency,ok,,,,,,none,1004000000000.0,SEK,7028846000.0,25000000000.0
Sweden,2024,Vetenskapsradet (VR),science_agency,ok,,,,,,none,25000000000.0,SEK,1004000000000.0,1176000000000.0
Sweden,2025,Vetenskapsradet (VR),science_agency,ok,,,,,,none,1176000000000.0,SEK,25000000000.0,
