country,year,source_file,file_path,missing_agencies
Sweden,2001,2001 download.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Sweden/2001 download.pdf,Vetenskapsradet (VR)
Sweden,2003,2003 prop_200203__1_d1.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Sweden/2003 prop_200203__1_d1.pdf,Vetenskapsradet (VR)
Sweden,2005,2005 prop_200405__1_d1.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Sweden/2005 prop_200405__1_d1.pdf,Vetenskapsradet (VR)
Sweden,2007,2007 prop_200607__1_d1.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Sweden/2007 prop_200607__1_d1.pdf,Vetenskapsradet (VR)
Sweden,2009,2009 prop_200809__1_d1.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Sweden/2009 prop_200809__1_d1.pdf,Vetenskapsradet (VR)
Sweden,2012,2012 prop_201112__1_d1.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Sweden/2012 prop_201112__1_d1.pdf,Vetenskapsradet (VR)
Sweden,2015,2015 download.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Sweden/2015 download.pdf,Vetenskapsradet (VR)
Sweden,2011,2011 prop_201011__1_d1.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Sweden/2011 prop_201011__1_d1.pdf,Formas
Sweden,1994,1994 prop_199394__100.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Sweden/1994 prop_199394__100.pdf,Forte
Sweden,1995,1995 prop_199495__100.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Sweden/1995 prop_199495__100.pdf,Forte
Sweden,1997,1997_extracted.docx,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Sweden/1997_extracted.docx,Forte
Sweden,1998,1998 Budgetpropositionen för 1998 .pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Sweden/1998 Budgetpropositionen för 1998 .pdf,Forte
Sweden,1998,1998_extracted.docx,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Sweden/1998_extracted.docx,Forte
Sweden,1999,1999 download.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Sweden/1999 download.pdf,Forte
Sweden,2000,2000 download.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Sweden/2000 download.pdf,Forte
Sweden,2002,2002 download.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Sweden/2002 download.pdf,Forte
Sweden,2004,2004 prop_200304__1_d1.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Sweden/2004 prop_200304__1_d1.pdf,Forte
Sweden,2013,2013 prop_201213__1_d1.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Sweden/2013 prop_201213__1_d1.pdf,Forte
Sweden,2010,2010 prop_200910__1_d1.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Sweden/2010 prop_200910__1_d1.pdf,SSF (Stiftelsen for Strategisk Forskning)
