year,canonical_name,category,amount_local,unit,currency,item_type,source_file,page_number,pdf_path,full_text_cache,line_description_en,traceability_status,trace_method,trace_excerpt,series_notes
1975,Chalmers tekniska hogskola,higher_education,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1975,FOI / FOA (Totalforsvaret forskningsinstitut),science_agency,130354000.0,krona,SEK,program_total,1975 prop_1975__1.pdf,15,Data/input/finance_bills/Sweden/1975 prop_1975__1.pdf,,Total for Försvarets forskningsanstalts delfond,covered_by_final_series,,,FOA renamed FOI in 2001.
1975,Goteborgs Universitet,higher_education,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1975,Karolinska Institutet,higher_education,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1975,Kungliga Tekniska Hogskolan (KTH),higher_education,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1975,Linkoepings Universitet,higher_education,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1975,Lunds Universitet,higher_education,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1975,Medical Research Reserve Grant,direct_rd,64352000.0,krona,SEK,line_item,1975 prop_1975__1.pdf,2052,Data/input/finance_bills/Sweden/1975 prop_1975__1.pdf,,Medicinsk forskning reservationsanslag,covered_by_final_series,,,This grant is specifically for medical research.
1975,Medicinska forskningsradet (MFR),science_agency,64352000.0,krona,SEK,line_item,1975 prop_1975__1.pdf,2052,Data/input/finance_bills/Sweden/1975 prop_1975__1.pdf,,Medicinsk forskning reservationsanslag,covered_by_final_series,,,Merged into Vetenskapsradet 2001.
1975,Naturvetenskapliga forskningsradet (NFR),science_agency,89375000.0,krona,SEK,line_item,1975 prop_1975__1.pdf,1395,Data/input/finance_bills/Sweden/1975 prop_1975__1.pdf,,Laboratory Assistants,covered_by_final_series,,,Merged into Vetenskapsradet 2001.
1975,Rymdstyrelsen,science_agency,12606000.0,krona,SEK,line_item,1975 prop_1975__1.pdf,2063,Data/input/finance_bills/Sweden/1975 prop_1975__1.pdf,,Förslag,covered_by_final_series,,,
1975,SMHI,science_agency,37552000.0,krona,SEK,line_item,1975 prop_1975__1.pdf,1393,Data/input/finance_bills/Sweden/1975 prop_1975__1.pdf,,Förslag,covered_by_final_series,,,
1975,STU (Styrelsen for Teknisk Utveckling),science_agency,548136000.0,krona,SEK,program_total,1975 prop_1975__1.pdf,50,Data/input/finance_bills/Sweden/1975 prop_1975__1.pdf,,Total for Styrelsen för teknisk utveckling,covered_by_final_series,,,Pre-NUTEK innovation agency. Succeeded by NUTEK 1991.
1975,Stockholms Universitet,higher_education,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1975,Umea Universitet,higher_education,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1975,Universiteterna (collective Sweden),higher_education,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1975,Uppsala Universitet,higher_education,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1980,Chalmers tekniska hogskola,higher_education,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1980,Collection and Analysis of Airborne Radioactivity,direct_rd,730000000.0,krona,SEK,line_item,1980 prop_197980__100.pdf,1030,Data/input/finance_bills/Sweden/1980 prop_197980__100.pdf,,Insamling och analys av luftburen radioaktivitet,covered_by_final_series,,,"This program involves research on airborne radioactivity, which is relevant to R&D."
1980,FOI / FOA (Totalforsvaret forskningsinstitut),science_agency,6918000000.0,krona,SEK,line_item,1980 prop_197980__100.pdf,1031,Data/input/finance_bills/Sweden/1980 prop_197980__100.pdf,,FOA budget request,covered_by_final_series,,,FOA renamed FOI in 2001.
1980,Goteborgs Universitet,higher_education,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1980,Humanistisk-samhallsvetenskapliga forskningsradet (HSFR),science_agency,64622000000.0,krona,SEK,line_item,1980 prop_197980__100.pdf,2593,Data/input/finance_bills/Sweden/1980 prop_197980__100.pdf,,Requested budget for HSFR,covered_by_final_series,,,Merged into Vetenskapsradet 2001.
1980,Karolinska Institutet,higher_education,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1980,Kungliga Tekniska Hogskolan (KTH),higher_education,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1980,Linkoepings Universitet,higher_education,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1980,Lunds Universitet,higher_education,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1980,Medicinska forskningsradet (MFR),science_agency,110905000000.0,krona,SEK,line_item,1980 prop_197980__100.pdf,2595,Data/input/finance_bills/Sweden/1980 prop_197980__100.pdf,,Förslag 1980/81,covered_by_final_series,,,Merged into Vetenskapsradet 2001.
1980,Naturvetenskapliga forskningsradet (NFR),science_agency,210387000.0,krona,SEK,line_item,1980 prop_197980__100.pdf,2597,Data/input/finance_bills/Sweden/1980 prop_197980__100.pdf,,Naturvetenskaplig forskning,covered_by_final_series,,,Merged into Vetenskapsradet 2001.
1980,Rymdstyrelsen,science_agency,13229000.0,krona,SEK,line_item,1980 prop_197980__100.pdf,2597,Data/input/finance_bills/Sweden/1980 prop_197980__100.pdf,,Rymdforskning,covered_by_final_series,,,
1980,SMHI,science_agency,154060000.0,krona,SEK,program_total,1980 prop_197980__100.pdf,27,Data/input/finance_bills/Sweden/1980 prop_197980__100.pdf,,Total för SMHI,covered_by_final_series,,,
1980,STU (Styrelsen for Teknisk Utveckling),science_agency,300000000.0,krona,SEK,program_total,1980 prop_197980__100.pdf,49,Data/input/finance_bills/Sweden/1980 prop_197980__100.pdf,,Energiteknisk forskning och utveckling vid Studsvik Energiteknik AB,covered_by_final_series,,,Pre-NUTEK innovation agency. Succeeded by NUTEK 1991.
1980,Stockholms Universitet,higher_education,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1980,Umea Universitet,higher_education,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1980,Universiteterna (collective Sweden),higher_education,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1980,Uppsala Universitet,higher_education,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1981,Chalmers tekniska hogskola,higher_education,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1981,Collection and Analysis of Airborne Radioactivity,direct_rd,730000000.0,krona,SEK,line_item,1981 prop_197980__100.pdf,1030,Data/input/finance_bills/Sweden/1981 prop_197980__100.pdf,,Insamling och analys av luftburen radioaktivitet,covered_by_final_series,,,"This program involves research on airborne radioactivity, which is relevant to R&D."
1981,FOI / FOA (Totalforsvaret forskningsinstitut),science_agency,3602000000.0,krona,SEK,line_item,1981 prop_197980__100.pdf,1030,Data/input/finance_bills/Sweden/1981 prop_197980__100.pdf,,Scismologisk multipelstation,covered_by_final_series,,,FOA renamed FOI in 2001.
1981,Goteborgs Universitet,higher_education,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1981,Humanistisk-samhallsvetenskapliga forskningsradet (HSFR),science_agency,64622000000.0,krona,SEK,line_item,1981 prop_197980__100.pdf,2593,Data/input/finance_bills/Sweden/1981 prop_197980__100.pdf,,Requested budget for HSFR,covered_by_final_series,,,Merged into Vetenskapsradet 2001.
