country,year,item_type,section_code,section_name,section_name_en,line_code,line_description,line_description_en,amount_local,unit,currency,rd_category,decision,confidence,source_file,page_number,llm_model,extraction_pass,notes
Switzerland,1977,line_item,WBF,"Departement für Wirtschaft, Bildung und Forschung","Department of Economic Affairs, Education and Research",,"militärisches Forschungs-, Entwicklungs- und Versuchsprogramm","military research, development, and testing program",102300000.0,thousand,CHF,direct_rd,include,0.9,1977 10046917.pdf,2,gpt-4o-mini,extract,
Switzerland,1978,line_item,WBF,"Departement für Wirtschaft, Bildung und Forschung","Department of Economic Affairs, Education and Research",,"für Forschungs-, Entwicklungs- und Versuchsprogramme - des Militärdepartementes","for research, development, and testing programs - of the Department of Defense",192000000.0,thousand,CHF,direct_rd,review,0.8,1978 10047250.pdf,2,gpt-4o-mini,extract,"Includes military research programs, not typical R&D."
Switzerland,1978,line_item,WBF,"Departement für Wirtschaft, Bildung und Forschung","Department of Economic Affairs, Education and Research",,"für Forschungs-, Entwicklungs- und Versuchsprogramme - des Bundesamtes für Zivilschutz","for research, development, and testing programs - of the Federal Office for Civil Protection",3040000.0,thousand,CHF,direct_rd,review,0.8,1978 10047250.pdf,2,gpt-4o-mini,extract,"Includes civil protection research programs, not typical R&D."
Switzerland,1982,line_item,WBF,"Departement für Wirtschaft, Bildung und Forschung","Department of Economic Affairs, Education and Research",,"programmes de recherche, de développement et d'essais du Département militaire","research, development and testing programs of the military department",207850000.0,thousand,CHF,direct_rd,include,1.0,1982 10103271.pdf,2,gpt-4o-mini,extract,
Switzerland,1983,line_item,WBF,"Departement für Wirtschaft, Bildung und Forschung","Department of Economic Affairs, Education and Research",,"für Unterricht, Forschung, Entwicklungs- und Versuchs- programme","for education, research, development, and testing programs",177350000.0,thousand,CHF,direct_rd,include,1.0,1983 10048861.pdf,2,gpt-4o-mini,extract,
Switzerland,1984,line_item,WBF,"Departement für Wirtschaft, Bildung und Forschung","Department of Economic Affairs, Education and Research",,"Pour des programmes de recherche, de développement et d'essais","For research, development, and testing programs",339000000.0,thousand,CHF,direct_rd,include,1.0,1984 10103907.pdf,2,gpt-4o-mini,extract,
Switzerland,1985,line_item,WBF,"Departement für Wirtschaft, Bildung und Forschung","Department of Economic Affairs, Education and Research",,"für Forschungs-, Entwicklungs- und Versuchsprogramme","for research, development, and testing programs",92500000.0,thousand,CHF,direct_rd,include,1.0,1985 10049519.pdf,2,gpt-4o-mini,extract,
Switzerland,1986,line_item,WBF,"Departement für Wirtschaft, Bildung und Forschung","Department of Economic Affairs, Education and Research",,"für Forschungs-, Entwicklungs- und Versuchsprogramme","for research, development, and testing programs",287650000.0,thousand,CHF,direct_rd,include,1.0,1986 10049885.pdf,2,gpt-4o-mini,extract,
Switzerland,1987,line_item,WBF,"Departement für Wirtschaft, Bildung und Forschung","Department of Economic Affairs, Education and Research",,"für Forschlings-, Entwicklungs- und Versuchsprogramme","for research, development, and testing programs",237150000.0,thousand,CHF,direct_rd,include,1.0,1987 10050239.pdf,2,gpt-4o-mini,extract,
Switzerland,1988,line_item,WBF,"Departement für Wirtschaft, Bildung und Forschung","Department of Economic Affairs, Education and Research",,"für Forschungs-, Entwicklungs- und Versuchsprogramme.","for research, development, and testing programs.",263000000.0,thousand,CHF,direct_rd,include,1.0,1988 10050586.pdf,2,gpt-4o-mini,extract,
Switzerland,1989,line_item,DEPT,Bundesrat,Federal Council,,"für Forschungs-, Entwicklungs- und Versuchsprogramme","for research, development, and testing programs",165000000.0,thousand,CHF,direct_rd,include,1.0,1989 10050924.pdf,2,gpt-4o-mini,extract,
Switzerland,1990,section_total,WBF,"Departement für Wirtschaft, Bildung und Forschung","Department of Economic Affairs, Education and Research",,Forschung und Entwicklung,Research and Development,244100000.0,thousand,CHF,direct_rd,include,1.0,1990 10051280.pdf,2,gpt-4o-mini,extract,Total for research and development appropriations.
Switzerland,1991,line_item,WBF,"Departement für Wirtschaft, Bildung und Forschung","Department of Economic Affairs, Education and Research",,"für Forschungs-, Entwicklungs- und Versuchsprogramme","for research, development, and testing programs",168400000.0,thousand,CHF,direct_rd,include,1.0,1991 10051659.pdf,2,gpt-4o-mini,extract,
Switzerland,1994,line_item,WBF,"Departement für Wirtschaft, Bildung und Forschung","Department of Economic Affairs, Education and Research",,"für Forschungs-, Entwicklungs- und Versuchsprogramme","for research, development, and testing programs",62300000.0,thousand,CHF,direct_rd,include,1.0,1994 10052867.pdf,2,gpt-4o-mini,extract,
Switzerland,1995,line_item,WBF,"Departement für Wirtschaft, Bildung und Forschung","Department of Economic Affairs, Education and Research",,"für Forschungs-, Entwicklungs- und Versuchsprogramme","for research, development, and testing programs",111200000.0,thousand,CHF,direct_rd,include,1.0,1995 10053317.pdf,2,gpt-4o-mini,extract,
Switzerland,1996,line_item,,,,,"für Forschungs-, Entwicklungs- und Versuchsprogramme","for research, development, and testing programs",224650000.0,thousand,CHF,direct_rd,include,1.0,1996 10053723.pdf,2,gpt-4o-mini,extract,This line explicitly mentions research and development programs.
Switzerland,1996,line_item,,,,,"für. Forschungs-, Entwicklungs- und Versuchsprogramme","for research, development, and testing programs",,unit,CHF,unclear,review,0.4,1996 10053723.pdf,2,gpt-4o-mini,extract,This line is incomplete and lacks a specific amount. | no_amount
Switzerland,1997,line_item,Art. 3,Der Ausgabenbremse unterstellte Verpflichtungskredite,Commitment credits subject to expenditure brake,,"für Forschungs-, Entwicklungs- und Versuchsprogramme","for research, development, and testing programs",85300000.0,thousand,CHF,direct_rd,include,1.0,1997 10054128.pdf,2,gpt-4o-mini,extract,
Switzerland,1997,line_item,Art. 4,Nicht der Ausgabenbremse unterstellte Verpflichtungskredite,Commitment credits not subject to expenditure brake,,"für Forschungs-, Entwicklungs- und Versuchsprogramme","for research, development, and testing programs",,unit,CHF,unclear,review,0.4,1997 10054128.pdf,2,gpt-4o-mini,extract,Amount not specified | no_amount
