country,year,canonical_name,category,amount_local,unit,currency,item_type,line_description_en,source_file,page_number,series_notes
Switzerland,2013,Agroscope (federal agricultural research),science_agency,,,,,,,,gap: no matching rows in this year
Switzerland,2014,Agroscope (federal agricultural research),science_agency,,,,,,,,gap: no matching rows in this year
Switzerland,2015,Agroscope (federal agricultural research),science_agency,,,,,,,,gap: no matching rows in this year
Switzerland,2016,Agroscope (federal agricultural research),science_agency,,,,,,,,gap: no matching rows in this year
Switzerland,2017,Agroscope (federal agricultural research),science_agency,,,,,,,,gap: no matching rows in this year
Switzerland,2018,Agroscope (federal agricultural research),science_agency,,,,,,,,gap: no matching rows in this year
Switzerland,2019,Agroscope (federal agricultural research),science_agency,,,,,,,,gap: no matching rows in this year
Switzerland,2020,Agroscope (federal agricultural research),science_agency,,,,,,,,gap: no matching rows in this year
Switzerland,2021,Agroscope (federal agricultural research),science_agency,,,,,,,,gap: no matching rows in this year
Switzerland,2022,Agroscope (federal agricultural research),science_agency,,,,,,,,gap: no matching rows in this year
Switzerland,2023,Agroscope (federal agricultural research),science_agency,,,,,,,,gap: no matching rows in this year
Switzerland,2024,Agroscope (federal agricultural research),science_agency,,,,,,,,gap: no matching rows in this year
Switzerland,2025,Agroscope (federal agricultural research),science_agency,,,,,,,,gap: no matching rows in this year
Switzerland,1977,Basic contributions to universities,higher_education,,,,,,,,gap: no matching rows in this year
Switzerland,1978,Basic contributions to universities,higher_education,,,,,,,,gap: no matching rows in this year
Switzerland,1982,Basic contributions to universities,higher_education,,,,,,,,gap: no matching rows in this year
Switzerland,1983,Basic contributions to universities,higher_education,,,,,,,,gap: no matching rows in this year
Switzerland,1984,Basic contributions to universities,higher_education,,,,,,,,gap: no matching rows in this year
Switzerland,1985,Basic contributions to universities,higher_education,,,,,,,,gap: no matching rows in this year
Switzerland,1986,Basic contributions to universities,higher_education,,,,,,,,gap: no matching rows in this year
Switzerland,1987,Basic contributions to universities,higher_education,,,,,,,,gap: no matching rows in this year
Switzerland,1988,Basic contributions to universities,higher_education,,,,,,,,gap: no matching rows in this year
Switzerland,1989,Basic contributions to universities,higher_education,,,,,,,,gap: no matching rows in this year
Switzerland,1990,Basic contributions to universities,higher_education,,,,,,,,gap: no matching rows in this year
Switzerland,1991,Basic contributions to universities,higher_education,,,,,,,,gap: no matching rows in this year
Switzerland,1994,Basic contributions to universities,higher_education,,,,,,,,gap: no matching rows in this year
Switzerland,1995,Basic contributions to universities,higher_education,,,,,,,,gap: no matching rows in this year
Switzerland,1996,Basic contributions to universities,higher_education,,,,,,,,gap: no matching rows in this year
Switzerland,1997,Basic contributions to universities,higher_education,,,,,,,,gap: no matching rows in this year
Switzerland,1998,Basic contributions to universities,higher_education,,,,,,,,gap: no matching rows in this year
Switzerland,1999,Basic contributions to universities,higher_education,,,,,,,,gap: no matching rows in this year
Switzerland,2000,Basic contributions to universities,higher_education,,,,,,,,gap: no matching rows in this year
Switzerland,2001,Basic contributions to universities,higher_education,,,,,,,,gap: no matching rows in this year
Switzerland,2002,Basic contributions to universities,higher_education,,,,,,,,gap: no matching rows in this year
Switzerland,2003,Basic contributions to universities,higher_education,,,,,,,,gap: no matching rows in this year
Switzerland,2004,Basic contributions to universities,higher_education,,,,,,,,gap: no matching rows in this year
Switzerland,2005,Basic contributions to universities,higher_education,,,,,,,,gap: no matching rows in this year
Switzerland,2006,Basic contributions to universities,higher_education,,,,,,,,gap: no matching rows in this year
Switzerland,2007,Basic contributions to universities,higher_education,,,,,,,,gap: no matching rows in this year
Switzerland,2008,Basic contributions to universities,higher_education,,,,,,,,gap: no matching rows in this year
Switzerland,2009,Basic contributions to universities,higher_education,,,,,,,,gap: no matching rows in this year
Switzerland,2010,Basic contributions to universities,higher_education,,,,,,,,gap: no matching rows in this year
Switzerland,2011,Basic contributions to universities,higher_education,,,,,,,,gap: no matching rows in this year
Switzerland,2012,Basic contributions to universities,higher_education,,,,,,,,gap: no matching rows in this year
Switzerland,2013,Basic contributions to universities,higher_education,,,,,,,,gap: no matching rows in this year
Switzerland,2014,Basic contributions to universities,higher_education,,,,,,,,gap: no matching rows in this year
Switzerland,2015,Basic contributions to universities,higher_education,,,,,,,,gap: no matching rows in this year
Switzerland,2016,Basic contributions to universities,higher_education,,,,,,,,gap: no matching rows in this year
