country,year,canonical_name,gap_type,action,series_amount,prev_amount,next_amount,diagnosis,verdict,correct_amount_local,correct_unit,preferred_source_files,evidence_page,confidence,reason
Switzerland,2004,ESA contributions (Swiss),outlier,verify,44000000000.0,0.0,121230000000.0,"Amount 44,000,000,000 outside expected range [-137,159,250 – 182,879,000] (IQR × 3.0). Possible current/prior year confusion or unit error.",correct,44000.0,thousand,"[""2004 V04_Botschaft.pdf""]",41,0.9,"The document snippet indicates a contribution of 44 million CHF to ESA, which corresponds to 44,000 thousand, correcting the current total from 44 billion to 44 million."
Switzerland,2005,ESA contributions (Swiss),outlier,verify,121230000000.0,44000000000.0,198722000000.0,"Amount 121,230,000,000 outside expected range [-137,159,250 – 182,879,000] (IQR × 3.0). Possible current/prior year confusion or unit error.",keep,121230000000.0,thousand,"[""2005-VA3-d.pdf""]",38,1.0,The current annual total is supported by the source document row which confirms the amount as a valid contribution to ESA.
Switzerland,2006,ESA contributions (Swiss),outlier,verify,198722000000.0,121230000000.0,0.0,"Amount 198,722,000,000 outside expected range [-137,159,250 – 182,879,000] (IQR × 3.0). Possible current/prior year confusion or unit error.",correct,198722000000.0,thousand,"[""2006-VA3-d.pdf""]",36,0.9,"The total from the source document aligns with the current annual total, indicating it is correct despite the outlier classification."
Switzerland,2008,ESA contributions (Swiss),outlier,verify,155990400000.0,0.0,0.0,"Amount 155,990,400,000 outside expected range [-137,159,250 – 182,879,000] (IQR × 3.0). Possible current/prior year confusion or unit error.",correct,155990400.0,thousand,"[""2008-VA3-d.pdf""]",82,0.9,"The amount of 155,990,400,000 thousand appears to be a unit error; the correct amount should be 155,990,400 thousand based on the source document."
Switzerland,2010,ESA contributions (Swiss),outlier,verify,145354900000.0,0.0,150409700000.0,"Amount 145,354,900,000 outside expected range [-137,159,250 – 182,879,000] (IQR × 3.0). Possible current/prior year confusion or unit error.",keep,145354900000.0,thousand,"[""2010-VA3-d.pdf""]",80,1.0,"The current annual total of 145,354,900,000 thousand is directly supported by the source document row, which lists the same amount for the European Space Agency (ESA) contributions."
Switzerland,2011,ESA contributions (Swiss),outlier,verify,150409700000.0,145354900000.0,145354900000.0,"Amount 150,409,700,000 outside expected range [-137,159,250 – 182,879,000] (IQR × 3.0). Possible current/prior year confusion or unit error.",keep,150409700000.0,thousand,"[""2011-VA3-d.pdf""]",86,1.0,"The current annual total of 150,409,700,000 thousand is directly supported by the source document row, which lists the same amount for the European Space Agency (ESA) contributions."
Switzerland,2012,ESA contributions (Swiss),outlier,verify,145354900000.0,150409700000.0,153080820000.0,"Amount 145,354,900,000 outside expected range [-137,159,250 – 182,879,000] (IQR × 3.0). Possible current/prior year confusion or unit error.",keep,145354900000.0,thousand,"[""2012-VA3-d.pdf""]",85,1.0,"The current annual total of 145,354,900,000 thousand is directly supported by the source document row, which lists the same amount for the European Space Agency (ESA) contributions."
Switzerland,2013,ESA contributions (Swiss),outlier,verify,153080820000.0,145354900000.0,0.0,"Amount 153,080,820,000 outside expected range [-137,159,250 – 182,879,000] (IQR × 3.0). Possible current/prior year confusion or unit error.",correct,153080820000.0,thousand,"[""2013-VA3-d.pdf""]",85,1.0,"The current annual total of 153,080,820,000 thousand is directly supported by the source document row, which lists the same amount for the European Space Agency (ESA) contributions."
Switzerland,2016,ESA contributions (Swiss),outlier,verify,165653500000.0,0.0,0.0,"Amount 165,653,500,000 outside expected range [-137,159,250 – 182,879,000] (IQR × 3.0). Possible current/prior year confusion or unit error.",correct,165653500.0,thousand,"[""2016-VA3-d.pdf""]",175,0.9,"The amount of 165,653,500,000 thousand appears to be a unit error; the correct amount should be 165,653,500 thousand based on the document snippet which lists the contribution to ESA as 165,653,500."
Switzerland,2021,ESA contributions (Swiss),outlier,verify,185133000.0,182879000.0,0.0,"Amount 185,133,000 outside expected range [-137,159,250 – 182,879,000] (IQR × 3.0). Possible current/prior year confusion or unit error.",keep,185133000.0,thousand,"[""2021-VA_Band3-d.pdf""]",108,1.0,"The current annual total of 185,133,000 thousand CHF is supported by the source document row and is consistent with the reported contributions to ESA."
