canonical_name,category,year,source_file,entity_raw,amount_current,section_name,table_index,row_index,in_series
KOSGEB (Turkey),innovation_instruments,1982,1982 17620.pdf,KOSGEB bütçesi,0.0,Small and Medium Enterprises Development and Support Administration,0,121,False
Sanayi ve Teknoloji Bakanlığı (Turkey),science_agency,1975,1975 15164.pdf,Sanayi ve Teknoloji Bakanlığı,424152.853,Sanayi ve Teknoloji Bakanlığı (Turkey),0,19,False
Sanayi ve Teknoloji Bakanlığı (Turkey),science_agency,1975,1975 15164.pdf,Sanayi ve Teknoloji Bakanlığı Teşvik,575.0,Sanayi ve Teknoloji Bakanlığı (Turkey),0,20,False
Sanayi ve Teknoloji Bakanlığı (Turkey),science_agency,1976,1976 15515.pdf,Sanayi ve Teknoloji Bakanlığı,46582900.0,Ministry of Industry and Technology,0,49,False
Sanayi ve Teknoloji Bakanlığı (Turkey),science_agency,1977,1977 15865.pdf,Sanayi ve Teknoloji Bakanlığı,28308000000.0,Ministry of Industry and Technology,0,55,False
Sanayi ve Teknoloji Bakanlığı (Turkey),science_agency,1978,1978 16215.pdf,Sanayi ve Teknoloji Bakanlığı,15386000.0,Ministry of Industry and Technology,0,66,False
Sanayi ve Teknoloji Bakanlığı (Turkey),science_agency,1979,1979 16565.pdf,Sanayi ve Teknoloji Bakanlığı,3612865.0,Sanayi ve Teknoloji Bakanlığı (Turkey),0,81,False
Sanayi ve Teknoloji Bakanlığı (Turkey),science_agency,1981,1981 17265.pdf,Sanayi ve Teknoloji Bakanlığı,1454889000.0,Ministry of Industry and Technology,0,102,False
Sanayi ve Teknoloji Bakanlığı (Turkey),science_agency,1982,1982 17620.pdf,Sanayi ve Teknoloji Bakanlığı,1121834000.0,Ministry of Industry and Technology,0,122,False
Sanayi ve Teknoloji Bakanlığı (Turkey),science_agency,2005,2005 tbmm22140033ss1270.pdf,Sanayi ve Teknoloji Bakanlığı,200000000.0,Ministry of Industry and Technology,0,132,False
Sanayi ve Teknoloji Bakanlığı (Turkey),science_agency,2005,2005 tbmm22140033ss1271.pdf,Sanayi ve Teknoloji Bakanlığı,1000000000.0,Ministry of Industry and Technology,0,145,False
Sanayi ve Teknoloji Bakanlığı (Turkey),science_agency,2006,2006 kanuntbmmc09005437.pdf,Sanayi ve Teknoloji Bakanlığı,5393000000.0,Ministry of Industry and Technology,0,169,False
Sanayi ve Teknoloji Bakanlığı (Turkey),science_agency,2006,2006 tbmm22103031ss1028.pdf,Sanayi ve Teknoloji Bakanlığı,1000000000.0,Ministry of Industry and Technology,0,175,False
Sanayi ve Teknoloji Bakanlığı (Turkey),science_agency,2008,2008 2008-Merkezi-Yonetim-Kesin-Hesabi-.pdf,Sanayi ve Teknoloji Bakanlığı,1000000000.0,Ministry of Industry and Technology,0,248,False
TAEK — Türkiye Atom Enerjisi Kurumu (Turkey),science_agency,1975,1975 15164.pdf,Türkiye Atom Enerjisi Kurumu,1500000000.0,Turkish Atomic Energy Authority,0,17,True
TAEK — Türkiye Atom Enerjisi Kurumu (Turkey),science_agency,1976,1976 15515.pdf,Türkiye Atom Enerjisi Kurumu,97971800.0,Turkish Atomic Energy Authority,0,21,True
TAEK — Türkiye Atom Enerjisi Kurumu (Turkey),science_agency,1978,1978 16215.pdf,Türkiye Atom Enerjisi Kurumu bütçesi,15000000.0,Turkish Atomic Energy Authority,0,70,True
TAEK — Türkiye Atom Enerjisi Kurumu (Turkey),science_agency,1981,1981 17265.pdf,Bağımsız bütçeli idarelere yapılacak yardımlara ilişkin ödemeler (TAEK'e ödenecektir),141000000.0,Special Budget Entities,0,99,True
TAEK — Türkiye Atom Enerjisi Kurumu (Turkey),science_agency,1982,1982 17620.pdf,Türkiye Atom Enerjisi Kurumu,5000000000.0,Turkish Atomic Energy Authority,0,111,True
TAEK — Türkiye Atom Enerjisi Kurumu (Turkey),science_agency,1982,1982 17620.pdf,Türkiye Atom Enerjisi Kurumu bütçesi,0.0,Turkish Atomic Energy Authority,0,120,True
