country,year,source_file,page_number,item_type,section_code,section_name,section_name_en,line_code,line_description,line_description_en,amount_local,amount_prior,unit,currency,rd_category,decision,confidence,llm_model,extraction_pass,notes
Turkey,2008,pdf_7142492654bb__2008 2008-Merkezi-Yonetim-Kesin-Hesabi-.txt,0.0,section_total,,A1382.01744,A1382.01744,,A1382.01744,A1382.01744,115468219388317.61,,thousand,TRY,unclear,review,0.5,docx_parser,docx_table,"Parsed from table 0.0, row 0.0"
Turkey,2008,pdf_7142492654bb__2008 2008-Merkezi-Yonetim-Kesin-Hesabi-.txt,0.0,section_total,,"A61,980,95","A61,980,95",,"A61,980,95","A61,980,95",11782104933.0,,thousand,TRY,unclear,review,0.5,docx_parser,docx_table,"Parsed from table 0.0, row 0.0"
Turkey,2008,pdf_7142492654bb__2008 2008-Merkezi-Yonetim-Kesin-Hesabi-.txt,0.0,section_total,,"A79.870,13","A79.870,13",,"A79.870,13","A79.870,13",494353066345.29,,thousand,TRY,unclear,review,0.5,docx_parser,docx_table,"Parsed from table 0.0, row 0.0"
Turkey,2008,pdf_7142492654bb__2008 2008-Merkezi-Yonetim-Kesin-Hesabi-.txt,0.0,section_total,,"AA4T.B45,43","AA4T.B45,43",,"AA4T.B45,43","AA4T.B45,43",3156920749390.9966,,thousand,TRY,unclear,review,0.5,docx_parser,docx_table,"Parsed from table 0.0, row 0.0"
Turkey,2008,pdf_7142492654bb__2008 2008-Merkezi-Yonetim-Kesin-Hesabi-.txt,0.0,section_total,,AAIS ASE ORD,AAIS ASE ORD,,AAIS ASE ORD,AAIS ASE ORD,8226000.0,,thousand,TRY,unclear,review,0.5,docx_parser,docx_table,"Parsed from table 0.0, row 0.0"
Turkey,2008,pdf_7142492654bb__2008 2008-Merkezi-Yonetim-Kesin-Hesabi-.txt,0.0,section_total,,"AB.816.A18,08","AB.816.A18,08",,"AB.816.A18,08","AB.816.A18,08",3198621026431.671,,thousand,TRY,unclear,review,0.5,docx_parser,docx_table,"Parsed from table 0.0, row 0.0"
Turkey,2008,pdf_7142492654bb__2008 2008-Merkezi-Yonetim-Kesin-Hesabi-.txt,0.0,section_total,,"ABA 343,39","ABA 343,39",,"ABA 343,39","ABA 343,39",22977422961.469997,,thousand,TRY,unclear,review,0.5,docx_parser,docx_table,"Parsed from table 0.0, row 0.0"
Turkey,2008,pdf_7142492654bb__2008 2008-Merkezi-Yonetim-Kesin-Hesabi-.txt,0.0,section_total,,"ABAT4.330,37","ABAT4.330,37",,"ABAT4.330,37","ABAT4.330,37",4231565956084.9507,,thousand,TRY,unclear,review,0.5,docx_parser,docx_table,"Parsed from table 0.0, row 0.0"
Turkey,2008,pdf_7142492654bb__2008 2008-Merkezi-Yonetim-Kesin-Hesabi-.txt,0.0,section_total,,"ABATA.T17,90","ABATA.T17,90",,"ABATA.T17,90","ABATA.T17,90",98373407770.97673,,thousand,TRY,unclear,review,0.5,docx_parser,docx_table,"Parsed from table 0.0, row 0.0"
Turkey,2008,pdf_7142492654bb__2008 2008-Merkezi-Yonetim-Kesin-Hesabi-.txt,0.0,section_total,,ABUN-D9 14:53:24,ABUN-D9 14:53:24,,ABUN-D9 14:53:24,ABUN-D9 14:53:24,21806025428058.375,,thousand,TRY,unclear,review,0.5,docx_parser,docx_table,"Parsed from table 0.0, row 0.0"
