country,year,canonical_name,category,amount_local,unit,currency,item_type,line_description_en,source_file,page_number,series_notes
Turkey,2006,KOSGEB (Turkey),innovation_instruments,209890000.0,lira,YTL,verified_override,2006 budget proposal TABLO 2-b — special-budget other administrations audited manually,2006 tbmm22103031ss1028.pdf,132,Özel Bütçeli SME support agency with R&D/innovation mandate.; verified from 2006 bütçe tasarısı TABLO 2-b using the audited special-budget administrations table
Turkey,2007,KOSGEB (Turkey),innovation_instruments,221968000.0,lira,YTL,verified_override,2009 budget-justification multi-year table — audited annual column,2009-ButceGerekcesi_2009.pdf,89,verified from 2009 Bütçe Gerekçesi TABLO 9 using the audited 2007-2009 annual columns
Turkey,2008,KOSGEB (Turkey),innovation_instruments,222368000.0,lira,YTL,verified_override,2009 budget-justification multi-year table — audited annual column,2009-ButceGerekcesi_2009.pdf,89,verified from 2009 Bütçe Gerekçesi TABLO 9 using the audited 2007-2009 annual columns
Turkey,2009,KOSGEB (Turkey),innovation_instruments,329330000.0,lira,TRY,verified_override,2009 budget-justification multi-year table — audited annual column,2009-ButceGerekcesi_2009.pdf,89,"selected from Turkey budget-family source row after excluding activity reports, final accounts, and targeted recovery noise; verified from 2009 Bütçe Gerekçesi TABLO 9 using the audited 2007-2009 annual columns"
Turkey,1976,TAEK — Türkiye Atom Enerjisi Kurumu (Turkey),science_agency,97971800.0,lira,TRL,section_total,Scientific and Technical Research and Application in the Field of Nuclear Energy,1976 15515.pdf,50,"Nuclear R&D authority. Özel Bütçeli — appears in (II) SAYILI CETVEL.; selected from Turkey budget-family source row after excluding activity reports, final accounts, and targeted recovery noise"
Turkey,1977,TAEK — Türkiye Atom Enerjisi Kurumu (Turkey),science_agency,143281500.0,lira,TRL,program_total,Scientific and technical research and application in the field of nuclear energy,1977 15865.pdf,149,"Nuclear R&D authority. Özel Bütçeli — appears in (II) SAYILI CETVEL.; selected from Turkey budget-family source row after excluding activity reports, final accounts, and targeted recovery noise"
Turkey,2006,TAEK — Türkiye Atom Enerjisi Kurumu (Turkey),science_agency,50050000.0,lira,YTL,verified_override,2006 budget proposal TABLO 2-b — special-budget other administrations audited manually,2006 tbmm22103031ss1028.pdf,132,"Nuclear R&D authority. Özel Bütçeli — appears in (II) SAYILI CETVEL.; selected from Turkey budget-family source row after excluding activity reports, final accounts, and targeted recovery noise; verified from 2006 bütçe tasarısı TABLO 2-b using the audited special-budget administrations table"
Turkey,2007,TAEK — Türkiye Atom Enerjisi Kurumu (Turkey),science_agency,65075000.0,lira,YTL,verified_override,2009 budget-justification multi-year table — audited annual column,2009-ButceGerekcesi_2009.pdf,89,verified from 2009 Bütçe Gerekçesi TABLO 9 using the audited 2007-2009 annual columns
Turkey,2008,TAEK — Türkiye Atom Enerjisi Kurumu (Turkey),science_agency,65139000.0,lira,YTL,verified_override,2009 budget-justification multi-year table — audited annual column,2009-ButceGerekcesi_2009.pdf,89,verified from 2009 Bütçe Gerekçesi TABLO 9 using the audited 2007-2009 annual columns
Turkey,2009,TAEK — Türkiye Atom Enerjisi Kurumu (Turkey),science_agency,82169000.0,lira,TRY,verified_override,2009 budget-justification multi-year table — audited annual column,2009-ButceGerekcesi_2009.pdf,89,"Nuclear R&D authority. Özel Bütçeli — appears in (II) SAYILI CETVEL.; selected from Turkey budget-family source row after excluding activity reports, final accounts, and targeted recovery noise; verified from 2009 Bütçe Gerekçesi TABLO 9 using the audited 2007-2009 annual columns"
Turkey,2006,TÜBA (Turkey),science_agency,4641000.0,lira,YTL,verified_override,2006 budget proposal TABLO 2-b — special-budget other administrations audited manually,2006 tbmm22103031ss1028.pdf,132,"Özel Bütçeli — appears in (II) SAYILI CETVEL.; selected from Turkey budget-family source row after excluding activity reports, final accounts, and targeted recovery noise; verified from 2006 bütçe tasarısı TABLO 2-b using the audited special-budget administrations table"
Turkey,2007,TÜBA (Turkey),science_agency,6275000.0,lira,YTL,verified_override,2009 budget-justification multi-year table — audited annual column,2009-ButceGerekcesi_2009.pdf,89,verified from 2009 Bütçe Gerekçesi TABLO 9 using the audited 2007-2009 annual columns
Turkey,2008,TÜBA (Turkey),science_agency,6575000.0,lira,YTL,verified_override,2009 budget-justification multi-year table — audited annual column,2009-ButceGerekcesi_2009.pdf,89,verified from 2009 Bütçe Gerekçesi TABLO 9 using the audited 2007-2009 annual columns
Turkey,2009,TÜBA (Turkey),science_agency,7997000.0,lira,TRY,verified_override,2009 budget-justification multi-year table — audited annual column,2009-ButceGerekcesi_2009.pdf,89,"Özel Bütçeli — appears in (II) SAYILI CETVEL.; selected from Turkey budget-family source row after excluding activity reports, final accounts, and targeted recovery noise; verified from 2009 Bütçe Gerekçesi TABLO 9 using the audited 2007-2009 annual columns"
Turkey,2006,TÜBİTAK (Turkey),science_agency,965158000.0,lira,YTL,verified_override,2006 budget proposal TABLO 2-b — special-budget other administrations audited manually,2006 tbmm22103031ss1028.pdf,132,"Özel Bütçeli (special budget) entity — appears in (II) SAYILI CETVEL. NOT present in files containing only (I) SAYILI CETVEL. Primary competitive R&D funder in Turkey.; selected from Turkey budget-family source row after excluding activity reports, final accounts, and targeted recovery noise; verified from 2006 bütçe tasarısı TABLO 2-b using the audited special-budget administrations table"
Turkey,2007,TÜBİTAK (Turkey),science_agency,938335000.0,lira,YTL,verified_override,2009 budget-justification multi-year table — audited annual column,2009-ButceGerekcesi_2009.pdf,89,"Özel Bütçeli (special budget) entity — appears in (II) SAYILI CETVEL. NOT present in files containing only (I) SAYILI CETVEL. Primary competitive R&D funder in Turkey.; selected from Turkey budget-family source row after excluding activity reports, final accounts, and targeted recovery noise; verified from 2009 Bütçe Gerekçesi TABLO 9 using the audited 2007-2009 annual columns"
Turkey,2008,TÜBİTAK (Turkey),science_agency,1005923000.0,lira,YTL,verified_override,2009 budget-justification multi-year table — audited annual column,2009-ButceGerekcesi_2009.pdf,89,"Özel Bütçeli (special budget) entity — appears in (II) SAYILI CETVEL. NOT present in files containing only (I) SAYILI CETVEL. Primary competitive R&D funder in Turkey.; selected from Turkey budget-family source row after excluding activity reports, final accounts, and targeted recovery noise; verified from 2009 Bütçe Gerekçesi TABLO 9 using the audited 2007-2009 annual columns"
Turkey,2009,TÜBİTAK (Turkey),science_agency,1127085000.0,lira,TRY,verified_override,2009 budget-justification multi-year table — audited annual column,2009-ButceGerekcesi_2009.pdf,89,"Özel Bütçeli (special budget) entity — appears in (II) SAYILI CETVEL. NOT present in files containing only (I) SAYILI CETVEL. Primary competitive R&D funder in Turkey.; selected from Turkey budget-family source row after excluding activity reports, final accounts, and targeted recovery noise; verified from 2009 Bütçe Gerekçesi TABLO 9 using the audited 2007-2009 annual columns"
