country,year,canonical_name,category,gap_type,gap_subtype,diagnosis,raw_row_match,raw_row_amount,raw_row_file,action,series_amount,series_currency,prev_amount,next_amount
Turkey,1975,TÜBİTAK (Turkey),science_agency,ok,,,,,,none,2000000000.0,TRL,,23600000.0
Turkey,1976,TÜBİTAK (Turkey),science_agency,missing,,"Year absent from raw_rows, but extracted results already contain a matching row for this agency-year (2,100,000 in 1976 15515.pdf). The gap is downstream of extraction.",no,,1976 15515.pdf,reclassify,,,2000000000.0,23600000.0
Turkey,1977,TÜBİTAK (Turkey),science_agency,missing,,"Year absent from raw_rows, but turkey_docx_results.csv already has extracted rows for this year. The missing agency likely reflects coverage/matching limits in the extracted results rather than an unparsed document.",no,,1977 15865.pdf,reextract,,,2000000000.0,23600000.0
Turkey,1978,TÜBİTAK (Turkey),science_agency,ok,,,,,,none,23600000.0,TRL,2000000000.0,1121834000.0
Turkey,1979,TÜBİTAK (Turkey),science_agency,missing,,"Year absent from raw_rows, but turkey_docx_results.csv already has extracted rows for this year. The missing agency likely reflects coverage/matching limits in the extracted results rather than an unparsed document.",no,,1979 16565.pdf,reextract,,,23600000.0,1121834000.0
Turkey,1980,TÜBİTAK (Turkey),science_agency,missing,,"Year absent from raw_rows, but extracted results already contain a matching row for this agency-year (2,100 in 1980 16916.pdf). The gap is downstream of extraction.",no,,1980 16916.pdf,reclassify,,,23600000.0,1121834000.0
Turkey,1981,TÜBİTAK (Turkey),science_agency,missing,,"Year absent from raw_rows, but turkey_docx_results.csv already has extracted rows for this year. The missing agency likely reflects coverage/matching limits in the extracted results rather than an unparsed document.",no,,1981 17265.pdf,reextract,,,23600000.0,1121834000.0
Turkey,1982,TÜBİTAK (Turkey),science_agency,ok,,,,,,none,1121834000.0,TRL,23600000.0,965158000.0
Turkey,1983,TÜBİTAK (Turkey),science_agency,missing,,"Year absent from raw_rows, but turkey_docx_results.csv already has extracted rows for this year. The missing agency likely reflects coverage/matching limits in the extracted results rather than an unparsed document.",no,,1983 17895.pdf,reextract,,,1121834000.0,965158000.0
Turkey,2000,TÜBİTAK (Turkey),science_agency,missing,,"Year absent from raw_rows, but turkey_docx_results.csv already has extracted rows for this year. The missing agency likely reflects coverage/matching limits in the extracted results rather than an unparsed document.",no,,2000 23922.pdf,reextract,,,1121834000.0,965158000.0
