country,year,canonical_name,current_status,manual_classification,trace_quality,source_file,page_number,trace_method,line_description_en,amount_local,currency,unit,evidence_summary,recommended_action
Turkey,1975,TAEK — Türkiye Atom Enerjisi Kurumu (Turkey),removed_from_final_series,removed_unverifiable_source_anchor,D,1975 15164.pdf,319; visual review also checked p.39,manual_pdf_review,Nuclear Research Projects,1500000000.0,TRL,lira,Original page 319 does not show the claimed TAEK appropriation; manual review found Atom Enerjisi on page 39 but not the retained 1.5bn row. The previous survivor is not traceable to a defensible original-file row.,keep_gap_unless_new_original_evidence_found
Turkey,1975,TÜBİTAK (Turkey),removed_from_final_series,removed_unverifiable_source_anchor,D,1975 15164.pdf,319,manual_pdf_review,Research and Development Projects,2000000000.0,TRL,lira,"Original page 319 does not show the claimed TÜBİTAK row, and manual amount/page search did not surface a defendable matching institutional appropriation line for the retained 2.0bn value.",keep_gap_unless_new_original_evidence_found
Turkey,1976,TAEK — Türkiye Atom Enerjisi Kurumu (Turkey),kept_in_final_series,documented_page_anchor_strong_context,B,1976 15515.pdf,50,page_anchor,Scientific and Technical Research and Application in the Field of Nuclear Energy,97971800.0,TRL,lira,Page anchor points to the correct page and a strong thematic line; direct PDF text supports the concept even when the cache excerpt is not a clean literal row.,keep_final
Turkey,1977,TAEK — Türkiye Atom Enerjisi Kurumu (Turkey),kept_in_final_series,documented_page_anchor_strong_context,B,1977 15865.pdf,149,page_anchor,Scientific and technical research and application in the field of nuclear energy,143281500.0,TRL,lira,Page anchor points to the correct page and a strong thematic line; direct PDF text supports the concept even when the cache excerpt is not a clean literal row.,keep_final
Turkey,1978,TAEK — Türkiye Atom Enerjisi Kurumu (Turkey),removed_from_final_series,removed_unverifiable_source_anchor,D,1978 16215.pdf,684; visual review also checked p.337,manual_pdf_review,Budget for the Turkish Atomic Energy Authority,15000000.0,TRL,lira,The retained 15.0m TAEK survivor could not be tied to a defendable original-file row. The reviewed pages showed either unrelated transfer lines or unattributed programme fragments.,keep_gap_unless_new_original_evidence_found
Turkey,1978,TÜBİTAK (Turkey),removed_from_final_series,removed_unverifiable_source_anchor,D,1978 16215.pdf,684; visual review also checked p.337,manual_pdf_review,Research services,23600000.0,TRL,lira,"The retained 23.598m/23.6m research-services row appears on a page without a defendable TÜBİTAK anchor in the original file. Manual review found a different TÜBİTAK transfer mention on printed page 337, not the retained final amount.",keep_gap_unless_new_original_evidence_found
Turkey,1982,TAEK — Türkiye Atom Enerjisi Kurumu (Turkey),removed_from_final_series,removed_unverifiable_source_anchor,D,1982 17620.pdf,158,manual_pdf_review,Research and development,5000000000.0,TRL,lira,Original page 158 is the Istanbul University budget law and does not support a TAEK appropriation. The prior survivor was therefore removed as a page-selection failure.,keep_gap_unless_new_original_evidence_found
Turkey,1982,TÜBİTAK (Turkey),removed_from_final_series,removed_documented_but_amount_not_tied,C,1982 17620.pdf,434 and 545,manual_pdf_review,Support for scientific research,1121834000.0,TRL,lira,"Page 545 does document the concept ""support for scientific research"", but the retained 1.121.834bn amount was sourced from an unrelated university-budget page. Without a single original row tying concept and amount together, the survivor is not strict enough for the final panel.",keep_gap_unless_new_original_evidence_found
Turkey,2006,KOSGEB (Turkey),kept_in_final_series,verified_exact_table_row,A,2006 tbmm22103031ss1028.pdf,132,table_row_aligned,2006 budget proposal TABLO 2-b — special-budget other administrations audited manually,209890000.0,YTL,lira,Original budget table row reconstructed from audited agency-name and amount alignment on the cited page.,keep_final
Turkey,2006,TAEK — Türkiye Atom Enerjisi Kurumu (Turkey),kept_in_final_series,verified_exact_table_row,A,2006 tbmm22103031ss1028.pdf,132,table_row_aligned,2006 budget proposal TABLO 2-b — special-budget other administrations audited manually,50050000.0,YTL,lira,Original budget table row reconstructed from audited agency-name and amount alignment on the cited page.,keep_final
