source_file,pdf_path,full_text_cache,selected_rows,selected_canonicals,selected_pages,selected_line_descriptions,selected_amounts,traceability_status,source_audit_note
1975 15164.pdf,Data/input/finance_bills/Turkey/1975 15164.pdf,Data/output/budget/full_text/Turkey/pdf_f8813376b34f__1975 15164.txt.gz,2,TAEK — Türkiye Atom Enerjisi Kurumu (Turkey) | TÜBİTAK (Turkey),319 | 319,Nuclear Research Projects | Research and Development Projects,1500000000.0 | 2000000000.0,covered_by_final_series,
1976 15515.pdf,Data/input/finance_bills/Turkey/1976 15515.pdf,Data/output/budget/full_text/Turkey/pdf_31975ff162a5__1976 15515.txt.gz,1,TAEK — Türkiye Atom Enerjisi Kurumu (Turkey),50,Scientific and Technical Research and Application in the Field of Nuclear Energy,97971800.0,covered_by_final_series,
1977 15865.pdf,Data/input/finance_bills/Turkey/1977 15865.pdf,Data/output/budget/full_text/Turkey/pdf_1aa9f0222395__1977 15865.txt.gz,1,TAEK — Türkiye Atom Enerjisi Kurumu (Turkey),149,Scientific and technical research and application in the field of nuclear energy,143281500.0,covered_by_final_series,
1978 16215.pdf,Data/input/finance_bills/Turkey/1978 16215.pdf,Data/output/budget/full_text/Turkey/pdf_738368bca8da__1978 16215.txt.gz,2,TAEK — Türkiye Atom Enerjisi Kurumu (Turkey) | TÜBİTAK (Turkey),684 | 684,Budget for the Turkish Atomic Energy Authority | Research services,15000000.0 | 23600000.0,covered_by_final_series,
1979 16565.pdf,Data/input/finance_bills/Turkey/1979 16565.pdf,Data/output/budget/full_text/Turkey/pdf_ccc4660ce093__1979 16565.txt.gz,0,,,,,not_used_in_final_series,
1980 16916.pdf,Data/input/finance_bills/Turkey/1980 16916.pdf,Data/output/budget/full_text/Turkey/pdf_9676dabde54e__1980 16916.txt.gz,0,,,,,not_used_in_final_series,
1981 17265.pdf,Data/input/finance_bills/Turkey/1981 17265.pdf,Data/output/budget/full_text/Turkey/pdf_28d0f35a68e8__1981 17265.txt.gz,0,,,,,not_used_in_final_series,
1982 17620.pdf,Data/input/finance_bills/Turkey/1982 17620.pdf,Data/output/budget/full_text/Turkey/pdf_98722aa3206c__1982 17620.txt.gz,2,TAEK — Türkiye Atom Enerjisi Kurumu (Turkey) | TÜBİTAK (Turkey),158 | 545,Research and development | Support for scientific research,5000000000.0 | 1121834000.0,covered_by_final_series,
1983 17895.pdf,Data/input/finance_bills/Turkey/1983 17895.pdf,,0,,,,,not_used_in_final_series,
1984 18230.pdf,Data/input/finance_bills/Turkey/1984 18230.pdf,,0,,,,,not_used_in_final_series,
