canonical_name,category,year,source_file,entity_raw,amount_current,section_name,table_index,row_index,in_series
5G Research Facility,research_infrastructure,2017,2017_03_UK.pdf,Investment in 5G facility,16000.0,National Productivity Investment Fund,0,212,True
5G Security Testbed Facility,research_infrastructure,2017,2017_11_UK.pdf,£10 million to create facilities where the security of 5G networks can be tested,10000.0,5G Test Facilities,0,240,True
5G Testbeds and Trials Programme,rd_programme,2017,2017_11_UK.pdf,£5 million for an initial trial to test 5G applications and deployment on roads,5000.0,5G Applications Trial,0,241,True
Additional Clinical Research Funding (2005),rd_programme,2005,2005_UK.pdf,Additional funding for clinical research,25000.0,Research Councils (pre-UKRI),0,62,True
Advanced Manufacturing Supply Chain Initiative,innovation_instruments,2012,2012_UK.pdf,£125 million Advanced Manufacturing Supply Chain Initiative,125000.0,"Department for Business, Innovation and Skills",0,127,True
Advanced Nuclear Fund,innovation_instruments,2021,2021_10_UK.pdf,£385 million for the Advanced Nuclear Fund,385000.0,"Department for Business, Energy and Industrial Strategy",0,359,True
Advanced Research and Invention Agency,innovation_instruments,2021,2021_10_UK.pdf,establish the new Advanced Research and Invention Agency (ARIA),800000.0,"Department for Business, Energy and Industrial Strategy",0,352,True
Advanced Research and Invention Agency,innovation_instruments,2021,2021_10_UK.pdf,£800 million for the Advanced Research and Invention Agency,800000.0,"Department for Business, Energy and Industrial Strategy",0,377,True
Advanced Wellbeing Research Centre,research_institute,2015,2015_03_UK.pdf,Advanced wellbeing research centre,14000.0,"Department for Business, Innovation and Skills",0,174,True
Alan Turing Institute,research_institute,2014,2014_UK.pdf,Alan Turing Institute for Big Data,,"Department for Business, Innovation and Skills",0,149,True
Alan Turing Institute,research_institute,2014,2014_UK.pdf,"Alan Turing Institute – The government will provide £42 million over 5 years for the Alan Turing Institute – a national institute which will enable the UK to lead the way in, and reap the benefits from, Big Data science.",42000.0,"Department for Business, Innovation and Skills",0,157,True
Alan Turing Institute,research_institute,2024,2024_03_UK.pdf,Investment of up to £100 million in the Alan Turing Institute over the next five years,100000.0,"Department for Science, Innovation and Technology",0,412,True
Animal Health Science Estate,research_infrastructure,2020,2020_UK.pdf,Animal health science estate,1400.0,"Department for Business, Energy and Industrial Strategy",0,303,True
Battery Technology R&D Support (Dyson),rd_programme,2016,2016_UK.pdf,Dyson batteries,16000.0,"Department for Business, Energy and Industrial Strategy",0,190,True
Birmingham STEAMhouse,innovation_instruments,2016,2016_UK.pdf,Birmingham STEAMhouse,14000.0,"Department for Business, Energy and Industrial Strategy",0,187,True
Centre for Agricultural Informatics and Sustainability Metrics,research_institute,2015,2015_03_UK.pdf,Centre for Agricultural Informatics and Sustainability Metrics,11800.0,"Department for Business, Innovation and Skills",0,172,True
Centre for Process Innovation Chemical Innovation Fund,innovation_instruments,2021,2021_03_UK.pdf,further investment in clinical-scale mRNA vaccine manufacturing to the Centre for Process Innovation,5000.0,"Department for Business, Energy and Industrial Strategy",0,329,True
Compound Semiconductor Catapult,innovation_instruments,2016,2016_UK.pdf,Compound Semiconductor Catapult,50000.0,"Department for Business, Energy and Industrial Strategy",0,189,True
Core Research,rd_programme,2021,2021_10_UK.pdf,of which: Core Research,4800.0,"Department for Business, Energy and Industrial Strategy",0,348,True
Core Research,rd_programme,2021,2021_10_UK.pdf,fund an increase to core funding for the UK’s world-leading universities and research institutions,1100.0,"Department for Business, Energy and Industrial Strategy",0,351,True
Core Research,rd_programme,2024,2024_10_UK.pdf,Support for core research,6100.0,"Department for Science, Innovation and Technology",0,426,True
DfES Research and Knowledge Transfer Funding (English Universities),rd_programme,2007,2007_UK.pdf,DfES funding for research and knowledge transfer in English Universities,1655.0,Department for Education and Skills,0,89,True
Digital Catapult,innovation_instruments,2018,2018_UK.pdf,£115 million to extend funding for the Digital Catapult,115000.0,"Department for Business, Energy and Industrial Strategy",0,253,True
Digital Economy Centres,research_infrastructure,2015,2015_07_UK.pdf,Investment in 6 Next Generation Digital Economy Centres,23000.0,"Department for Business, Innovation and Skills",0,177,True
Digital Economy Centres,research_infrastructure,2015,2015_07_UK.pdf,Digital Economy Centres,23000.0,"Department for Business, Innovation and Skills",0,180,True
Energy Research Accelerator,research_infrastructure,2015,2015_03_UK.pdf,"£60m investment in a new Energy Research Accelerator, to develop the energy technologies of the future",60000.0,"Department for Business, Innovation and Skills",0,166,True
Energy Research Accelerator,research_infrastructure,2015,2015_03_UK.pdf,Energy research accelerator,60000.0,"Department for Business, Innovation and Skills",0,171,True
Faraday Discovery Fellowships and Green Future Fellowships Endowments,rd_programme,2024,2024_03_UK.pdf,Fellowships – The £250 million Faraday Discovery Fellowships and £150 million Green Future Fellowships will be funded through endowments to the Royal Society and the Royal Academy of Engineering.,400000.0,"Department for Business, Innovation and Skills",0,413,True
Francis Crick Institute (MRC asset reinvestment),research_institute,2015,2015_03_UK.pdf,Reinvesting up to £30m from the sale of Medical Research Council assets to support research at the Francis Crick Institute,30000.0,"Department for Business, Innovation and Skills",0,167,True
Future Fund: Breakthrough,innovation_instruments,2021,2021_03_UK.pdf,"Future Fund: Breakthrough – Building on the government’s Future Fund, the government will commit £375 million to introduce Future Fund: Breakthrough, a new direct co-investment product to support the scale up of the most innovative, R&D-intensive businesses.",375000.0,"Department for Business, Energy and Industrial Strategy",0,335,True
Future Fund: Breakthrough,innovation_instruments,2021,2021_10_UK.pdf,Future Fund: Breakthrough,375000.0,"Department for Business, Energy and Industrial Strategy",0,340,True
Global Underwater Hub,innovation_instruments,2021,2021_03_UK.pdf,support for the Global Underwater Hub,5000.0,"Department for Business, Energy and Industrial Strategy",0,332,True
Higher Education Innovation Fund (HEIF),innovation_instruments,2003,2003_UK.pdf,Higher Education Innovation Fund (HEIF),187000.0,"Department for Business, Innovation and Skills",0,26,True
Industrial Innovation Support Measures (1982 package),rd_programme,1982,1982_UK.pdf,New measures to promote research and innovation in industry will involve additional expenditure of £20 million in 1982-83,20000.0,"Department for Business, Innovation and Skills",0,0,True
Industrial Strategy Challenge Fund,innovation_instruments,2003,2003_UK.pdf,Industrial Strategy Challenge Fund,,"Department for Business, Innovation and Skills",0,34,False
Industrial Strategy Challenge Fund,innovation_instruments,2004,2004_UK.pdf,Industrial Strategy Challenge Fund,400000.0,UK Research and Innovation,0,41,True
Industrial Strategy Challenge Fund,innovation_instruments,2006,2006_UK.pdf,Funding for the Industrial Strategy Challenge Fund,,UK Research and Innovation,0,67,True
Industrial Strategy Challenge Fund,innovation_instruments,2013,2013_UK.pdf,Industrial Strategy Challenge Fund,300000.0,"Department for Business, Energy and Industrial Strategy",0,143,True
Industrial Strategy Challenge Fund,innovation_instruments,2014,2014_UK.pdf,Industrial Strategy Challenge Fund,,"Department for Business, Innovation and Skills",0,154,True
Industrial Strategy Challenge Fund,innovation_instruments,2016,2016_UK.pdf,Investment in the Industrial Strategy Challenge Fund,1000.0,"Department for Business, Innovation and Skills",0,201,True
Industrial Strategy Challenge Fund,innovation_instruments,2017,2017_03_UK.pdf,Investment in the Industrial Strategy Challenge Fund,,UK Research and Innovation,0,209,True
Industrial Strategy Challenge Fund,innovation_instruments,2017,2017_03_UK.pdf,Initial investment in the Industrial Strategy Challenge Fund,270000.0,Industrial Strategy Challenge Fund,0,226,True
Industrial Strategy Challenge Fund,innovation_instruments,2018,2018_UK.pdf,Industrial Strategy Challenge Fund,1100.0,"Department for Business, Energy and Industrial Strategy",0,246,True
Industrial Strategy Challenge Fund,innovation_instruments,2018,2018_UK.pdf,Increase in Industrial Strategy Challenge Fund,1100.0,Industrial Strategy Challenge Fund,0,267,True
