country,year,canonical_name,category,amount_local,unit,currency,item_type,line_description_en,source_file,page_number,series_notes
UK,1993,21st Century Nuclear Manufacturing Programme,innovation_instruments,,,,,,,,gap: no matching rows in this year
UK,1998,21st Century Nuclear Manufacturing Programme,innovation_instruments,,,,,,,,gap: no matching rows in this year
UK,1999,21st Century Nuclear Manufacturing Programme,innovation_instruments,,,,,,,,gap: no matching rows in this year
UK,2003,21st Century Nuclear Manufacturing Programme,innovation_instruments,,,,,,,,gap: no matching rows in this year
UK,2004,21st Century Nuclear Manufacturing Programme,innovation_instruments,,,,,,,,gap: no matching rows in this year
UK,2005,21st Century Nuclear Manufacturing Programme,innovation_instruments,,,,,,,,gap: no matching rows in this year
UK,2006,21st Century Nuclear Manufacturing Programme,innovation_instruments,,,,,,,,gap: no matching rows in this year
UK,2007,21st Century Nuclear Manufacturing Programme,innovation_instruments,,,,,,,,gap: no matching rows in this year
UK,2010,21st Century Nuclear Manufacturing Programme,innovation_instruments,,,,,,,,gap: no matching rows in this year
UK,2011,21st Century Nuclear Manufacturing Programme,innovation_instruments,,,,,,,,gap: no matching rows in this year
UK,2012,21st Century Nuclear Manufacturing Programme,innovation_instruments,,,,,,,,gap: no matching rows in this year
UK,2013,21st Century Nuclear Manufacturing Programme,innovation_instruments,,,,,,,,gap: no matching rows in this year
UK,2014,21st Century Nuclear Manufacturing Programme,innovation_instruments,,,,,,,,gap: no matching rows in this year
UK,2015,21st Century Nuclear Manufacturing Programme,innovation_instruments,,,,,,,,gap: no matching rows in this year
UK,2016,21st Century Nuclear Manufacturing Programme,innovation_instruments,30000.0,thousand,GBP,line_item,Funding for a 21st century nuclear manufacturing programme,2016_UK.pdf,78,The name indicates a specific R&D programme focused on nuclear manufacturing.
UK,2017,21st Century Nuclear Manufacturing Programme,innovation_instruments,,,,,,,,gap: no matching rows in this year
UK,2018,21st Century Nuclear Manufacturing Programme,innovation_instruments,,,,,,,,gap: no matching rows in this year
UK,2020,21st Century Nuclear Manufacturing Programme,innovation_instruments,,,,,,,,gap: no matching rows in this year
UK,2021,21st Century Nuclear Manufacturing Programme,innovation_instruments,,,,,,,,gap: no matching rows in this year
UK,2023,21st Century Nuclear Manufacturing Programme,innovation_instruments,,,,,,,,gap: no matching rows in this year
UK,2024,21st Century Nuclear Manufacturing Programme,innovation_instruments,,,,,,,,gap: no matching rows in this year
