country,canonical_name,year,amount_total,amount_primary,n_acts,acts,additive_flag,currency,unit,category
UK,21st Century Nuclear Manufacturing Programme,1993,,,0,,gap,,,innovation_instruments
UK,21st Century Nuclear Manufacturing Programme,1998,,,0,,gap,,,innovation_instruments
UK,21st Century Nuclear Manufacturing Programme,1999,,,0,,gap,,,innovation_instruments
UK,21st Century Nuclear Manufacturing Programme,2003,,,0,,gap,,,innovation_instruments
UK,21st Century Nuclear Manufacturing Programme,2004,,,0,,gap,,,innovation_instruments
UK,21st Century Nuclear Manufacturing Programme,2005,,,0,,gap,,,innovation_instruments
UK,21st Century Nuclear Manufacturing Programme,2006,,,0,,gap,,,innovation_instruments
UK,21st Century Nuclear Manufacturing Programme,2007,,,0,,gap,,,innovation_instruments
UK,21st Century Nuclear Manufacturing Programme,2010,,,0,,gap,,,innovation_instruments
UK,21st Century Nuclear Manufacturing Programme,2011,,,0,,gap,,,innovation_instruments
UK,21st Century Nuclear Manufacturing Programme,2012,,,0,,gap,,,innovation_instruments
UK,21st Century Nuclear Manufacturing Programme,2013,,,0,,gap,,,innovation_instruments
UK,21st Century Nuclear Manufacturing Programme,2014,,,0,,gap,,,innovation_instruments
UK,21st Century Nuclear Manufacturing Programme,2015,,,0,,gap,,,innovation_instruments
UK,21st Century Nuclear Manufacturing Programme,2016,30000.0,30000.0,1,2016_UK.pdf,single,GBP,thousand,innovation_instruments
UK,21st Century Nuclear Manufacturing Programme,2017,,,0,,gap,,,innovation_instruments
UK,21st Century Nuclear Manufacturing Programme,2018,,,0,,gap,,,innovation_instruments
UK,21st Century Nuclear Manufacturing Programme,2020,,,0,,gap,,,innovation_instruments
UK,21st Century Nuclear Manufacturing Programme,2021,,,0,,gap,,,innovation_instruments
UK,21st Century Nuclear Manufacturing Programme,2023,,,0,,gap,,,innovation_instruments
UK,21st Century Nuclear Manufacturing Programme,2024,,,0,,gap,,,innovation_instruments
UK,21st Century Nuclear Manufacturing Programme,2025,,,0,,gap,,,innovation_instruments
UK,5G Applications and Deployment Trial,1993,,,0,,gap,,,innovation_instruments
UK,5G Applications and Deployment Trial,1998,,,0,,gap,,,innovation_instruments
UK,5G Applications and Deployment Trial,1999,,,0,,gap,,,innovation_instruments
UK,5G Applications and Deployment Trial,2003,,,0,,gap,,,innovation_instruments
UK,5G Applications and Deployment Trial,2004,,,0,,gap,,,innovation_instruments
