country,year,canonical_name,category,gap_type,diagnosis,raw_row_match,raw_row_amount,raw_row_file,action,series_amount,prev_amount,next_amount
UK,2018,UKRI (UK Research and Innovation),science_agency,ok,,,,,none,0.0,,0.0
UK,2020,UKRI (UK Research and Innovation),science_agency,ok,,,,,none,0.0,0.0,0.0
UK,2021,UKRI (UK Research and Innovation),science_agency,ok,,,,,none,0.0,0.0,0.0
UK,2023,UKRI (UK Research and Innovation),science_agency,ok,,,,,none,0.0,0.0,0.0
UK,2024,UKRI (UK Research and Innovation),science_agency,ok,,,,,none,0.0,0.0,0.0
UK,2025,UKRI (UK Research and Innovation),science_agency,ok,,,,,none,0.0,0.0,
UK,1982,Research Councils (pre-UKRI),science_agency,ok,,,,,none,0.0,,0.0
UK,1987,Research Councils (pre-UKRI),science_agency,ok,,,,,none,0.0,0.0,0.0
UK,1989,Research Councils (pre-UKRI),science_agency,ok,,,,,none,0.0,0.0,0.0
UK,1993,Research Councils (pre-UKRI),science_agency,ok,,,,,none,0.0,0.0,0.0
UK,1994,Research Councils (pre-UKRI),science_agency,ok,,,,,none,0.0,0.0,0.0
UK,1996,Research Councils (pre-UKRI),science_agency,ok,,,,,none,0.0,0.0,0.0
UK,1998,Research Councils (pre-UKRI),science_agency,ok,,,,,none,0.0,0.0,0.0
UK,1999,Research Councils (pre-UKRI),science_agency,ok,,,,,none,0.0,0.0,0.0
UK,2003,Research Councils (pre-UKRI),science_agency,ok,,,,,none,0.0,0.0,0.0
UK,2004,Research Councils (pre-UKRI),science_agency,ok,,,,,none,0.0,0.0,0.0
UK,2005,Research Councils (pre-UKRI),science_agency,ok,,,,,none,0.0,0.0,0.0
UK,2006,Research Councils (pre-UKRI),science_agency,ok,,,,,none,0.0,0.0,0.0
UK,2007,Research Councils (pre-UKRI),science_agency,ok,,,,,none,0.0,0.0,0.0
UK,2008,Research Councils (pre-UKRI),science_agency,ok,,,,,none,0.0,0.0,0.0
UK,2009,Research Councils (pre-UKRI),science_agency,ok,,,,,none,0.0,0.0,0.0
UK,2010,Research Councils (pre-UKRI),science_agency,ok,,,,,none,0.0,0.0,0.0
UK,2011,Research Councils (pre-UKRI),science_agency,ok,,,,,none,0.0,0.0,0.0
UK,2012,Research Councils (pre-UKRI),science_agency,ok,,,,,none,0.0,0.0,0.0
UK,2013,Research Councils (pre-UKRI),science_agency,ok,,,,,none,0.0,0.0,0.0
UK,2014,Research Councils (pre-UKRI),science_agency,ok,,,,,none,0.0,0.0,0.0
UK,2015,Research Councils (pre-UKRI),science_agency,ok,,,,,none,0.0,0.0,0.0
UK,2016,Research Councils (pre-UKRI),science_agency,ok,,,,,none,0.0,0.0,0.0
UK,2017,Research Councils (pre-UKRI),science_agency,ok,,,,,none,0.0,0.0,0.0
UK,2018,Research Councils (pre-UKRI),science_agency,ok,,,,,none,0.0,0.0,
UK,1982,Medical Research Council (MRC),science_agency,ok,,,,,none,0.0,,0.0
UK,1987,Medical Research Council (MRC),science_agency,ok,,,,,none,0.0,0.0,0.0
UK,1989,Medical Research Council (MRC),science_agency,ok,,,,,none,0.0,0.0,0.0
UK,1993,Medical Research Council (MRC),science_agency,ok,,,,,none,0.0,0.0,0.0
UK,1994,Medical Research Council (MRC),science_agency,ok,,,,,none,0.0,0.0,0.0
UK,1996,Medical Research Council (MRC),science_agency,ok,,,,,none,0.0,0.0,0.0
