country,year,source_file,file_path,missing_agencies
UK,1982,1982_UK.pdf,/sessions/magical-compassionate-gauss/mnt/Innovation-Policy/Data/input/finance_bills/UK/1982_UK.pdf,"Total UK Science & Technology Spending (headline, HMT Budget)"
UK,1983,1983_UK.pdf,/sessions/magical-compassionate-gauss/mnt/Innovation-Policy/Data/input/finance_bills/UK/1983_UK.pdf,"Total UK Science & Technology Spending (headline, HMT Budget)"
UK,1984,1984_UK.pdf,/sessions/magical-compassionate-gauss/mnt/Innovation-Policy/Data/input/finance_bills/UK/1984_UK.pdf,"Total UK Science & Technology Spending (headline, HMT Budget)"
UK,1987,1987_UK.pdf,/sessions/magical-compassionate-gauss/mnt/Innovation-Policy/Data/input/finance_bills/UK/1987_UK.pdf,"Total UK Science & Technology Spending (headline, HMT Budget)"
UK,1989,1989_UK.pdf,/sessions/magical-compassionate-gauss/mnt/Innovation-Policy/Data/input/finance_bills/UK/1989_UK.pdf,"Total UK Science & Technology Spending (headline, HMT Budget)"
UK,1993,1993_03_UK.pdf,/sessions/magical-compassionate-gauss/mnt/Innovation-Policy/Data/input/finance_bills/UK/1993_03_UK.pdf,"Total UK Science & Technology Spending (headline, HMT Budget)"
UK,1993,1993_11_UK.pdf,/sessions/magical-compassionate-gauss/mnt/Innovation-Policy/Data/input/finance_bills/UK/1993_11_UK.pdf,"Total UK Science & Technology Spending (headline, HMT Budget)"
UK,1998,1998_UK.pdf,/sessions/magical-compassionate-gauss/mnt/Innovation-Policy/Data/input/finance_bills/UK/1998_UK.pdf,"Total UK Science & Technology Spending (headline, HMT Budget)"
UK,1999,1999_UK.pdf,/sessions/magical-compassionate-gauss/mnt/Innovation-Policy/Data/input/finance_bills/UK/1999_UK.pdf,"Total UK Science & Technology Spending (headline, HMT Budget)"
UK,2003,2003_UK.pdf,/sessions/magical-compassionate-gauss/mnt/Innovation-Policy/Data/input/finance_bills/UK/2003_UK.pdf,"Total UK Science & Technology Spending (headline, HMT Budget)"
UK,2004,2004_UK.pdf,/sessions/magical-compassionate-gauss/mnt/Innovation-Policy/Data/input/finance_bills/UK/2004_UK.pdf,"Total UK Science & Technology Spending (headline, HMT Budget)"
UK,2005,2005_UK.pdf,/sessions/magical-compassionate-gauss/mnt/Innovation-Policy/Data/input/finance_bills/UK/2005_UK.pdf,"Total UK Science & Technology Spending (headline, HMT Budget)"
UK,2008,2008_UK.pdf,/sessions/magical-compassionate-gauss/mnt/Innovation-Policy/Data/input/finance_bills/UK/2008_UK.pdf,"Total UK Science & Technology Spending (headline, HMT Budget)"
UK,2009,2009_UK.pdf,/sessions/magical-compassionate-gauss/mnt/Innovation-Policy/Data/input/finance_bills/UK/2009_UK.pdf,"Total UK Science & Technology Spending (headline, HMT Budget)"
UK,2010,2010_03_UK.pdf,/sessions/magical-compassionate-gauss/mnt/Innovation-Policy/Data/input/finance_bills/UK/2010_03_UK.pdf,"Total UK Science & Technology Spending (headline, HMT Budget)"
